,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
0,Myanmar Win Gate Gems & Jewellery Mining,Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Myanmar Win Gate Gems & Jewellery Mining,Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,Myanmar Win Gate Gems & Jewellery Mining,Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,Myanmar Win Gate Gems & Jewellery Mining,Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,22016118850.44,0.0,22016118850.44,22016118850.44,0.0,22016118850.44,0.0,
4,Myanmar Win Gate Gems & Jewellery Mining,Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,4368922882.61,0.0,4368922882.61,4368922882.61,0.0,4368922882.61,0.0,
5,Myanmar Win Gate Gems & Jewellery Mining,"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,1872395881.07,0.0,1872395881.07,1872395881.07,0.0,1872395881.07,0.0,
6,Myanmar Win Gate Gems & Jewellery Mining,Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
7,Myanmar Win Gate Gems & Jewellery Mining,"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,561635993.49,0.0,561635993.49,561635993.49,0.0,561635993.49,0.0,
8,Myanmar Win Gate Gems & Jewellery Mining,"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
9,Myanmar Win Gate Gems & Jewellery Mining,Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,Myanmar Win Gate Gems & Jewellery Mining,Environmental / Plantation fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
11,Myanmar Win Gate Gems & Jewellery Mining,"Other significant payments (> 50,000 USD) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
12,Myanmar Win Gate Gems & Jewellery Mining,Corporate Income Tax (CIT),"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,Myanmar Win Gate Gems & Jewellery Mining,Commercial Tax,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,7603074.05,0.0,7603074.05,-7603074.05,Tax not reported by the extractive company
14,Myanmar Win Gate Gems & Jewellery Mining,Custom Duties,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,Myanmar Win Gate Gems & Jewellery Mining,Royalties on Sales,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,4368922882.61,-4368922882.61,0.0,0.0,
16,Myanmar Win Gate Gems & Jewellery Mining,"Other significant payments (> 50,000 USD) IRD","Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,Myanmar Win Gate Gems & Jewellery Mining,Emporium Fees / Sale Fees,Central Committee (MONREC),payments in cash,MMK,561719142.27,0.0,561719142.27,561719142.27,0.0,561719142.27,0.0,
18,Myanmar Win Gate Gems & Jewellery Mining,Contribution to the State/region social development fund,States/Regions,payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
19,Myanmar Win Gate Gems & Jewellery Mining,Mandatory Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
20,Myanmar Win Gate Gems & Jewellery Mining,Voluntary Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,Sein Lom Taung Tan Gems Ltd. (*),Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,Sein Lom Taung Tan Gems Ltd. (*),Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,98564770.0,0.0,98564770.0,111056170.0,0.0,111056170.0,-12491400.0,Tax not reported by the extractive company
23,Sein Lom Taung Tan Gems Ltd. (*),Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
24,Sein Lom Taung Tan Gems Ltd. (*),Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,11730129994.869999,0.0,11730129994.869999,11730129994.869999,0.0,11730129994.869999,0.0,
25,Sein Lom Taung Tan Gems Ltd. (*),Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,2050970484.4199998,0.0,2050970484.4199998,2068654718.1299999,0.0,2068654718.1299999,-17684233.71000004,Tax not reported by the extractive company
