,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
0,,Myanmar Win Gate Gems & Jewellery Mining,0,Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,0,0,0,0,0,0,MMK
1,,Myanmar Win Gate Gems & Jewellery Mining,0,Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,0,0,0,0,0,MMK
2,,Myanmar Win Gate Gems & Jewellery Mining,0,Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,0,0,0,0,0,MMK
3,,Myanmar Win Gate Gems & Jewellery Mining,0,Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,22016118850,22016118850,0,22016118850,22016118850,MMK
4,,Myanmar Win Gate Gems & Jewellery Mining,0,Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,4368922883,4368922883,0,4368922883,4368922883,MMK
5,,Myanmar Win Gate Gems & Jewellery Mining,0,"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,1872395881,1872395881,0,1872395881,1872395881,MMK
6,,Myanmar Win Gate Gems & Jewellery Mining,0,Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,0,0,0,0,0,MMK
7,,Myanmar Win Gate Gems & Jewellery Mining,0,"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,561635993.5,561635993.5,0,561635993.5,561635993.5,MMK
8,,Myanmar Win Gate Gems & Jewellery Mining,0,"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,0,0,0,0,0,MMK
9,,Myanmar Win Gate Gems & Jewellery Mining,0,Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0,0,0,0,0,0,MMK
