Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0221/2014,"Han Lin Star Co., Ltd.","Han Lin Star Co., Ltd.",Small scale,Small,2014-08-19T00:00:00Z,2014-08-19,2015-08-18T00:00:00Z,2015-08-18,Gold,Gold,2.0,2.0,Shout Pin Yoe,Shout Pin Yoe,SGU-245
0220/2014,"Ngwe Hnin Khaing Co.,Ltd","Ngwe Hnin Khaing Co.,Ltd",Small scale,Small,2014-08-19T00:00:00Z,2014-08-19,2015-08-18T00:00:00Z,2015-08-18,Gold,Gold,20.0,20.0,Nat Taung,Nat Taung,SGU-246
0286/2014,"Hein Htoo Sit 
Development Co.,Ltd","Hein Htoo Sit Development Co.,Ltd",Small scale,Small,2014-12-03T00:00:00Z,2014-12-03,2015-12-02T00:00:00Z,2015-12-02,Gold,Gold,16.0,16.0,Kan Taung,Kan Taung,SGU-247
0251/2014,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2014-09-24T00:00:00Z,2014-09-24,2015-09-23T00:00:00Z,2015-09-23,Gold,Gold,17.0,17.0,Nat Taung,Nat Taung,SGU-51A
0252/2014,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2014-09-24T00:00:00Z,2014-09-24,2015-09-23T00:00:00Z,2015-09-23,Gold,Gold,17.3,17.3,Nat Taung,Nat Taung,SGU-51B
0295/2014,"Yarzamin Shwe 
Mining Co.,Ltd","Yarzamin Shwe Mining Co.,Ltd",Small scale,Small,2014-12-17T00:00:00Z,2014-12-17,2015-12-16T00:00:00Z,2015-12-16,Gold,Gold,20.0,20.0,Shout Pin Yoe,Shout Pin Yoe,SGU-248
0070/2015,"Shwe Taung Nyunt 
Co., Ltd.","Shwe Taung Nyunt Co., Ltd.",Small scale,Small,2015-03-12T00:00:00Z,2015-03-12,2016-03-11T00:00:00Z,2016-03-11,Gold,Gold,20.0,20.0,Nat Taung,Nat Taung,SGU-249
0075/2014,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2014-03-18T00:00:00Z,2014-03-18,2016-03-17T00:00:00Z,2016-03-17,Gold,Gold,20.0,20.0,Nat Taung,Nat Taung,SGU-253
0076/2015,"Htoon Shwe Sin 
Mining Co., Ltd.","Htoon Shwe Sin Mining Co., Ltd.",Small scale,Small,2015-03-18T00:00:00Z,2015-03-18,2016-03-17T00:00:00Z,2016-03-17,Gold,Gold,20.0,20.0,Nat Taung,Nat Taung,SGU-254
0209/2012,"Kathe Kwin Mining 
Co., Ltd","Kathe Kwin Mining Co., Ltd",Small scale,Small,2012-07-12T00:00:00Z,2012-07-12,2015-07-11T00:00:00Z,2015-07-11,Gold,Gold,20.0,20.0,Sinn Twin Kyaung Gone,Sinn Twin Kyaung Gone,YMT-59
