Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Coordinates of the license area
0114/2011,"Pyitan Yadanar  Co.,Ltd.","Pyitan Yadanar Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-02-03T00:00:00Z,2014-02-03,2015-02-02T00:00:00Z,2015-02-02,"Copper Ore
",Copper Ore,20.45,20.45,"No. (40), Room (1), Yankin(2) Street, Yankin Township, Yangon.",93 D/13 LM
0115/2011,,"Pyitan Yadanar Co.,Ltd.",,Production Sharing (Small Scale),,,,,,Copper Ore,,,,93 D/13 LM
0097/2010,"Pan Khon Mining Co.,Ltd.","Pan Khon Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-02-11T00:00:00Z,2014-02-11,2015-02-10T00:00:00Z,2015-02-10,Lead associated mineral,Lead Associated,49.5,49.5,"No. (Za 4/7), 8 Block Theinni Street,Lachio Township, Shan State",93 -I/15P
0290/2014,"Shwe Le Great  Mining Co.,Ltd.","Shwe Le Great Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-12-10T00:00:00Z,2014-12-10,2019-12-09T00:00:00Z,2019-12-09,Lead  Ore,Lead Ore,25.0,25.0,"No. (60), HomoBlock, Muse Township, Shan State",93 E/12
0118/2009,,"Shwe Le Great Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-08-21T00:00:00Z,2014-08-21,2015-08-20T00:00:00Z,2015-08-20,,Lead Ore,49.5,49.5,,93 E/12
0765/2010,,"Shwe Le Great Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-10-29T00:00:00Z,2014-10-29,2015-10-28T00:00:00Z,2015-10-28,,Lead Ore,49.5,49.5,,93 E/12
0766/2010,,"Shwe Le Great Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-10-29T00:00:00Z,2014-10-29,2015-10-28T00:00:00Z,2015-10-28,,Lead Ore,49.5,49.5,,93 E/12
0767/2010,,"Shwe Le Great Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-10-29T00:00:00Z,2014-10-29,2015-10-28T00:00:00Z,2015-10-28,,Lead Ore,49.5,49.5,,93 E/12
0193/2014,"Yadanar Tun Mining Co.,Ltd.","Yadanar Tun Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-07-06T00:00:00Z,2014-07-06,2017-07-05T00:00:00Z,2017-07-05,Lead Ore,Lead Ore,49.5,49.5,"No.(84), nearlyLashio Zaygyi, Lashio Township, Shan State",93/ F-9 ST
0122/2009,"Ingyin Shwe Sin Co.,Ltd.","Ingyin Shwe Sin Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-09-04T00:00:00Z,2014-09-04,1900-02-08T04:50:09Z,,"Lead Ore
",Lead Ore,49.5,49.5,"No.(25), Pataut (68), 16 street, Nawaday Housing, Hlaingtharyar Township, Yangon.",93-F/12 H
0123/2009,,"Ingyin Shwe Sin Co.,Ltd.",,Production Sharing (Small Scale),2014-09-04T00:00:00Z,2014-09-04,1900-02-08T04:50:09Z,,,Lead Ore,49.5,49.5,,93-F/12 H
0078/2007,"Sea Sun Star Mining Production & Marketing CO.,Ltd","Sea Sun Star Mining Production & Marketing CO.,Ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2013-07-11T00:00:00Z,2013-07-11,2014-07-10T00:00:00Z,2014-07-10,Copper Ore,Copper Ore,50.0,50.0,"H-20/23, 66 Pathout War Street, Myothit,  Chanmyatharsi Township, Mandalay",84 M/10 M
0411/2010,,"Sea Sun Star Mining Production & Marketing CO.,Ltd",,Production Sharing (Small Scale),2014-06-30T00:00:00Z,2014-06-30,2015-06-29T00:00:00Z,2015-06-29,,Copper Ore,49.5,49.5,,84 M/10 M
0472/2010,,"Sea Sun Star Mining Production & Marketing CO.,Ltd",,Production Sharing (Small Scale),2014-06-30T00:00:00Z,2014-06-30,2015-06-29T00:00:00Z,2015-06-29,,Copper Ore,49.5,49.5,,84 M/10 M
0175/2012,,"Sea Sun Star Mining Production & Marketing CO.,Ltd",,Production Sharing (Small Scale),2012-09-14T00:00:00Z,2012-09-14,2015-09-13T00:00:00Z,2015-09-13,,Copper Ore,49.5,49.5,,84 M/10 M
0176/2012,,"Sea Sun Star Mining Production & Marketing CO.,Ltd",,Production Sharing (Small Scale),2012-09-14T00:00:00Z,2012-09-14,2015-09-13T00:00:00Z,2015-09-13,,Copper Ore,49.5,49.5,,84 M/10 M
0177/2012,,"Sea Sun Star Mining Production & Marketing CO.,Ltd",,Production Sharing (Small Scale),2012-09-14T00:00:00Z,2012-09-14,2015-09-13T00:00:00Z,2015-09-13,,Copper Ore,49.5,49.5,,84 M/10 M
0178/2012,,"Sea Sun Star Mining Production & Marketing CO.,Ltd",,Production Sharing (Small Scale),2012-09-14T00:00:00Z,2012-09-14,2015-09-13T00:00:00Z,2015-09-13,,Copper Ore,49.5,49.5,,84 M/10 M
0218/2008,"Khar San Co.,Ltd","Khar San Co.,Ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-10-03T00:00:00Z,2014-10-03,2015-10-02T00:00:00Z,2015-10-02,Lead  Ore,Lead Ore,49.5,49.5,"No. (162), 3rd Floors Build no. (10) 48 Street Yangon.",92-L/8P
0219/2008,,"Khar San Co.,Ltd",,Production Sharing (Small Scale),2014-10-03T00:00:00Z,2014-10-03,2015-10-02T00:00:00Z,2015-10-02,,Lead Ore,49.5,49.5,,92-L/8P
0039/2008,"Golden Royal Land   Co.,Ltd.","Golden Royal Land Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-24T00:00:00Z,2014-01-24,2015-01-23T00:00:00Z,2015-01-23,Lead  Ore,Lead Ore,49.5,49.5,"No.(Ta-5/34), 63 x64 Street, Zizawar Lane Mtothit, Mandalay",93 /E-11/O
0221/2008,"Myanmar Golden High Land Mining Co.,Ltd.","Myanmar Golden High Land Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-10-03T00:00:00Z,2014-10-03,2015-10-02T00:00:00Z,2015-10-02,Lead and Zinc Ore,Lead and Zinc Ore,49.5,49.5,"No.(18), Kantkaw(1)  Street,(5)Block,Mya Kan Thar Housingm Hlaing Township,Yangon",93 E/10
0239/2009,"Thein Than Mining Co.,Ltd.","Thein Than Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,Lead and Zinc Ore,Lead and Zinc Ore,49.5,49.5,"No. (521), Moekyut Street, Industry Zone (1), South Dagon Township, Yangon",93 D-13 LM
0240/2009,,"Thein Than Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,,Lead and Zinc Ore,49.5,49.5,,93 D-13 LM
0001/2009,,"Thein Than Mining Co.,Ltd.",,Production Sharing (Small Scale),2015-01-01T00:00:00Z,2015-01-01,2015-01-31T00:00:00Z,2015-01-31,,Lead and Zinc Ore,49.5,49.5,,93 B/7 LB
0023/2010,Kachin Lay Industry Co.Ltd.,Kachin Lay Industry Co.Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-28T00:00:00Z,2014-01-28,2015-01-27T00:00:00Z,2015-01-27,Lead Ore,Lead Ore,49.5,49.5,"No. (189/B), Thukha Street, (52)Lane,  Hlaing Township, Yangon",93 D/6 LL
0484/2010,"Sun Linn International Export & Import Co.,Ltd","Sun Linn International Export & Import Co.,Ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-08-04T00:00:00Z,2014-08-04,2015-08-03T00:00:00Z,2015-08-03,Lead and Zinc Ore,Lead and Zinc Ore,49.5,49.5,"No. (387),Room (15/17) Shwe Bon Thar Street, Papantan Township, Yangon",92 J/12 LZ
0353/2011,,"Sun Linn International Export & Import Co.,Ltd",,Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,,Lead and Zinc Ore,49.5,49.5,,92 K/6
0354/2011,,"Sun Linn International Export & Import Co.,Ltd",,Production Sharing (Small Scale),2014-01-29T00:00:00Z,2014-01-29,2015-01-28T00:00:00Z,2015-01-28,,Lead and Zinc Ore,49.5,49.5,,92 K/6
0355/2011,,"Sun Linn International Export & Import Co.,Ltd",,Production Sharing (Small Scale),2014-01-29T00:00:00Z,2014-01-29,2015-01-28T00:00:00Z,2015-01-28,,Lead and Zinc Ore,49.5,49.5,,92 K/6
0127/2014,,"Sun Linn International Export & Import Co.,Ltd",,Production Sharing (Small Scale),,,,,,Lead and Zinc Ore,,,,92 K/6
0128/2014,,"Sun Linn International Export & Import Co.,Ltd",,Production Sharing (Small Scale),,,,,,Lead and Zinc Ore,,,,92 K/6
0024/2010,Shan Taung Mining  Co.Ltd.,Shan Taung Mining Co.Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-29T00:00:00Z,2014-01-29,2015-01-28T00:00:00Z,2015-01-28,Lead Associate Minerals,Lead Associated,49.5,49.5,"No. (257), Myakanthar  Street, NyauntShwe Hawkhone Block, Taungyi Township Shan",93 D/13 LM
0410/2010,"Douhtawady Copper Gold Co.,Ltd.","Douhtawady Copper Gold Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-06-10T00:00:00Z,2014-06-10,2015-06-09T00:00:00Z,2015-06-09,Copper Ore,Copper Ore,49.5,49.5,"Shwepyareai Computer, 22 street, Kannar Street AungMyaytharZan Township, Mandalay",84 M/10
0409/2010,,"Douhtawady Copper Gold Co.,Ltd.",,Production Sharing (Small Scale),2014-06-10T00:00:00Z,2014-06-10,2015-06-09T00:00:00Z,2015-06-09,,Copper Ore,37.0,37.0,,84 M/10
018/2010,"Shwe Lar Taung Co.,Ltd.","Shwe Lar Taung Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-05T00:00:00Z,2014-03-05,2015-03-04T00:00:00Z,2015-03-04,Lead Associate Minerals,Lead Associated,49.5,49.5,"No. 62 (1B), Yadanar Thukha Street, Sa/ka Quarter, Thingangyun Township, Yangon",93 C/12 M
0351/2011,"Aye Thitsar Industrial Co.,Ltd","Aye Thitsar Industrial Co.,Ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,Lead Ore,Lead Ore,49.5,49.5,"No. (38), Ayetharyar Industry Zone,Taunggyi Township, Shan state",93 D-13 LM
,,"Aye Thitsar Industrial Co.,Ltd",,Production Sharing (Small Scale),2013-02-06T00:00:00Z,2013-02-06,2016-02-05T00:00:00Z,2016-02-05,,Lead Ore,49.5,49.5,,
0022/2013,,"Aye Thitsar Industrial Co.,Ltd",,Production Sharing (Small Scale),,,,,,Lead Ore,,,,93 D-13 LM
0126/2013,"Seven Two Seven Mining Co., Ltd/.","Seven Two Seven Mining Co., Ltd/.",Production Sharing (Small Scale),Production Sharing (Small Scale),2013-07-12T00:00:00Z,2013-07-12,2016-07-11T00:00:00Z,2016-07-11,Copper Associate Minerals,Copper and Associated,49.5,49.5,"No. (12), Thayaphy street, Nandawann Block, Monywa Township, Saging Division",83 P/10 SG 
0141/2014,"Hein Htike Mining Co., Ltd.","Hein Htike Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-05-07T00:00:00Z,2014-05-07,6/5/207,2017-05-06,Lead Associate Minerals,Lead Associated,49.5,49.5,"No. (85), (1) Quarter, Chinshwehaw, Conlon Township, Shan State",93 E/7 T
0062/2014,"Sai Wanna Mining Co., Ltd.","Sai Wanna Mining Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-28T00:00:00Z,2014-01-28,2017-01-27T00:00:00Z,2017-01-27,Lead Associate Minerals,Lead Associated,49.5,49.5,"No. (83), Natsin Street,(4) Block, Kyithon  Townshipm Shan State",93 C/7L
0329/2010,"Lamin Htet Mining Co.,Ltd.","Lamin Htet Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-04-26T00:00:00Z,2014-04-26,2015-04-25T00:00:00Z,2015-04-25,Copper Ore,Copper Ore,49.5,49.5,"No. (35-B), Ooyin  Street, University Yitthar New Street, Bahan Township, Yangon",85 K/14
0330/2010,,"Lamin Htet Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-04-26T00:00:00Z,2014-04-26,2015-04-25T00:00:00Z,2015-04-25,,Copper Ore,49.5,49.5,,85 K/14
0331/2010,,"Lamin Htet Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-04-26T00:00:00Z,2014-04-26,2015-04-25T00:00:00Z,2015-04-25,,Copper Ore,49.5,49.5,,85 K/14
0001/2010,"Myay Nager Mining Co.,Ltd.","Myay Nager Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-19T00:00:00Z,2014-01-19,2015-01-18T00:00:00Z,2015-01-18,Lead  Carbonate,Lead Carbonate,49.5,49.5,"Bawsaing region, Kawlaw township",93 D-13 LM
0238/2009,"Zenith Gold Star Mining Co.,Ltd.","Zenith Gold Star Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Lead Ore,Lead Ore,,,"Builing D-422, Pyia Road, 9 Mile Thiri Condo  Manyankhone Twn, Yangon",H-9/ N
0362/2011,"Phyo Kywe Myay Mining Vo., Ltd.","Phyo Kywe Myay Mining Vo., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Lead Ore,Lead Ore,,,"Building 29, Rm 12, U Wizarya Housing, Dagon Townshiop,Yangon",93 D-13 LM
0363/2011,,"Phyo Kywe Myay Mining Vo., Ltd.",,Production Sharing (Small Scale),,,,,,Lead Ore,,,,93 D-13 LM
0204/2010,"Aung Than Lwin Mining Co.,Ltd.","Aung Than Lwin Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-04-08T00:00:00Z,2014-04-08,2015-04-07T00:00:00Z,2015-04-07,Lead Ore,Lead Ore,49.5,49.5,"No. (72), Bochoke Aung San Street, Kholon Qurter, Khonelon Township Shan State",93 I/11 SP
0203/2010,"Ngwe Htike San Production Co.,Ltd.","Ngwe Htike San Production Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-04-08T00:00:00Z,2014-04-08,2015-04-07T00:00:00Z,2015-04-07,Lead Ore,Lead Ore,48.0,48.0,"No. (61) Ruby Street, Yadanarthiri Block, Taungyi Township, Shan",93 D-13 LM
0771/2010,"Kyai war Mining Co.,Ltd.","Kyai war Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Copper Ore,Copper Ore,49.5,49.5,"No. (524/B), Trade Street Kyauktathar Township, Yangon",83 P/11
0772/2010,,"Kyai war Mining Co.,Ltd.",,Production Sharing (Small Scale),,,,,Copper Ore,Copper Ore,40.0,40.0,,83 P/11
0097/2013,,"Kyai war Mining Co.,Ltd.",,Production Sharing (Small Scale),2013-06-11T00:00:00Z,2013-06-11,2016-06-10T00:00:00Z,2016-06-10,Lead Associate Minerals,Lead Associated,49.5,49.5,,93 D/6 L
0021/2009,"Ruby Garden Mining Co.,Ltd. ","Ruby Garden Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2009-02-04T00:00:00Z,2009-02-04,2012-02-03T00:00:00Z,2012-02-03,"Zinc Associate Minerals
",Zinc Associated,50.0,50.0,"Shwe Li Yadanar Si Sat 12 Block, Layyinkwin  Street,Lashio Township, Shan",93 J/11 D
0052/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-03-08T00:00:00Z,2012-03-08,2015-03-07T00:00:00Z,2015-03-07,,Zinc Associated,49.0,49.0,,93 J/11 D
0053/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-03-08T00:00:00Z,2012-03-08,2015-03-07T00:00:00Z,2015-03-07,,Zinc Associated,40.0,40.0,,93 J/11 D
0054/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-03-08T00:00:00Z,2012-03-08,2015-03-07T00:00:00Z,2015-03-07,,Zinc Associated,40.5,40.5,,93 J/11 D
0055/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-03-08T00:00:00Z,2012-03-08,2015-03-07T00:00:00Z,2015-03-07,,Zinc Associated,41.0,41.0,,93 J/11 D
0056/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-03-08T00:00:00Z,2012-03-08,2015-03-07T00:00:00Z,2015-03-07,,Zinc Associated,49.5,49.5,,93 J/11 D
0057/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-03-08T00:00:00Z,2012-03-08,2015-03-07T00:00:00Z,2015-03-07,,Zinc Associated,40.0,40.0,,93 J/11 D
0058/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),,,,,,Zinc Associated,,,,93 J/11 D
0059/2012,,"Ruby Garden Mining Co.,Ltd.",,Production Sharing (Small Scale),,,,,,Zinc Associated,,,,93 J/11 D
0543/2010,"Su Myat Htun Mining Co.,Ltd.","Su Myat Htun Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-08-20T00:00:00Z,2014-08-20,2015-08-19T00:00:00Z,2015-08-19,Lead and Zinc Associate mineral,Lead and Zinc Associated,49.5,49.5,"No. (117), !st Floor 92 Street, KanEast Mingalartaungnyunt Township, Yangon",93 C/7 L
0356/2011,"Myanmar National Treasure Mining Co.,Ltd.","Myanmar National Treasure Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,"Lead and Zinc Associate mineral
",Lead and Zinc Associated,49.5,49.5,"No. (12), 3rd Floor, Thirimingalar street, Maynikhone North Sanchanung Township Yangon.",93 H/6 S
0357/2011,,"Myanmar National Treasure Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,,Lead and Zinc Associated,49.5,49.5,,93 H/6 S
0358/2011,,"Myanmar National Treasure Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,,Lead and Zinc Associated,49.5,49.5,,93 H/6 S
0250/2011,"New Days Asia  Mining Co.,Ltd.","New Days Asia Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-18T00:00:00Z,2014-03-18,2015-03-17T00:00:00Z,2015-03-17,Lead Associate Minerals,Lead Associated,49.5,49.5,"Room (302), No. (30) Sakarwar Street, Dagon Township, Yangon.",93 E/7
0241/2009,,"New Days Asia Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,,Lead Associated,49.5,49.5,,93 E/7 & 11
0242/2009,,"New Days Asia Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,,Lead Associated,49.5,49.5,,93 E/7 & 11
0243/2009,,"New Days Asia Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,,Lead Associated,49.5,49.5,,93 E/7 & 11
0244/2009,,"New Days Asia Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,,Lead Associated,49.5,49.5,,93 E/7 & 11
0245/2009,,"New Days Asia Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-11-27T00:00:00Z,2014-11-27,2015-11-26T00:00:00Z,2015-11-26,,Lead Associated,49.5,49.5,,93 E/7 & 11
0352/2011,"Star Rays Mining Co.,Ltd.","Star Rays Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-29T00:00:00Z,2014-03-29,2015-03-28T00:00:00Z,2015-03-28,Lead and Zinc Associate Minerals,Lead and Zinc Associated,45.0,45.0,"Yandnar Housing, B-4, Block (405) Mawyagiwar Quarter 75 x76 Street, chan ayetharzan Town, Mandalay",93 B/1
0020/2013,"Myanmar Aung Myay Manufacturing Co.,Ltd.","Myanmar Aung Myay Manufacturing Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2013-01-02T00:00:00Z,2013-01-02,2016-01-01T00:00:00Z,2016-01-01,Lead Associate Minerals,Lead Associated,45.0,45.0,"No. (141), Yandanarthiri Block, West Myo Pyat street, Taungyi Township, Shan",93 - D/13 LM
0367/2011,"Pyae Lyan Paing Mining Co.,Ltd.","Pyae Lyan Paing Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-09-30T00:00:00Z,2014-09-30,2015-09-29T00:00:00Z,2015-09-29,Lead Associate Minerals,Lead Associated,49.5,49.5,"No. (61), Ruby Street, Yadanarthiri Block, Taungyi Township, Shan",93 - D/13LM
0365/2011,"Shwe Hnin Hmon Mining Co.,Ltd.","Shwe Hnin Hmon Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-09-01T00:00:00Z,2014-09-01,2015-08-31T00:00:00Z,2015-08-31,Copper Associate Minerals,Copper and Associated,49.5,49.5,"No.(84), nearlyLashio Zaygyi, Lashio ",93 E/12 ST
0366/2011,,"Shwe Hnin Hmon Mining Co.,Ltd.",,Production Sharing (Small Scale),2014-09-01T00:00:00Z,2014-09-01,2015-08-31T00:00:00Z,2015-08-31,,Copper and Associated,49.5,49.5,,93 E/12 ST
0183/2010,"Khaing Se Hein Mining Co.,Ltd.","Khaing Se Hein Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-03-12T00:00:00Z,2014-03-12,2014-03-11T00:00:00Z,2014-03-11,Lead Zinc Ore,Lead and Zinc Ore,49.5,49.5,"No(1), Zabumantai Street,Bokannyunt Block, Thingangyun Township, Yangon",93 C/11 M & 93C/12M
0001/2010,"Sun Myanmar Internatioinal Mining Co.,Ltd.","Sun Myanmar Internatioinal Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2012-01-09T00:00:00Z,2012-01-09,2015-01-08T00:00:00Z,2015-01-08,Lead Ore,Lead Ore,49.5,49.5,"No. (797), Room(504-B) MACTower 11, Bochot AungSan street &Ware Tan Street, Lanmataw Township, Yangon",93 B/10
0002/2012,,"Sun Myanmar Internatioinal Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-01-09T00:00:00Z,2012-01-09,2015-01-08T00:00:00Z,2015-01-08,,Lead Ore,49.5,49.5,,93 I/4 SU
0158/2012,"Shwe Moe Yan Mining Co.,Ltd.","Shwe Moe Yan Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2012-08-30T00:00:00Z,2012-08-30,2015-08-29T00:00:00Z,2015-08-29,Lead Ore,Lead Ore,49.5,49.5,"No. (11-A), Khaung Street Sanchaung Township, Yangon",93 D/ 13 LM 
0159/2012,,"Shwe Moe Yan Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-08-30T00:00:00Z,2012-08-30,2015-08-29T00:00:00Z,2015-08-29,,Lead Ore,49.5,49.5,,93 D/ 13 LM 
0214/2012,"Lin Seinn Mining Co.,Ltd.","Lin Seinn Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2012-11-08T00:00:00Z,2012-11-08,2015-11-07T00:00:00Z,2015-11-07,Copper Ore,Copper Ore,49.5,49.5,"No.(84), nearlyLashio Zaygyi, Lashio ",93 E/12 ST
0215/2012,,"Lin Seinn Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-11-08T00:00:00Z,2012-11-08,2015-11-07T00:00:00Z,2015-11-07,,Copper Ore,49.5,49.5,,93 E/12 ST
0216/2012,,"Lin Seinn Mining Co.,Ltd.",,Production Sharing (Small Scale),2012-11-08T00:00:00Z,2012-11-08,2015-11-07T00:00:00Z,2015-11-07,,Copper Ore,49.5,49.5,,93 E/12 ST
0043/2013,"Gabar Thit Mining Co.,Ltd.","Gabar Thit Mining Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2013-02-13T00:00:00Z,2013-02-13,2016-02-12T00:00:00Z,2016-02-12,Lead Ore,Lead Ore,49.5,49.5,"No. (350), Room (8), Anawyathar Street, Lanmataw Township, Yangon",93 - D/13LM
0044/2013,,"Gabar Thit Mining Co.,Ltd.",,Production Sharing (Small Scale),2013-02-13T00:00:00Z,2013-02-13,2016-02-12T00:00:00Z,2016-02-12,,Lead Ore,49.5,49.5,,93 - D/13LM
0203/2012,"Top Ten Star Production Co.,Ltd.","Top Ten Star Production Co.,Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2012-10-22T00:00:00Z,2012-10-22,2015-10-21T00:00:00Z,2015-10-21,Lead Ore,Lead Ore,49.5,49.5,"No. (8), Lane (6), Mindama Street, Shwe Gabar Housing,  Mayanchone Township, Yangon",93 - D/13LM
0204/2012,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2012-10-22T00:00:00Z,2012-10-22,2015-10-21T00:00:00Z,2015-10-21,,Lead Ore,42.5,42.5,,93 - D/13LM
0205/2013,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2012-10-22T00:00:00Z,2012-10-22,2015-10-21T00:00:00Z,2015-10-21,,Lead Ore,47.4,47.4,,93 - D/13LM
0017/2012,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2012-12-28T00:00:00Z,2012-12-28,2015-12-27T00:00:00Z,2015-12-27,,Lead Ore,49.5,49.5,,93 - D/13LM
0018/2012,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2012-12-28T00:00:00Z,2012-12-28,2015-12-27T00:00:00Z,2015-12-27,,Lead Ore,49.5,49.5,,93 - D/13LM
0019/2012,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2012-12-28T00:00:00Z,2012-12-28,2015-12-27T00:00:00Z,2015-12-27,,Lead Ore,19.89,19.89,,93 - D/13LM
0021/2013,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2013-02-06T00:00:00Z,2013-02-06,2016-02-05T00:00:00Z,2016-02-05,,Lead Ore,49.5,49.5,,93 - D/13LM
0045/2013,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2013-02-06T00:00:00Z,2013-02-06,2016-02-05T00:00:00Z,2016-02-05,,Lead Ore,49.5,49.5,,93 - D/13LM
0046/2013,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2014-02-06T00:00:00Z,2014-02-06,2015-02-05T00:00:00Z,2015-02-05,,Lead Ore,49.5,49.5,,93 - D/13LM
0047/2013,,"Top Ten Star Production Co.,Ltd.",,Production Sharing (Small Scale),2014-02-06T00:00:00Z,2014-02-06,2015-02-05T00:00:00Z,2015-02-05,,Lead Ore,49.5,49.5,,93 - D/13LM
0059/2014,"Xie Shan Mining, Production & Marketing Co., Ltd.","Xie Shan Mining, Production & Marketing Co., Ltd.",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-02-13T00:00:00Z,2014-02-13,2017-02-12T00:00:00Z,2017-02-12,Lead Associate Minerals,Lead Associated,47.3,47.3,"H-1. MyaNandar Housing Sagaing Lane, Chan Myatharsi Township Mandalay",93 B/10
