Code/Ref,License holder,Company_Name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Coordinates of the license area
0003/2014,Aung& Saw Family Mining Co; Ltd.,Aung& Saw Family Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2013-12-18T00:00:00Z,2013-12-18,2016-12-17T00:00:00Z,2016-12-17,Antimony Mineral,Antimony,49.5,49.5,"No. (132), 93 Street, Mingalartaungnyunt Yangon.",94 E/1 LR
0001/2014,Asia Pacific Plantation Co; Ltd.,Asia Pacific Plantation Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2013-12-18T00:00:00Z,2013-12-18,2016-12-17T00:00:00Z,2016-12-17,Antimony Mineral,Antimony,49.5,49.5,"No. (132), 93 Street, Mingalartaungnyunt Yangon.",94 E/1 LR
0002/2014,,Asia Pacific Plantation Co; Ltd.,,Production Sharing (Small Scale),2013-12-18T00:00:00Z,2013-12-18,2016-12-17T00:00:00Z,2016-12-17,,Antimony,49.5,49.5,,94 E/1 LR
0241/2011,KaYah Golden Gate Mining Co; Ltd. (Shan/South),KaYah Golden Gate Mining Co; Ltd. (Shan/South),Production Sharing (Small Scale),Production Sharing (Small Scale),,,,,Antimony Mineral,Antimony,49.5,49.5,"No. (50), 46 Street (Middle), Botathaung Township, Yangon",94/A/14
0008/2012,KaYah Golden Gate  Mining Co; Ltd. (Kayah),KaYah Golden Gate Mining Co; Ltd. (Kayah),Production Sharing (Small Scale),Production Sharing (Small Scale),2014-01-20T00:00:00Z,2014-01-20,2015-01-19T00:00:00Z,2015-01-19,Antimony Mineral,Antimony,49.5,49.5,"No. (50), 46 Street (Middle), Botathaung Township, Yangon",94 E/1 R
0368/2011,Thuwanna Myay Si Mining Co; Ltd.,Thuwanna Myay Si Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2014-10-06T00:00:00Z,2014-10-06,2015-10-05T00:00:00Z,2015-10-05,Antimony Mineral,Antimony,49.5,49.5,"No. 19, 23 Street,  Lathar Township, Yangon",95-I/5
0369/2011,,Thuwanna Myay Si Mining Co; Ltd.,,Production Sharing (Small Scale),2014-10-06T00:00:00Z,2014-10-06,2015-10-05T00:00:00Z,2015-10-05,,Antimony,49.5,49.5,,95-I/5
0004/2014,"Sein Tharaphu International Co,Ltd","Sein Tharaphu International Co,Ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2013-12-18T00:00:00Z,2013-12-18,2016-12-17T00:00:00Z,2016-12-17,Antimony Mineral,Antimony,49.5,49.5,"No. (50), Thirimon  Housing, 15 Block, Thiri (6) Street, Hlaing Township, Yangon",94 L/8
0103/2013,"Phu wai Hein Mining Co, Ltd","Phu wai Hein Mining Co, Ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2013-06-11T00:00:00Z,2013-06-11,2016-06-10T00:00:00Z,2016-06-10,Antimony Mineral,Antimony,49.5,49.5,"No. 598, Phung Gyi Street, Haleku",94 G/8
0104/2013,,"Phu wai Hein Mining Co, Ltd",,Production Sharing (Small Scale),,,,,,Antimony,49.5,49.5,,94 G/8
0376/2011,"Eastern Highland Mineral Exploration and Mining Co.,ltd","Eastern Highland Mineral Exploration and Mining Co.,ltd",Production Sharing (Small Scale),Production Sharing (Small Scale),2014-10-27T00:00:00Z,2014-10-27,2015-10-26T00:00:00Z,2015-10-26,Antimony Mineral,Antimony,49.5,49.5,"Building(15), 8 Block Thakayta MyaKhar Nyo Housing Yangon",93 K/9
0203/2009,Thein Than Mining Co; Ltd.,Thein Than Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2013-10-28T00:00:00Z,2013-10-28,2014-10-27T00:00:00Z,2014-10-27,Antimony Mineral,Antimony,49.5,49.5,"No. (521), Moekyut Street, Industry Zone (1), South Dagon  Township, Yangon",94 G/16
0370/2011,Thu Za Na Pwint Mining Co; Ltd.,Thu Za Na Pwint Mining Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2011-10-10T00:00:00Z,2011-10-10,2014-10-09T00:00:00Z,2014-10-09,Antimony Mineral,Antimony,49.5,49.5,"No.(22), Min Ye KyawSwarLand(2), AungTharyarQuarter Than PhyuZayit",95-I/6 Y
0371/2011,,Thu Za Na Pwint Mining Co; Ltd.,,Production Sharing (Small Scale),2011-10-10T00:00:00Z,2011-10-10,2014-10-09T00:00:00Z,2014-10-09,,Antimony,49.5,49.5,,95-I/6 Y
0364/2011,Thu Ya Kan Chun Co; Ltd.,Thu Ya Kan Chun Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2011-07-01T00:00:00Z,2011-07-01,2014-06-30T00:00:00Z,2014-06-30,Antimony Mineral,Antimony,49.5,49.5,"No. (451)Thu Mingalar Street Ward No(7) SouthOkkalarpa Township, Yangon",94 E/6-7 LW
084/2012,Htay FamilyGeneral Manufacturing Co;  Ltd.,Htay FamilyGeneral Manufacturing Co; Ltd.,Production Sharing (Small Scale),Production Sharing (Small Scale),2012-03-21T00:00:00Z,2012-03-21,2015-03-20T00:00:00Z,2015-03-20,Antimony Mineral,Antimony,45.9,45.9,"32 (B)Highland Loadge Street, (6) Wards 7 Mile Pyay Road, Mayangone  Township, Yangon",95-I/7
085/2012,,Htay FamilyGeneral Manufacturing Co; Ltd.,,Production Sharing (Small Scale),2012-03-21T00:00:00Z,2012-03-21,2015-03-20T00:00:00Z,2015-03-20,,Antimony,45.9,45.9,,95-I/7
