Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,PSC ratio,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_km2_cl,Location (Region),Location_state_cl
0251/2015,"Dawei Myay Mining Co.,Ltd","Dawei Myay Mining Co.,Ltd",production,Production,32.8 : 67.2,23.12.2015,2015-12-23,22.12.2018,2018-12-22,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0079/2015,"Shwe Toung Oo Co.,Ltd","Shwe Toung Oo Co.,Ltd",production,Production,30 : 70,25.3.2015,2015-03-25,24.3.2018,2018-03-24,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0128/2012,"Aung Hein Bo Win   Co.,Ltd","Aung Hein Bo Win Co.,Ltd",production,Production,30 : 70,8.4.2012,2012-04-08,7.4.2017,2017-04-07,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0062/2015,"Htun Kyae Tapwint Co.,Ltd","Htun Kyae Tapwint Co.,Ltd",production,Production,30 : 70,12.3.2015,2015-03-12,11.3.2018,2018-03-11,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0189/2015,"U Soung Thu Mining Co.,Ltd","U Soung Thu Mining Co.,Ltd",production,Production,32.8 : 67.2,23.9.2015,2015-09-23,22.9.2018,2018-09-22,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.08,0.08,Taninthayi,Tanintharyi
0486/2010,"Golden Sea Mining Co., Ltd ","Golden Sea Mining Co., Ltd",production,Production,32.8 : 67.2,4.8.2010,2010-08-04,3.8.2016,2016-08-03,Tin,Tin,0.2,0.2,Taninthayi,Tanintharyi
0487/2010,"Golden Sea Mining Co., Ltd ","Golden Sea Mining Co., Ltd",production,Production,32.8 : 67.2,4.8.2010,2010-08-04,3.8.2016,2016-08-03,Tin,Tin,0.2,0.2,Taninthayi,Tanintharyi
0489/2010,"Golden Sea Mining Co., Ltd ","Golden Sea Mining Co., Ltd",production,Production,32.8 : 67.2,4.8.2010,2010-08-04,3.8.2016,2016-08-03,Tin,Tin,0.2,0.2,Taninthayi,Tanintharyi
0112/2012,"Phuk par(L)Co.,Ltd","Phuk par(L)Co.,Ltd",production,Production,30 : 70,22.5.2012,2012-05-22,21.5.2016,2016-05-21,Tin,Tin,0.15,0.15,Taninthayi,Tanintharyi
0155/2015,Aung Brother Mining ,Aung Brother Mining,production,Production,32.8 : 67.2,22.7.2015,2015-07-22,21.7.2020,2020-07-21,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
0186/2011,"Aung Dana Thukha Co.,Ltd","Aung Dana Thukha Co.,Ltd",production,Production,32.8 : 67.2,24.2.2011,2011-02-24,23.2.2017,2017-02-23,Tin,Tin,0.2,0.2,Taninthayi,Tanintharyi
0773/2010,"Wai International Export & Import Mining Co., Ltd ","Wai International Export & Import Mining Co., Ltd",production,Production,32.8 : 67.2,29.10.2010,2010-10-29,28.10.2016,2016-10-28,Tin,Tin,0.2,0.2,Taninthayi,Tanintharyi
0774/2010,"Wai International Export & Import Mining Co., Ltd ","Wai International Export & Import Mining Co., Ltd",production,Production,32.8 : 67.2,29.10.2010,2010-10-29,28.10.2016,2016-10-28,Tin,Tin,0.2,0.2,Taninthayi,Tanintharyi
0123/2015,"Paye Sone Myat Mining Co.,Ltd ","Paye Sone Myat Mining Co.,Ltd",production,Production,30 : 70,17.6.2015,2015-06-17,16.6.2020,2020-06-16,"Tin/Tungsten
 Mixed",Tin and Tungsten,0.2,0.2,Taninthayi,Tanintharyi
