,Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl,License_type_cl,Location (Region),Location_state_cl,Year
34,,210.0,,2012-06-28, 0009/2012,Limestone,"Good Brothers Missionary Co.,Ltd",DOM,2022-06-27,Pyin Oo Lwin,Taung Kan,,Large,,Mandalay,2014-15
35,,297.0,,2012-07-20, 0010/2012,Limestone,"Triple""A""Cement International Co.,Ltd",DOM,2022-07-19,Kyautse' ,Taung Taw,,Large,,Mandalay,2014-15
36,,774.79,,2012-06-21,0011/2012,Baryte,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DOM,2017-06-20,Pyin Oo Lwin, Pengwekone,,Large,,Mandalay,2014-15
37,,774.79,,2013-06-21,,Baryte,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DOM,2017-06-20,Pyin Oo Lwin, Sie Thar,,Large,,Mandalay,2014-15
38,,413.23,,2012-06-21,,Baryte,  Eden Energy and Natural Resources Development                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,DOM,2017-06-20,Pyin Oo Lwin, TaungKyune,,Large,,Mandalay,2014-15
39,,6105.0,,2011-09-16, 0051/2011,Gold,"National Prosperity Co.,Ltd",DOM,2036-09-15,Yamathin,Moedimomei,,Large,,Mandalay,2014-15
40,,8485.0,,2011-09-16, 0052/2011,Gold,"Shwe Moe Yan Co.,Ltd",DOM,2036-09-15,Yamathin,Moedimomei,,Large,,Mandalay,2014-15
41,,29.5,,2012-12-01, 0014/2012,Limestone,"No(1)Heavy Industry,Ministry of Industry",DOM,2022-11-30,Thar Si,,,Large,,Mandalay,2014-15
42,,148.0,,2013-05-09, 003/2013,Limestone,"Mandalay Cement Industry Co.,Ltd",DOM,2023-05-08,Kyautse' ,SinTap Taung,,Large,,Mandalay,2014-15
43,,359.0,,2014-03-20, 0002/2014,Coal,"Shwe Pouk Pouk Mining Co.,ltd",DOM,2024-03-19,Thar Si,KyatSakahn,,Large,,Mandalay,2014-15
44,,136.0,,2014-03-20, 0003/2014,Coal,"Shwe Pouk Pouk Mining Co.,ltd",DOM,2024-03-19,Thar Si,KyatSakahn,,Large,,Mandalay,2014-15
45,,927.0,,2014-04-09, 0005/2014,Limestone,"Max Myanmar Industry Co;.,Ltd",DOM,2024-04-08,Thar Si,Pyinnaung,,Large,,Mandalay,2014-15
46,,223.0,,2014-11-21,0007/2014,Coal,"Shwe Pouk Pouk Mining Co.,ltd",DOM,2014-11-20,Thar Si,KyatSakahn,,Large,,Mandalay,2014-15
47,,232.0,,2014-11-26, 0008/2014,Coal,"ThukhaPanThu Mining Co.,Ltd",DOM,2024-11-25,Thar Si,KyatSakahn,,Large,,Mandalay,2014-15
48,,130.23,,2014-12-03, 0010/2014,Limestone,"Than Taw Myat Co.,ltd",DOM,2024-12-02,Kyautse' ,ThanTawMyat ,,Large,,Mandalay,2014-15
49,,100.0,,2015-01-07, 0001/2015,Marble,"Htoo Han Thit Co.,Ltd",DOM,2025-01-06,Sinku,Ngwe Taung,,Large,,Mandalay,2014-15
50,,216.0,,2000-07-27, 0029/2000,Limestone,Myanma Economic Holding Ltd.,DOM,2020-07-26,Kyautse' ,NgwarLaikkyout,,Large,,Mandalay,2014-15
51,,413.22,,1999-08-01, 12/1999,Granite,Myanma Economic Holding Ltd.,DOM,2019-07-31,Belin ,KyoutMell taung,,Large,,Mon,2014-15
52,,480.0,,1999-08-01, 17/1999,Granite,Myanma Economic Holding Ltd.,DOM,2019-07-31, Kyaik Hto,Tinwartaung,,Large,,Mon,2014-15
53,,213.87,,2010-10-29, 0016/2010,Limestone,"Myanmar Might Industru Co.,Ltd",DOM,2020-10-28,Kyaikmaraw,Hnidon Taung,,Large,,Mon,2014-15
54,,356.4,,2015-02-01, 0009/2011,Limestone,"June  Industrial and Mining Co.,Ltd",DOM,2036-01-30,Kyaikmaraw,Pya Taung(North),,Large,,Mon,2014-15
55,,320.0,,2011-03-16, 0032/2011,Limestone,Pacific Link Cement Industries Ltd,DOM,2036-03-15,Kyaikmaraw,Pya Taung,,Large,,Mon,2014-15
56,,210.0,,2011-03-30, 0040/2011,Limestone,"Famar Pho Yazar Mining Co.,Ltd",DOM,2021-03-29,Kyaikmaraw,AhtoranTaung,,Large,,Mon,2014-15
57,,3840.0,,1999-01-08, 19/1999,Limestone,"No(2)Heavy Industry,Ministry of Industry",DOM,2019-07-31,Kyan Khinn, Htonetaung,,Large,,Ayeyarwady,2014-15
58,,100.0,,2000-11-15, 19/1999,Limestone,"No(2)Heavy Industry,Ministry of Industry",DOM,2020-11-14,Kyan Khinn,Htonetaung,,Large,,Ayeyarwady,2014-15
59,,34.44,,2003-07-11, 3/2003,Glass Sand,"No(2)Heavy Industry,Ministry of Industry",DOM,2023-07-10,Ngaputaw,SinKuugyi,,Large,,Ayeyarwady,2014-15
60,,7024.0,,2014-02-28, 1/2002,Tin and Tungsten,"KMPC Co.,Ltd",DOM,2019-02-27,PharSoung,Mawchi Mine,,Large,,Kayah,2014-15
61,,32257.74,,2010-08-11, 28/2000,Zinc,May Flower Mining Enterprise Ltd,DOM,2015-08-10,Myawaddy,Mawkel WalLay,,Large,,Kayin,2014-15
62,,252.6,,2001-07-30, 8/2001,Limestone,Myanma Economic   Corporation,DOM,2026-07-29,Pha-An ,Thandie taung,,Large,,Kayin,2014-15
63,,281.16,,2001-07-30, 9/2001,Iron,"No(2)Heavy Industry, Ministry of Industry",DOM,2026-07-29,Pha-An ,MarMee Taung,,Large,,Kayin,2014-15
64,,39.62,,2001-07-30, 10/2001,Clay,"No(2)Heavy Industry,  Ministry of Industry",DOM,2026-07-29,Pha-An ,No(1)Clay,,Large,,Kayin,2014-15
65,,87.26,,2001-07-30, 11/2001,Clay,"No(2)Heavy Industry,Ministry of Industry",DOM,2026-07-29,Pha-An ,No(2)Clay,,Large,,Kayin,2014-15
66,,3960.0,,2011-12-12, 12/2001,Antimony,"Tha Byu Mining Co.,Ltd",DOM,2016-12-11,Kyarinsekgyi,Thabyu,,Large,,Kayin,2014-15
67,,43.0,,2010-01-20,0002/2010,Granite,"Silver Lion Mining Co.,Ltd",DOM,2020-01-19,Pha-An ,KyattikeKwin,,Large,,Kayin,2014-15
68,,1599.0,,2011-03-30, 0041/2011,Limestone,"United Cement Co.,Ltd",DOM,2021-03-29,Pha-An ,Kyawpyin and Mikayin ,,Large,,Kayin,2014-15
69,,5841.444,,2011-01-03,0001/2011,Copper,Myanma Economic Holding Ltd.,DOM,2036-01-02,SarLinGyi,Kyae Sin Taung,,Large,,Sagaing,2014-15
70,,6005.163,,2011-02-04, 0010/2011,Coal,"Htoo International Industrial Gorup Co.,Ltd",DOM,2021-02-03,Kalaywa,Labinchaung,,Large,,Sagaing,2014-15
71,,4500.0,,2014-07-09, 6/2004,Coal,"Tun Thwin Mining Co.,Ltd",DOM,2019-07-08,Kalaywa,PaluZawa,,Large,,Sagaing,2014-15
72,,5165.25,,2005-01-24, 4/2005,Coal,Myanma Economic Holding Ltd.,DOM,2025-01-23,Kalaywa,KyoukOn Chaung,,Large,,Sagaing,2014-15
73,,2324.9,,2007-12-28, 1/2007,Coal,"Thiha Thant Hein Co.,Ltd",DOM,2017-12-27,Mawleik,MawLikeGyi & NanPanMon Chaung,,Large,,Sagaing,2014-15
74,,4105.0,,2008-11-10,0005/2008,Coal,Yangon City Development Committee,DOM,2018-11-09,Mawleik,DarThweKyouk,,Large,,Sagaing,2014-15
75,,7946.736,,2010-03-05,0003/2010,Copper,Myanmar Economic Holding Limited,DOM,2048-03-04,SarLinGyi,Latpataung,,Large,,Sagaing,2014-15
76,,,,2008-07-28,0004/2008,Nickel,Myanmar CNMC Nickel Co; LTD,DOM,2028-07-27,Thaneikyin,Ta Gaung Taung,,Large,,Mandalay,2014-15
77,,3320.36,,2010-10-29,0015/2010,Coal,"Dagon Mining Co.,Ltd",DOM,2020-10-28,Mawleik,DarThweKyouk,,Large,,Sagaing,2014-15
78,,3378.2,,2011-01-18,0005/2011,Coal,Shwe Taung Mining,DOM,2021-01-17,Kalawa ,Plauzawa,,Large,,Sagaing,2014-15
79,,6574.06,,2011-01-18,0007/2011,Coal,"Group Of Four Mining Co.,Ltd",DOM,2021-01-17,Mawleik,DarThweKyouk,,Large,,Sagaing,2014-15
