,Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl,License_type_cl,Location (Region),Location_state_cl,Year
1076,,0.0809,,2014-06-18,0197/2014,Gold,"Shwe Min Gyi Co.,Ltd",DOM,2015-06-17,Homalin,ManHone,,Small,,Sagaing,2014-15
1077,,0.0809,,2014-03-12,0155/2014,Gold,"Shwe ThuKha Aung Co.,Ltd",DOM,2015-03-11,Homalin,Laungmin,,Small,,Sagaing,2014-15
1078,,0.0809,,2014-04-09,0135/2014,Gold,"Mya & Kyu Co.,Ltd",DOM,2015-04-08,Homalin,Poaktho,,Small,,Sagaing,2014-15
1079,,0.0809,,2014-04-09,0136/2014,Gold,"Mya & Kyu Co.,Ltd",DOM,2015-04-08,Homalin,Poaktho,,Small,,Sagaing,2014-15
1080,,0.0809,,2014-06-11,0189/2014,Gold,"727 Mining Co.,Ltd",DOM,2015-06-10,Bamouk,NarNapTun,,Small,,Sagaing,2014-15
1081,,0.0809,,2014-05-27,0186/2014,Gold,"Bo Myint Min Zaw Co.,Ltd",DOM,2016-05-27,Homalin,LaungPhoung,,Small,,Sagaing,2014-15
1082,,0.0809,,2014-06-18,0203/2014,Gold,"Yadanar Aung Pan Co.,Ltd",DOM,2015-06-17,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1083,,0.0809,,2014-03-26,0217/2014,Gold,"Shwe La Yaung Co.,Ltd",DOM,2015-03-25,Homalin,LaungPhoung,,Small,,Sagaing,2014-15
1084,,0.0809,,2014-03-26,0218/2014,Gold,"Shwe La Yaung Co.,Ltd",DOM,2015-03-25,Homalin,LaungPhoung,,Small,,Sagaing,2014-15
1085,,0.0809,,2014-07-02,0207/2014,Gold,"Pyi Chit Thar Mining Co.,Ltd",DOM,2015-07-01,Homalin,Helpat,,Small,,Sagaing,2014-15
1086,,0.0809,,2014-07-30,0214/2014,Gold,"Tun Myint Myat Aung Co.,Ltd",DOM,2015-07-29,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1087,,0.0809,,2014-08-19,0222/2014,Gold,"Shin Thant Aung Myin Co.,Ltd",DOM,2015-08-18,Homalin,Helpat,,Small,,Sagaing,2014-15
1088,,0.0809,,2014-09-03,0238/2014,Gold,"Shwe Lin Aung Co.,Ltd",DOM,2015-09-02,Bamouk,KwelKawGyi,,Small,,Sagaing,2014-15
1089,,0.0809,,2014-08-27,0235/2014,Gold,"Cho Group Production C.,Ltd",DOM,2015-08-26,PinLelbu,Magyipin,,Small,,Sagaing,2014-15
1090,,0.0809,,2014-09-17,0245/2014,Gold,"Shwe Ni Hla Co.,Ltd",DOM,2015-09-16,Bamouk,ManInMinKone,,Small,,Sagaing,2014-15
1091,,0.0809,,2014-09-17,0246/2044,Gold,"Shwe Ni Hla Co.,Ltd",DOM,2015-09-16,Bamouk,,,Small,,Sagaing,2014-15
1092,,0.0809,,2014-09-17,0247/2014,Gold,"Shwe Sin Tun(Namptaw) Co.,Ltd",DOM,2015-09-16,Homalin,LaungPhoung,,Small,,Sagaing,2014-15
1093,,0.0809,,2014-09-17,0250/2014,Gold,"Lin Khant Kyaw Co.,Ltd",DOM,2015-09-16,Homalin,NaungMoe,,Small,,Sagaing,2014-15
1094,,0.0809,,2014-09-17,0244/2014,Gold,"Hein Hein Than Co.,Ltd",DOM,2015-09-16,Bamouk,ManInMinKone,,Small,,Sagaing,2014-15
1095,,0.0809,,2014-09-03,0239/2014,Gold,"Exploration Art Myanmar Co.,Ltd",DOM,2015-09-02,Homalin,SayTiSate,,Small,,Sagaing,2014-15
1096,,0.0809,,2014-07-02,206/2014,Gold,"Kaungkin Kyi Sin Co,.Ltd",DOM,2015-07-01,Homalin,NyuangKone,,Small,,Sagaing,2014-15
1097,,0.0809,,2014-08-27,0236/2014,Gold,"Shwe Min Gyi Co.,Ltd",DOM,2015-08-26,Homalin,ManHone,,Small,,Sagaing,2014-15
1098,,0.0809,,2014-09-17,0241/2014,Gold,"Shwe Ma Haw Mining Co.,Ltd",DOM,2015-09-16,Homalin,Helpat,,Small,,Sagaing,2014-15
1099,,0.0809,,2014-09-17,0243/2014,Gold,Shwe Pyi Kyaw,DOM,2015-09-16,Phoungpin,PhoungTaw,,Small,,Sagaing,2014-15
1100,,0.0809,,2014-09-17,0248/2014,Gold,"Myanmar Shwe Kone Myint Co.,Ltd",DOM,2015-09-16,Wintho,TaungNi Ma,,Small,,Sagaing,2014-15
1101,,0.0809,,2014-09-17,0249/2014,Gold,"Myanmar Shwe Kone Myint Co.,Ltd",DOM,2015-09-16,Wintho,TaungNi Ma,,Small,,Sagaing,2014-15
1102,,0.0809,,2014-06-10,0219/2014,Gold,"MIG Co.,Ltd",DOM,2015-06-10,Homalin,LaungPhoung,,Small,,Sagaing,2014-15
1103,,0.0809,,2014-10-09,0257/2014,Gold,"Aung Khant Swan Co.,Ltd",DOM,2015-10-08,Homalin,NaungHin,,Small,,Sagaing,2014-15
1104,,0.0809,,2014-10-15,0264/2014,Gold,"727 Mining Co.,Ltd",DOM,2015-10-14,Bamouk,Khinan,,Small,,Sagaing,2014-15
1105,,0.0809,,2014-10-15,0263/2014,Gold,"727 Mining Co.,Ltd",DOM,2015-10-14,Bamouk,Khinan,,Small,,Sagaing,2014-15
1106,,0.0809,,2014-10-15,0268/2014,Gold,Shwe Win Aung Aung,DOM,2015-10-14,Bamouk,NarNapTun,,Small,,Sagaing,2014-15
1107,,0.0809,,2014-10-01,0255/2014,Gold,"Asia Golden Brightes Co.,Ltd",DOM,2015-09-30,Wintho,NyanChayTauk,,Small,,Sagaing,2014-15
1108,,0.0809,,2014-10-01,0256/2014,Gold,"Asia Golden Brightes Co.,Ltd",DOM,2015-09-30,Wintho,NyanChayTauk,,Small,,Sagaing,2014-15
1109,,0.0809,,2013-10-20,0746/2000,Gold,"Chan Mya Shweyae Co.,Ltd",DOM,2014-10-19,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1110,,0.0809,,2014-10-09,0258/2014,Gold,"Shwe Kyar San Co.,Ltd",DOM,2015-10-08,Homalin,Helpat,,Small,,Sagaing,2014-15
1111,,0.0809,,2014-10-15,0267/2014,Gold,"Yadanar KyiMar Aung Co.,Ltd",DOM,2015-10-14,Homalin,TarmelPoke,,Small,,Sagaing,2014-15
1112,,0.0809,,2014-10-09,0260/2014,Gold,"Thein Ylan Shwe Sin Co.,Ltd",DOM,2015-10-08,Homalin,HamanThi,,Small,,Sagaing,2014-15
1113,,0.0809,,2014-06-25,0204/2014,Gold,"Swan Htet Win Mining Co.,Ltd",DOM,2015-06-24,Homalin,MineKine,,Small,,Sagaing,2014-15
1114,,0.0769,,2014-11-05,0271/2014,Gold,"Min Thiha Aung Co.,Ltd",DOM,2015-11-04,Homalin,KyanKone,,Small,,Sagaing,2014-15
1115,,0.0809,,2014-10-01,0254/2014,Gold,"7 Stars Co.,Ltd",DOM,2015-09-30,Homalin,Helpat,,Small,,Sagaing,2014-15
1116,,0.0607,,2014-09-17,0242/2014,Gold,"Shwe Phyo Thisar Mahtaine Co.,Ltd",DOM,2015-09-16,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1117,,0.0809,,2014-11-05,0272/2014,Gold,"Soe Myat Yadanar Co.,Ltd",DOM,2015-11-04,Homalin,HamanThi,,Small,,Sagaing,2014-15
1118,,0.0809,,2014-10-09,0259/2014,Gold,"Shin Thant Aung Myin Co.,Ltd",DOM,2015-10-08,Homalin,Helpat,,Small,,Sagaing,2014-15
1119,,0.0809,,2014-10-30,0269/2014,Gold,"Shwe Toetap Wai Kyaw Co.,Ltd",DOM,2015-10-29,Homalin,KhoTaung,,Small,,Sagaing,2014-15
1120,,0.0809,,2014-10-21,0275/2014,Gold,"Pyae Phyo San Co.,Ltd",DOM,2015-10-20,Homalin,HamanThi,,Small,,Sagaing,2014-15
1121,,0.0754,,2014-11-05,0270/2014,Gold," Thalar Moe Nyunt Co.,Ltd ",DOM,2015-11-04,,,,Small,,,2014-15
1122,,0.0809,,2014-07-02,0205/2014,Gold,"Shwe Pyae Maung Co.,Ltd",DOM,2015-07-01,Homalin,Ohbokatauck,,Small,,Sagaing,2014-15
1123,,0.0809,,2014-11-26,0279/2014,Gold,"Aga Yadanar Co.,Ltd",DOM,2015-11-25,Bamouk,LwelNatGyi,,Small,,Sagaing,2014-15
1124,,0.0809,,2014-11-26,0280/2014,Gold,"Aga Yadanar Co.,Ltd",DOM,2015-11-25,Bamouk,LwelNatGyi,,Small,,Sagaing,2014-15
1125,,0.085,,,0281/2014,,"Aga Yadanar Co.,Ltd",DOM,,Bamouk,LwelNatGyi,,Small,,Sagaing,2014-15
1126,,0.0757,,2014-12-10,0288/2014,Gold,"Aung Khant Swan Co.,Ltd",DOM,2015-12-09,Khann,Yatnar,,Small,,Sagaing,2014-15
1127,,0.0809,,2014-12-10,0287/2014,Gold,"Aung shwe sin Myat Co.,Ltd",DOM,2015-12-09,Homalin,LaungPhoung,,Small,,Sagaing,2014-15
1128,,0.0809,,2014-11-21,0275/2014,Gold,"Pyae Phyo San Co.,Ltd",DOM,2015-11-20,Homalin,HamanThi,,Small,,Sagaing,2014-15
1129,,0.0809,,2014-12-24,0296/2014,Gold,"Yadanar KyiMar Aung Co.,Ltd",DOM,2015-12-23,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1130,,0.0761,,2014-12-24,0298/2014,Gold,"Shwe Toe Ylan Co.,Ltd",DOM,2015-12-23,Homalin,SHML-618,,Small,,Sagaing,2014-15
1131,,0.0809,,2014-12-24,0300/2014,Gold,"Kantarya Sein Mining Co.,Ltd",DOM,2015-12-23,PinLelbu,SPLB-57,,Small,,Sagaing,2014-15
1132,,0.0809,,2014-12-24,0299/2014,Gold,"Shwe O Si Mining Co.,Ltd",DOM,2015-12-23,Bamouk,SBM-328,,Small,,Sagaing,2014-15
1133,,0.0809,,2014-12-17,0294/2014,Gold,"Shwe Si Toe Co.,Ltd",DOM,2015-12-16,Bamouk,SBM-332,,Small,,Sagaing,2014-15
1134,,0.0809,,2015-01-07,0012/2015,Gold,"Zile Shine Co.,Ltd",DOM,2016-01-06,Kawlin,SKL-62,,Small,,Sagaing,2014-15
1135,,0.0809,,2015-01-07,0006/2015,Gold,"Araw Zar Shwe Pyi Co.,Ltd",DOM,2016-01-06,PinLelbu,SPLB-59,,Small,,Sagaing,2014-15
1136,,0.0809,,2015-01-07,0007/2015,Gold,"Araw Zar Shwe Pyi Co.,Ltd",DOM,2016-01-06,PinLelbu,SPLB-60,,Small,,Sagaing,2014-15
1137,,0.0809,,,0008/2015,,"Araw Zar Shwe Pyi Co.,Ltd",DOM,,PinLelbu,SPLB-61,,Small,,Sagaing,2014-15
1138,,0.0809,,2015-01-15,0015/2015,Gold,"Shwe Zayar Co.,Ltd",DOM,2016-01-14,Homalin,SHML-565,,Small,,Sagaing,2014-15
1139,,0.0809,,2015-01-15,0016/2015,Gold,"Shwe Zayar Co.,Ltd",DOM,2016-01-14,Homalin,SHML-566,,Small,,Sagaing,2014-15
1140,,0.0753,,2014-12-17,0291/2014,Gold,"Shwe Lat Wel Thondaya Mining Co.,Ltd",DOM,2015-12-16,Bamouk,SBM-319,,Small,,Sagaing,2014-15
1141,,0.0753,,2014-12-17,0292/2014,Gold,"Shwe Lat Wel Thondaya Mining Co.,Ltd",DOM,2015-12-16,Bamouk,SBM,,Small,,Sagaing,2014-15
1142,,0.0728,,2014-12-24,0297/2014,Gold,"Place Sar Gold Co.,Ltd",DOM,2015-12-23,Homalin,SHML-615,,Small,,Sagaing,2014-15
1143,,0.0798,,2015-01-07,0013/2015,Gold,"Chit Khin PuPaung Co.,Ltd",DOM,2016-01-06,Wintho,SWTO-85,,Small,,Sagaing,2014-15
1144,,0.0809,,2015-01-07,0011/2015,Gold,"Tachushin Co.,Ltd",DOM,2016-01-06,Bamouk,SBM-316,,Small,,Sagaing,2014-15
1145,,0.0809,,2015-01-28,0025/2015,Gold,"Shwe Min Gyi Co.,Ltd",DOM,2016-01-27,Homalin,SHML-517,,Small,,Sagaing,2014-15
1146,,0.0809,,2015-01-28,0026/2015,Gold,"Shwe Min Gyi Co.,Ltd",DOM,2016-01-27,Homalin,SHML-517,,Small,,Sagaing,2014-15
1147,,0.0809,,2015-02-04,0052/2015,Gold,"Shwe Htay Bamar Mining Co.,Ltd",DOM,2016-02-03,Homalin,SHML-631,,Small,,Sagaing,2014-15
1148,,0.0809,,2015-01-20,0024/2015,Gold,"Mya Theingyi Co.,Ltd",DOM,2016-01-19,Homalin,SHML-387,,Small,,Sagaing,2014-15
1149,,0.0809,,2015-02-04,0046/2015,Gold,"Shwe Taung Kyar International Co.,Ltd",DOM,2016-02-03,Homalin,LaoungPoung,,Small,,Sagaing,2014-15
1150,,0.0809,,2015-02-04,0047/2015,Gold,"Shwe Taung Kyar International Co.,Ltd",DOM,2016-02-03,Homalin,LaoungPoung,,Small,,Sagaing,2014-15
1151,,0.0809,,2015-02-04,0048/2015,Gold,"Shwe Taung Kyar International Co.,Ltd",DOM,2016-02-03,Homalin,LaoungPoung,,Small,,Sagaing,2014-15
1152,,0.0809,,2015-02-04,0049/2015,Gold,"Shwe Taung Kyar International Co.,Ltd",DOM,2016-02-03,Homalin,LaoungPoung,,Small,,Sagaing,2014-15
1153,,0.0809,,2015-02-11,0055/2015,Gold,"Shwe Twin Gyi Co.,Ltd",DOM,2016-02-10,Bamouk,SBM-339,,Small,,Sagaing,2014-15
1154,,0.0809,,2015-01-07,0009/2015,Gold,"Utara Shwe Sin Mining Co.,Ltd",DOM,2016-08-06,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1155,,0.0809,,2015-01-07,0010/2015,Gold,"Utara Shwe Sin Mining Co.,Ltd",DOM,2016-08-06,Homalin,ShweTwin,,Small,,Sagaing,2014-15
1156,,0.1376,,2014-06-10,0409/2010,Copper,"Douhtawady Copper Gold Co.,Ltd",DOM,2015-06-09,Kawlin,Shankalone,,Small,,Sagaing,2014-15
1157,,0.2003,,2014-06-10,0410/2010,Copper,"Douhtawady Copper Gold Co.,Ltd",DOM,2015-06-09,Kawlin,Shankalone,,Small,,Sagaing,2014-15
1158,,0.0809,,2015-02-11,0054/2015,Gold,"MIG Co.,Ltd",DOM,2016-02-10,Homalin,SHML-592,,Small,,Sagaing,2014-15
1159,,0.0809,,2015-02-11,0057/2015,Gold,"MIG Co.,Ltd",DOM,2016-02-10,Homalin,SHML-592,,Small,,Sagaing,2014-15
1160,,0.0809,,2015-05-03,0061/2015,Gold,"Kantarya Sein Mining Co.,Ltd",DOM,2016-03-04,PinLelbu,MawKhwin,,Small,,Sagaing,2014-15
1161,,0.0809,,2015-01-21,0019/2015,Gold,"Ngwe La Win thar Co.,Ltd",DOM,2016-01-20,Homalin,SHML-593,,Small,,Sagaing,2014-15
1162,,0.0809,,2015-02-26,0059/2015,Gold,"Au Yu Thalar Co.,Ltd",DOM,2016-02-25,Homalin,SHML-625,,Small,,Sagaing,2014-15
1163,,0.0809,,2015-02-26,0060/2015,Gold,"San Pyi Thein Co.,Ltd",DOM,2016-02-25,Homalin,SHML-627,,Small,,Sagaing,2014-15
1164,,0.0809,,2015-03-12,0066/2015,Gold,"KywanKyinPineNaingtaw Co.,Ltd",DOM,2016-03-11,Homalin,SHML-634,,Small,,Sagaing,2014-15
1165,,0.0809,,2015-03-12,0064/2015,Gold,"Than Shwe Yi Aung Co.,Ltd",DOM,2016-03-11,Homalin,SHML-632,,Small,,Sagaing,2014-15
1166,,0.0809,,2015-03-12,0068/2015,Gold,Shwe Hein San Co.Ltd,DOM,2016-03-11,Bamouk,SBM -338,,Small,,Sagaing,2014-15
1167,,0.0809,,2015-03-18,0078/2015,Gold,Zaw Hein Thant Co.Ltd,DOM,2016-03-17,Homalin,SHML-635,,Small,,Sagaing,2014-15
1168,,0.0809,,2015-03-12,0065/2015,Gold,"Nyunt & San Co.,Ltd",DOM,2016-03-11,Homalin,SHML-633,,Small,,Sagaing,2014-15
1169,,0.773,,2014-11-26,0278/2014,Gold,"Haw Nan Htike Co.,Ltd",DOM,2015-11-25,Homalin,Naung Taw,,Small,,Sagaing,2014-15
1170,,0.0809,,2015-03-12,0067/2015,Gold,"Min Win Soe Co.,ltd",DOM,2016-03-11,Bamouk, ManInnminkone,,Small,,Sagaing,2014-15
1171,,0.0809,,2015-03-12,0069/2015,,"Aung Zaw Htoo Co.,ltd",DOM,2016-03-11,PinLelbu,SPLB-62,,Small,,Sagaing,2014-15
1172,,0.1983,,2014-07-02,031/2009,Manganese Dioxide,"Ngwe Oo Yanant Co.,Ltd",DOM,2015-07-01,MongPhyat,Wamsaloe,,Small,,Shan,2014-15
1173,,0.1983,,2014-10-22,033/2009,Manganese Dioxide,"Naung ton Nagar Co.,Ltd",DOM,2015-07-27,MongPhyat,Wamsaloe,,Small,,Shan,2014-15
1174,,0.2023,,2014-04-09,016/2009,Manganese Dioxide,"Sai Laung Hein Co.,Ltd",DOM,2015-04-08,TachiLate,parchan,,Small,,Shan,2014-15
1175,,0.2003,,2013-09-16,0007/2010,Manganese Dioxide,"Wana Thein Than Mining Co.,Ltd",DOM,2015-09-15,TachiLate,ArrYae,,Small,,Shan,2014-15
1176,,0.2003,,2013-09-16,0008/2010,Manganese Dioxide,"Hein Lin San Mining Co.,Ltd",DOM,2015-09-15,TachiLate,ArrYae,,Small,,Shan,2014-15
1177,,0.2003,,2014-10-21,0009/2010,Manganese Dioxide,"San Parami Mining Co.,Ltd",DOM,2015-10-20,TachiLate,ArrYae,,Small,,Shan,2014-15
1178,,0.2003,,2015-02-17,0005/2011,Manganese Dioxide,"Ngwe Oo Yanant Co.,Ltd",DOM,2016-02-16,TachiLate,MineWin,,Small,,Shan,2014-15
1179,,0.2003,,2015-02-25,0007/2011,Manganese Dioxide,"Myint Oo Aung Co.,Ltd",DOM,2016-02-24,TachiLate,ArrYae,,Small,,Shan,2014-15
1180,,0.1983,,2011-03-29,0347/2011,Tin and Tungsten,"Hoo Poe Mining Co.,Ltd",DOM,2014-03-28,MongPhyat,SanKan,,Small,,Shan,2014-15
1181,,0.1983,,2011-03-29,0348/2011,Tin and Tungsten,"Hoo Poe Mining Co.,Ltd",DOM,2014-03-28,MongPhyat,SanKan,,Small,,Shan,2014-15
1182,,0.1983,,2011-07-25,058/2011,Manganese Dioxide,"Hoo Poe Mining Co.,Ltd",DOM,2014-07-24,MongPhyat, Wamsaloe,,Small,,Shan,2014-15
1183,,0.1983,,2011-07-25,059/2011,Manganese Dioxide,"Hoo Poe Mining Co.,Ltd",DOM,2014-07-24,MongPhyat, Wamsaloe,,Small,,Shan,2014-15
1184,,0.2003,,2014-10-27,0376/2011,Antimony,"Eastern Highland Mineral Exploration and Mining Co.,Ltd",DOM,2015-10-26,Matmum,Pankaw,,Small,,Shan,2014-15
1185,,0.2003,,2014-11-09,063/2011,Manganese Dioxide,"Sai Laung Hein Co.,Ltd",DOM,2015-11-08,TachiLate,MineKoe,,Small,,Shan,2014-15
1186,,0.1983,,2012-01-05,0001/2012,Manganese Dioxide,"Myint Maung Win Mining Co.,Ltd",DOM,2015-01-04,TachiLate,NarYaung,,Small,,Shan,2014-15
1187,,0.1983,,2015-01-10,0002/2012,Manganese Dioxide,"Mahar Shwe La Won Minining Co.,Ltd",DOM,2016-01-09,TachiLate,MineKoe,,Small,,Shan,2014-15
1188,,0.0598,,2012-03-08,0027/2012,Coal,"KBZ Industry Co.,Ltd",DOM,2015-03-07,MongPhyat,Wanlone,,Small,,Shan,2014-15
1189,,0.2003,,2012-05-30,0028/2012,Manganese Dioxide,"Hein Lin San Mining Co.,Ltd",DOM,2015-05-29,TachiLate, ArrYae,,Small,,Shan,2014-15
1190,,0.1983,,2012-09-05,0043/2012,Manganese Dioxide,"Myint Maung Win Mining Co.,Ltd",DOM,2015-09-04,TachiLate, ArrYae,,Small,,Shan,2014-15
1191,,0.2003,,2012-12-05,0065/2012,Manganese Dioxide,"Wana Thein Than Mining Co.,Ltd",DOM,2015-12-04,TachiLate, MineKoe,,Small,,Shan,2014-15
1192,,0.0567,,2014-09-18,0164/2013,Gold,"ThayCharTaw Co.,Ltd",DOM,2015-09-17,TachiLate, Tarkyant,,Small,,Shan,2014-15
1193,,0.2003,,2012-12-12,0002/2013,Manganese Dioxide,"Red Mountain Production Co.,Ltd",DOM,2015-12-11,TachiLate,ArrYae,,Small,,Shan,2014-15
1194,,0.2003,,2013-10-30,0191/2013,Lead,"Sat Wine InArr Mining Co.,Ltd",DOM,2016-10-29,MineYoung,WanMan,,Small,,Shan,2014-15
1195,,0.2003,,2013-10-30,0192/2013,Lead,"Sat Wine InArr Mining Co.,Ltd",DOM,2016-10-29,MineYoung,WanMan,,Small,,Shan,2014-15
1196,,0.2003,,2013-10-30,0193/2013,Lead,"Sat Wine InArr Mining Co.,Ltd",DOM,2016-10-29,MineYoung,WanMan,,Small,,Shan,2014-15
1197,,0.2003,,2013-10-30,0194/2013,Lead,"Sat Wine InArr Mining Co.,Ltd",DOM,2016-10-29,MineYoung,WanMan,,Small,,Shan,2014-15
1198,,0.2003,,2013-10-30,0195/2013,Lead,"Sat Wine InArr Mining Co.,Ltd",DOM,2016-10-29,MineYoung,WanMan,,Small,,Shan,2014-15
1199,,0.2003,,2014-07-02,0199/2014,Tin and Tungsten,"Loi Mine Kan Co.,Ltd",DOM,2017-07-01,MineTone ,MineKan,,Small,,Shan,2014-15
1200,,0.2003,,2014-07-02,0200/2014,Tin and Tungsten,"Loi Mine Kan Co.,Ltd",DOM,2017-07-01,MineTone ,MineKan,,Small,,Shan,2014-15
1201,,0.2003,,2014-07-02,0201/2014,Tin and Tungsten,"Loi Mine Kan Co.,Ltd",DOM,2017-07-01,MineTone ,MineKan,,Small,,Shan,2014-15
1202,,0.2003,,2014-07-02,0202/2014,Tin and Tungsten,"Loi Mine Kan Co.,Ltd",DOM,2017-07-01,MineTone ,MineKan,,Small,,Shan,2014-15
1203,,0.0809,,2014-02-25,0143/2010,Gold,"Lwel Khan Lone Co.,Ltd",DOM,2015-02-24,TachiLate,NarYaung,,Small,,Shan,2014-15
1204,,0.0809,,2014-02-25,0144/2010,Gold,"Lwel Khan Lone Co.,Ltd",DOM,2015-02-24,TachiLate,NarYaung,,Small,,Shan,2014-15
1205,,0.0809,,2014-02-25,0194/2011,Gold,"Lwel Khan Lone Co.,Ltd",DOM,2015-02-24,TachiLate,NarYaung,,Small,,Shan,2014-15
1206,,0.0809,,2014-02-25,0195/2011,Gold,"Lwel Khan Lone Co.,Ltd",DOM,2015-02-24,TachiLate,NarYaung,,Small,,Shan,2014-15
1207,,0.0809,,2010-07-06,0444/2010,Gold,"Sai Tit Mining Co.,Ltd",DOM,2013-07-05,Mine Pyin,WanTarKhat,,Small,,Shan,2014-15
1208,,0.0809,,2010-07-06,0447/2010,Gold,"Sai Tit Mining Co.,Ltd",DOM,2013-07-05,Mine Pyin,WanTarKhat,,Small,,Shan,2014-15
1209,,0.0809,,2010-07-06,0448/2010,Gold,"Sai Tit Mining Co.,Ltd",DOM,2013-07-05,Mine Pyin,WanTarKhat,,Small,,Shan,2014-15
1210,,0.0809,,2015-02-25,0211/2011,Gold,"Hein Kaung Sat Co.,Ltd",DOM,2016-02-24,Mine Yu,TarKyant,,Small,,Shan,2014-15
1211,,0.0809,,2015-02-25,0202/2011,Gold,"Two Dragon Co.,Ltd",DOM,2016-02-24,Mine Yu,TarKyant,,Small,,Shan,2014-15
1212,,0.0809,,2011-12-05,0203/2011,Gold,"Two Dragon Co.,Ltd",DOM,2014-12-04,Mine Yu,TarKyant,,Small,,Shan,2014-15
1213,,0.0809,,2014-05-22,0108/2012,Gold,"Lin Lyan Htert Mining Co.,Ltd",DOM,2015-05-21,TachiLate,NarYaung,,Small,,Shan,2014-15
1214,,0.0809,,2014-08-30,0173/2012,Gold,"Ngwe Taung Min Co.,Ltd",DOM,2015-08-29, Tarlay ,NarYaung,,Small,,Shan,2014-15
1215,,0.0809,,2013-03-07,0064/2013,Gold,"Sai Tit Mining Co.,Ltd",DOM,2014-03-06,TachiLate,NarYaung,,Small,,Shan,2014-15
1216,,0.0809,,2013-03-07,0065/2013,Gold,"Sai Tit Mining Co.,Ltd",DOM,2014-03-06,TachiLate,NarYaung,,Small,,Shan,2014-15
1217,,0.0809,,2013-03-07,0066/2013,Gold,"Sai Tit Mining Co.,Ltd",DOM,2014-03-06,TachiLate,NarYaung,,Small,,Shan,2014-15
1218,,0.0809,,2014-03-07,0069/2013,Gold,"Shwe Nadi Myat Co.,Ltd",DOM,2015-03-06,TachiLate,MineKo,,Small,,Shan,2014-15
1219,,0.0809,,2015-03-07,0085/2013,Gold,"Happy Comfortable Co.,Ltd",DOM,2016-03-06,TachiLate,MineKo,,Small,,Shan,2014-15
1220,,0.0809,,2013-06-19,0117/2013,Gold,"Aung Win Nay Co.,Ltd",DOM,2014-06-18, Tarlay ,NarYaung,,Small,,Shan,2014-15
1221,,0.0809,,2013-06-19,0118/2013,Gold,"Aung Win Nay Co.,Ltd",DOM,2014-06-18, Tarlay ,NarYaung,,Small,,Shan,2014-15
1222,,0.0809,,2014-06-11,0122/2013,Gold,"Lin Lyan Htet Mining Co.,Ltd",DOM,2015-06-10,TachiLate,NarYaung,,Small,,Shan,2014-15
1223,,0.0809,,2015-01-15,0034/2014,Gold,"Larhul Brothers Mining Co.,ltd",DOM,2016-01-14,TachiLate,NarYaung,,Small,,Shan,2014-15
1224,,0.0809,,2014-01-15,0035/2014,Gold,"Shwe Nadi Myat Co.,Ltd",DOM,2015-01-14,TachiLate,MineKoe,,Small,,Shan,2014-15
1225,,0.0287,,2014-01-15,0026/2014,Gold,"Easten Star Family Co.,Ltd",DOM,2015-01-14, TachiLate,MineLin ,,Small,,Shan,2014-15
1226,,0.0809,,2015-01-28,0048/2014,Gold,"Ngwe Taung Min Co.,Ltd",DOM,2016-01-27, TachiLate,NarYaung,,Small,,Shan,2014-15
1227,,0.0809,,2015-01-28,0049//2014,Gold,"Shwe Kyine Tone Co.,Ltd",DOM,2016-01-27, TachiLate,Mine,,Small,,Shan,2014-15
1228,,0.0809,,2014-03-04,0079/2014,Gold,"Sai Plantation Co.,Ltd",DOM,2015-03-03, TachiLate,NarYaung,,Small,,Shan,2014-15
1229,,0.0809,,2014-03-04,0080/2014,Gold,"Sai Plantation Co.,Ltd",DOM,2015-03-03, TachiLate,NarYaung,,Small,,Shan,2014-15
1230,,0.0809,,2014-09-03,0237/2014,Gold,"Two Dragon Co.,Ltd",DOM,2015-09-02, MineYu,TarKyant,,Small,,Shan,2014-15
1231,,0.2003,,2014-10-09,0261/2014,Antimony,"Shwe Lar Hu Co.,Ltd",DOM,2019-10-08, MineTone ,LwelKhanLone,,Small,,Shan,2014-15
1232,,0.2003,,2014-10-09,0262/2014,Antimony,"Shwe Lar Hu Co.,Ltd",DOM,2019-10-08, MineTone ,LwelKhanLone,,Small,,Shan,2014-15
1233,,0.0809,,2014-11-26,0282/2014,Gold,"Tine Chit Min Co.,Ltd",DOM,2015-11-25, TachiLate, Mine Koe,,Small,,Shan,2014-15
1234,,0.0809,,2014-11-26,0283/2014,Gold,"Tine Chit Min Co.,Ltd",DOM,2015-11-25, TachiLate, Mine Koe,,Small,,Shan,2014-15
1235,,0.0809,,2014-12-10,0289/2014,Gold,"Lin Lyan Htet Mining Co.,Ltd",DOM,2015-12-09, TachiLate, NarYaung,,Small,,Shan,2014-15
1236,,0.0809,,2014-12-31,0306/2014,Gold,"Waital Co.,Ltd",DOM,2015-12-30, Tarlay, SETCL-34,,Small,,Shan,2014-15
