Code/Ref,License holder,Company_name_cl,Type of License,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area  (Km2),Area_km2_cl,Location  (Region),License_location_cl,Coordinates of the license area
0161/2012,"Shwe Pyi Thar Gold 
Production & Refining 
Co., Ltd.","Shwe Pyi Thar Gold Production & Refining Co., Ltd.",Small scale,Small,2012-08-30,2012-08-30,2016-08-29,2016-08-29,Gold,Gold,20,20,Chaung Gyi,Chaung Gyi,TPK-150
0078/2011,"Shwe Wah Taung 
Mining Co., Ltd.","Shwe Wah Taung Mining Co., Ltd.",Small scale,Small,2011-01-18,2011-01-18,2017-01-17,2017-01-17,Gold,Gold,20,20,Kwin (30),Kwin (30),TPK-106
0232/2011,"Shwe Wah Taung 
Mining Co., Ltd.","Shwe Wah Taung Mining Co., Ltd.",Small scale,Small,2011-02-25,2011-02-25,2017-02-24,2017-02-24,Gold,Gold,20,20,Own Zone,Own Zone,TPK-114
0287/2011,"Shwe Wah Taung 
Mining Co., Ltd.","Shwe Wah Taung Mining Co., Ltd.",Small scale,Small,2011-03-24,2011-03-24,2017-03-23,2017-03-23,Gold,Gold,20,20,Own Zone,Own Zone,TPK-113
0154/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,20,20,Wat Thay,Wat Thay,TPK-107
0155/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,20,20,Wat Thay,Wat Thay,TPK-108
0156/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,20,20,Wat Thay,Wat Thay,TPK-109
0157/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,20,20,Wat Thay,Wat Thay,TPK-110
0158/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,20,20,Wat Thay,Wat Thay,TPK-111
0159/2011,"Myanmar Golden Point 
Family Co., Ltd.","Myanmar Golden Point Family Co., Ltd.",Small scale,Small,2011-02-07,2011-02-07,2017-02-06,2017-02-06,Gold,Gold,15,15,Wat Thay,Wat Thay,TPK-112
