Code/Ref,Company_Name_cl,License_type_cl,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,Location_working 4,Coordinates of the license area,Column 10
0235/2015,Shwe Pwint Phu Aung,Small,10.12.2015,2015-01-10,9.12.2016,2016-12-09,gold,Gold,0.0809,0.0809,"Sagaing, Katha, Inngyi",Sagaing, Katha, Inngyi,," 93 A / 9 ( 248464, 245466, 251467, 250465)",
0236/2015,Kaung Myat Yadanar Linn,Small,10.12.2015,2015-01-10,9.12.2016,2016-12-09,gold,Gold,0.0809,0.0809,"Sagaing, Katha, Inngyi",Sagaing, Katha, Inngyi,,"93 A/ 9 ( 245462, 242464, 244465, 247464)",
0214/2015,Aung Sit Thein Shwe,Small,11.11.2015,2015-01-11,10.11.2016,2016-11-10,gold,Gold,0.0768,0.0768,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/5 (884706, 885706, 885711, 887709, 888710, 885712, 884712)",
0209/2015,"Ngwe Hla win Thar Co.,Ltd",Small,29.10.2015,2015-01-29,28.10.2016,2016-10-28,gold,Gold,0.0607,0.0607,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/5 (919770, 918770, 916771, 915774, 916774, 918772)",
0198/2015,Shwe Sin Thant,Small,20.10.2015,2015-01-20,19.10.2016,2016-10-19,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Marlone",Sagaing, Homalin,Marlone,,"83 P/1 ( 683719, 685719, 683725, 682725)",
0225/2015,"Shwe Htay Bamar Co.,Ltd",Small,2.12.2015,2015-01-02,1.12.2016,2016-12-01,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/ 5 (815722, 816722, 816728, 815728)",
0210/2015,Aung Chan Pyai(SDW),Small,4.11.2015,2015-01-04,3.11.2016,2016-11-03,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Yappha Naung Yin",Sagaing, Homalin,Yappha Naung Yin,,"83 O/4 (590122, 595122, 592119, 590120)",
0211/2015,Aung Chan Pyai(SDW),Small,4.11.2015,2015-01-04,3.11.2016,2016-11-03,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Yappha Naung Yin",Sagaing, Homalin,Yappha Naung Yin,,"83 O/4 ( 757175, 762175, 762173, 757173)",
0223/2015,"Chit Khin Pu Paung Co.,Ltd",Small,2.12.2015,2015-01-02,1.12.2016,2016-12-01,gold,Gold,0.0809,0.0809,"Sagaing, Wintho, Mawthar",Sagaing, Wintho, Mawthar,,"83 P / 16 ( 452757, 456755, 455753, 451755)",
0213/2015,"Man Shwe Thitsar Co.,Ltd",Small,4.11.2015,2015-01-04,3.11.2016,2016-11-03,gold,Gold,0.0607,0.0607,"Sagaing, Kawlin, Taungkyar",Sagaing, Kawlin, Taungkyar,,"84 M/6 (110290, 111290, 115289, 115288, 110288)",
0243/2015,"Shwe Sat Paing Co.,Ltd",Small,17.12.2015,2015-01-17,16.12.2016,2016-12-16,gold,Gold,0.0607,0.0607,"Sagaing,Homalin, Hteinkone",Sagaing,Homalin, Hteinkone,,"83 P/ 5 ( 839722, 839723, 839724, 838724, 835731, 837730, 840722)",
0245/2015,"Shwe Pyai Kyal Tagon Co.,Ltd",Small,23.12.2015,2015-01-23,22.12.2016,2016-12-22,gold,Gold,0.0789,0.0789,"Sagaing,Homalin, Bokone",Sagaing,Homalin, Bokone,,"83 P/5 (029694, 029692, 030690, 034693)",
0244/2015,"Zalat Pwint Phu Co.,Ltd",Small,23.12.2015,2015-01-23,22.12.2016,2016-12-22,gold,Gold,0.0687,0.0687,"Sagaing, Banmaw, Narnanttont",Sagaing, Banmaw, Narnanttont,,"83 P/9 (268674, 266674, 267676, 266678, 267678, 268676)",
0006/2016,"Shwe Uru Aung Mining Co.,Ltd",Small,6.1.2016,2016-01-06,5.1.2017,2017-01-05,gold,Gold,0.0809,0.0809,"Sagaing, Homalin, Marlone",Sagaing, Homalin, Marlone,,"83 P/1 ( 703722, 703723, 710726, 710724)",
0005/2016,Thitsar Myit Myat,Small,6.1.2016,2016-01-06,5.1.2017,2017-01-05,gold,Gold,0.0809,0.0809,"Sagaing, Wintho, Nantkhan",Sagaing, Wintho, Nantkhan,," 83 P / 16 (501749, 505749, 505747, 501747)",
0003/2016,"Ngwe Hla win Thar Co.,Ltd",Small,6.1.2016,2016-01-06,5.1.2017,2017-01-05,gold,Gold,0.0809,0.0809,"Sagaing, Homalin, Hteinkone",Sagaing, Homalin, Hteinkone,,"83 P/5 (828720, 828725, 827729, 825727, 827724, 827720)",
0010/2016,Professional,Small,27.1.2016,2016-01-27,26.1.2017,2017-01-26,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/5 ( 824705, 826705, 824702, 826699, 824699, 823700)",
0009/2016,Muu Myat Chin,Small,20.1.2016,2016-01-20,19.1.2017,2017-01-19,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/1 ( 764728, 763729, 766732, 768729)",
0007/2016,Shwe Taing Htar Nay,Small,13.1.2016,2016-01-13,12.1.2017,2017-01-12,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Naung taw",Sagaing, Homalin,Naung taw,,"83 P/1 ( 720661, 721657, 717655, 717657, 719658, 718661)",
0013/2016,Bo Myint Min Zaw,Small,10.1.2016,2016-01-10,9.1.2017,2017-01-09,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/5 ( 824712, 828712, 828715, 824715)",
0014/2016,"Se Shwe Toe Co.,Ltd",Small,17.2.2016,2016-01-17,16.2.2017,2017-02-16,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/5(823718, 823717, 825717, 829718, 829721)",
0015/2016,"Shwe War Win Aung Co.,Ltd",Small,24.2.2016,2016-01-24,23.2.2017,2017-02-23,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Tarmalpoat",Sagaing, Homalin,Tarmalpoat,,"83 P/5(824712, 828712, 828715, 824715)",
0016/2016,"Aung Kane Co.,Ltd",Small,24.2.2016,2016-01-24,23.2.2017,2017-02-23,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/5( 823718, 823717, 825717, 829718, 829721)",
0019/2016,Shwe Sin Moe,Small,1.3.2016,2016-01-01,28.2.2017,2017-02-28,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Maikaing",Sagaing, Homalin,Maikaing,,"83 P /5 ( 893715, 893714, 887713, 885714)",
0023/2016,"Su Se Nyi Nyut Thaw Shwe Nyi Ako Myar Co.,Ltd",Small,1.3.2016,2016-01-01,28.2.2017,2017-02-28,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Naungtaw",Sagaing, Homalin,Naungtaw,,"83 P / 1 ( 732693, 735693, 735690, 733690)",
0029/2016,Aung Shwe Sin Myat,Small,9.3.2016,2016-01-09,8.3.2017,2017-03-08,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,," 83 P/1 (782723, 786725, 787728, 784724)",
0028/2016,"Moe Hein San Co.,Ltd",Small,9.3.2016,2016-01-09,8.3.2017,2017-03-08,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/5 (916764, 919764, 919763, 920763, 920762, 918762)",
0026/2016,"Than Shwe Yi Aung Co.,Ltd",Small,1.3.2016,2016-01-01,28.3.2017,2017-03-28,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Maikaing",Sagaing, Homalin,Maikaing,,"83 P / 5 ( 859701, 859704, 862704, 862700)",
0027/2016,"Than Shwe Yi Aung Co.,Ltd",Small,1.3.2016,2016-01-01,28.3.2017,2017-03-28,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Maikaing",Sagaing, Homalin,Maikaing,,"83 P/ 5 ( 879720, 881720, 880715, 878715)",
0017/2016,Pe Naung Taing,Small,1.3.2016,2016-01-01,28.3.2017,2017-03-28,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/5 (824701, 828708, 829708, 826701)",
0050/2016,"Swan Zayar Co.,Ltd",Small,24.3.2016,2016-01-24,23.3.2017,2017-03-23,gold,Gold,0.0809,0.0809,"Sagaing, Phaungpyin, sandar",Sagaing, Phaungpyin, sandar,,"83 L/15 ( 345168, 345167, 351164, 351166)",
0051/2016,"Swan Zayar Co.,Ltd",Small,24.3.2016,2016-01-24,23.3.2017,2017-03-23,gold,Gold,0.0809,0.0809,"Sagaing, Phaungpyin, sandar",Sagaing, Phaungpyin, sandar,,"83 L/15 (401218, 402216, 409217, 409218, 405217)",
0052/2016,Maga Shwe Taung,Small,24.3.2016,2016-01-24,23.3.2017,2017-03-23,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/ 5 ( 918756, 915762, 916761, 911755)",
0053/2016,"Treasure All Group Co.,Ltd",Small,24.3.2016,2016-01-24,23.3.2017,2017-03-23,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Tonehae",Sagaing, Homalin,Tonehae,,"83 L/10 (174407, 173409, 179409, 179407)",
0055/2016,Shwe Yaung Lwan Shan Red,Small,24.3.2016,2016-01-24,23.3.2017,2017-03-23,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/2 (643527, 644527, 645523, 643523)",
0073/2016,Yadanar Kyi Mar Aung,Small,24.3.2016,2016-01-24,23.3.2017,2017-03-23,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Shwetwin",Sagaing, Homalin,Shwetwin,,"83 O/15 (477251, 453251, 453246, 455246)",
0020/2016,"Shwe Aye Yape Co.,Ltd",Small,1.3.2016,2016-01-01,28.2.2017,2017-02-28,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Laungfaung",Sagaing, Homalin,Laungfaung,,"83 P/1 (774726, 772728, 770725, 772723)",
0049/2016,Shin Thant Aung Myin Mining,Small,16.3.2016,2016-01-16,15.3.2017,2017-03-15,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Haephak",Sagaing, Homalin,Haephak,,"83 P/5 (878691, 879692, 885688, 883687)",
0030/2016,Sein Mya Lwin,Small,9.3.2016,2016-01-09,8.3.2017,2017-03-08,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Maikaing",Sagaing, Homalin,Maikaing,,"83 P/5 ( 883687, 889690, 889689, 884685)",
0037/2016,Shwe Taw Ya,Small,1.7.2015,2015-01-01,30.6.2016,2016-06-30,gold,Gold,0.0809,0.0809,"Sagaing, Homalin,Saytisape",Sagaing, Homalin,Saytisape,,83 P/ 5,
0207/2009,"Nan Thilar Mining Co.,Ltd",Small,1.12.2015,2015-01-01,30.11.2016,2016-11-30,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Pulaw, Nanthilar",Tanintharyi, Pulaw, Nanthilar,,"95K/11T(716718, 716722,721722, 721718)",
0026/2010,"Easten Mining Production Co.,Ltd",Small,3.2.2016,2016-01-03,2.2.2017,2017-02-02,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Dawei , Bawapin b/4",Tanintharyi, Dawei , Bawapin b/4,,"95J/8( 396670, 402670, 402666, 396666)",
0027/2010,"Easten Mining Production Co.,Ltd",Small,3.2.2016,2016-01-03,2.2.2017,2017-02-02,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Dawei , Yaepu Taung",Tanintharyi, Dawei , Yaepu Taung,,"95J/8(396676, 402670, 402672, 396672)",
0096/2010,"Easten Mining Production Co.,Ltd",Small,10.2.2015,2015-01-10,9.2.2016,2016-02-09,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Dawei , ChaungOokp",Tanintharyi, Dawei , ChaungOokp,,"95J/8
( 420536,426536,426532,
420532)",
0187/2010,"Grand Eden Mining Co.,Ltd",Small,12.3.2016,2016-01-12,11.3.2017,2017-03-11,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Dawei , Wakone",Tanintharyi, Dawei , Wakone,,"95J//8(3699697,379696,
377698,370700)",
0485/2010,"Shwe Pin Le Mining Co.,Ltd",Small,4.8.2015,2015-01-04,"3,8,2016",2016-08-03,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Kyintsu, kwalkayan",Tanintharyi, Kyintsu, kwalkayan,,"95L/11(723374,731374,
729370,725370)",
0486/2010,"Shwe Pin Le Mining Co.,Ltd",Small,4.8.2015,2015-01-04,"3,8,2016",2016-08-03,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Kyintsu, kwalkayan",Tanintharyi, Kyintsu, kwalkayan,,"95L/11(725369,733369,
733368,728368, 728363,725363)",
0487/2010,"Shwe Pin Le Mining Co.,Ltd",Small,4.8.2015,2015-01-04,"3,8,2016",2016-08-03,Tin & Tungsten,Tin and Tungsten,0.1942,0.1942,"Taninthayi, Kyintsu, kwalkayan",Tanintharyi, Kyintsu, kwalkayan,,"95L/11(747362,747356,
743356,743362)",
0773/2010,Wai International,Small,29.10.2015,2015-01-29,28.10.2016,2016-10-28,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Taninthayi , Nyaunt pin Kwin Tabawhtike(1)",Tanintharyi, Taninthayi , Nyaunt pin Kwin Tabawhtike(1),,"95P/8Z(357086,360086,360078,357078)",
0774/2010,Wai International,Small,29.10.2015,2015-01-29,28.10.2016,2016-10-28,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Taninthayi , Nyaunt pin Kwin Tabawhtike(1)",Tanintharyi, Taninthayi , Nyaunt pin Kwin Tabawhtike(1),,"95P/8Z(353091,356091,356083,353083)",
0186/2011,"Aung Dana Thuka Co.,Ltd",Small,24.2.2016,2016-01-24,23.2.2017,2017-02-23,Tin & Tungsten,Tin and Tungsten,0.2006,0.2006,"Taninthayi,Botepyin, koekyunt",Tanintharyi,Botepyin, koekyunt,,"96I/11(660202,664198,664194,660194)",
0374/2011,"Htin Kyaw Win Mining Co.,Ltd",Small,25.10.2015,2015-01-25,24.10.2016,2016-10-24,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Myittar, Heinda",Tanintharyi, Myittar, Heinda,,"95J/8( 466635, 468637, 474632, 472630) ",
0375/2011,"Sein Lae Kan Thar Agriculture & Fish Husbandry Co.,Ltd",Small,25.10.2015,2015-01-25,24.10.2016,2016-10-24,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Pulaw, Kapupyin",Tanintharyi, Pulaw, Kapupyin,,"95K/11(752688,758688,758684,752684)",
0098/2012,"Tin & Mineral Natural Resources Co.,Ltd",Small,7.5.2016,2016-01-07,6.5.2017,2017-05-06,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Kyintsu, Yamone(4)",Tanintharyi, Kyintsu, Yamone(4),,"95L/12Y(745363,748363,748357,751357, 751164,745364)",
0099/2012,"Tin & Mineral Natural Resources Co.,Ltd",Small,7.5.2016,2016-01-07,6.5.2017,2017-05-06,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Kyintsu, Yamone(12)",Tanintharyi, Kyintsu, Yamone(12),,"95L/12Y(737354,740354,740356,742356, 742350,737350)",
0112/2012,"Popa L Co.,Ltd",Small,22.5.2015,2015-01-22,21.5.2016,2016-05-21,Tin & Tungsten,Tin and Tungsten,0.1497,0.1497,"Taninthayi, Yaephyu, Ohinpinkwin",Tanintharyi, Yaephyu, Ohinpinkwin,,"95J/2(942250,946247,945245,937250)",
0128/2012,"Aung Hein Bo Win Co.,Ltd",Small,8.4.2016,2016-01-08,7.4.2017,2017-04-07,Tin & Tungsten,Tin and Tungsten,0.1821,0.1821,"Taninthayi, Yaephyu, Ohinpinkwin",Tanintharyi, Yaephyu, Ohinpinkwin,,"95F/14( 925230, 930230, 930225, 925225) ",
0190/2013,"Eastern Part Production Co.,Ltd",Small,7.11.2013,2013-01-07,6.11.2016,2016-11-06,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Dawei, Pakaryi",Tanintharyi, Dawei, Pakaryi,,"95J/8-O(346680,350680,350674,346674)",
0212/2013,Myant Pyae Phyo,Small,18.12.2013,2013-01-18,17.12.2016,2016-12-17,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Botepyin, Yaengangyi",Tanintharyi, Botepyin, Yaengangyi,,"96I/15( 750373, 750365, 747365, 747373) ",
0062/2015,Htun Kyel Ta Pwin,Small,12.3.2015,2015-01-12,11.3.2018,2018-03-11,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Yaephyu,Thikatone ",Tanintharyi, Yaephyu,Thikatone ,,"95 J / 7 (325817, 325820, 333822, 331819)",
0079/2015,Shwe Taung Oo Mining Engineer Enterprise,Small,25.3.2015,2015-01-25,24.3.2018,2018-03-24,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Madayar, Kyaukmal Taung",Tanintharyi, Madayar, Kyaukmal Taung,,"95 J / 8 ( 431724, 437724, 437720, 431720)",
0123/2015,"Pyae Sone Myat Co.,Ltd",Small,17.6.2015,2015-01-17,16.6.2020,2020-06-16,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi,Taninthayi, Kyint Chaung",Tanintharyi,Taninthayi, Kyint Chaung,,"96 L / 5 ( 385997, 389997, 389991, 385991)",
0124/2015,"Pyae Sone Myat Co.,Ltd",Small,17.6.2015,2015-01-17,16.6.2020,2020-06-16,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi,Taninthayi, Kyint Chaung",Tanintharyi,Taninthayi, Kyint Chaung,,"96 L /5 (351998, 395995, 395992, 391992)",
0125/2015,"Pyae Sone Myat Co.,Ltd",Small,17.6.2015,2015-01-17,16.6.2020,2020-06-16,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi,Taninthayi, Kyint Chaung",Tanintharyi,Taninthayi, Kyint Chaung,,"96 M / 5 ( 398997, 402997, 402991, 398991)",
0155/2015,"Aung Brothers  Mining Co.,Ltd",Small,22.7.2015,2015-01-22,21.7.2020,2020-07-21,Tin & Tungsten,Tin and Tungsten,0.1699,0.1699,"Taninthayi, Myeik, Kyuntsu",Tanintharyi, Myeik, Kyuntsu,,"95 L /11 ( 746380, 746390, 748390, 748380)",
0189/2015,"Oo Saung Thu Mining Co.,Ltd",Small,23.9.2015,2015-01-23,22.9.2020,2020-09-22,Tin & Tungsten,Tin and Tungsten,0.0835,0.0835,"Taninthayi, Yaephyu, Phar Chaung",Tanintharyi, Yaephyu, Phar Chaung,,"95 J / 2 (034099, 032097, 031099, 033102, 032106, 033107, 033101",
0040/2012,Myanmar Ruby Enterprise,Small,5.9.2015,2015-01-05,4.9.2016,2016-09-04,Gypsum,Gypsum,0.7365,0.7365,"Taninthayi, Dawei, Sinphyutaung",Tanintharyi, Dawei, Sinphyutaung,,"93K/13(020445,025445,025449,032449,032442, 025442,025440,020440)",
0033/2014,24 Hours Mining,Small,9.4.2014,2014-01-09,8.4.2017,2017-04-08,Gypsum,Gypsum,0.31,0.31,"Taninthayi, Dawei, Ayuu Chaung",Tanintharyi, Dawei, Ayuu Chaung,,"95K/14(017101,017093,
019093,019092, 016092, 016087,014087,014096,
015096, 015101)",
0045/2009,"Nan Ka Naung Mining & Engineer Enterprise Co.,Ltd",Small,19.12.2015,2015-01-19,18.12.2016,2016-12-18,Manganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Taninthayi, Botepyin, Parwalkyunt",Tanintharyi, Botepyin, Parwalkyunt,,"95 I / 7(43348, 435351,438348,436346)",
0046/2009,"Nan Ka Naung Mining & Engineer Enterprise Co.,Ltd",Small,19.12.2015,2015-01-19,18.12.2016,2016-12-18,Manganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Taninthayi, Botepyin, Parwalkyunt",Tanintharyi, Botepyin, Parwalkyunt,,"95 I / 7(438349,442354,445352,439346)",
0047/2009,"Nan Ka Naung Mining & Engineer Enterprise Co.,Ltd",Small,19.12.2015,2015-01-19,18.12.2016,2016-12-18,Manganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Taninthayi, Botepyin, Parwalkyunt",Tanintharyi, Botepyin, Parwalkyunt,,"95 I / 7(436350,441357, 443355,439348)",
0048/2009,"Nan Ka Naung Mining & Engineer Enterprise Co.,Ltd",Small,19.12.2015,2015-01-19,18.12.2016,2016-12-18,Minganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Taninthayi, Botepyin, Parwalkyunt",Tanintharyi, Botepyin, Parwalkyunt,,"95 I / 7(430351,4333354, 436352,433348, 4333346)",
0049/2009,"Nan Ka Naung Mining & Engineer Enterprise Co.,Ltd",Small,19.12.2015,2015-01-19,18.12.2016,2016-12-18,Minganese Dioxide,Manganese Dioxide,0.1983,0.1983,"Taninthayi, Botepyin, Parwalkyunt",Tanintharyi, Botepyin, Parwalkyunt,,"95 I / 7 (4333362,249362, 433354)",
031/2015,"Dawei Industry Co.,Ltd",Small,14.10.2015,2015-01-14,13.10.2020,2020-10-13,Quartz,Quartz,0.8118,0.8118,"Taninthayi, Dawei, Amoe Chaung",Tanintharyi, Dawei, Amoe Chaung,,"95 J/6, 95 O/1 & 95 K/16 
( 086483, 090486, 103470, 099467)",
00195/2015,"Eastern  Production Co.,Ltd",Small,14.10.2015,2015-01-14,13.10.2020,2020-10-13,Tin & Tungsten,Tin and Tungsten,0.1537,0.1537,"Taninthayi, Dawei, Pakaryi",Tanintharyi, Dawei, Pakaryi,,"95 J / 8 ( 352680, 355680, 355674, 352674)",
0217/2015,"Hein Myat Htike Co.,Ltd",Small,18.11.2015,2015-01-18,17.11.2016,2016-11-17,Gold,Gold,0.0809,0.0809,"Taninthayi, Botepyin, Yaengangyi",Tanintharyi, Botepyin, Yaengangyi,,"96 I / 14 ( 839515, 841515, 839509, 838509)",
0133/2015,"Anat Ka Yadanar Aung Co.,Ltd",Small,24.6.2015,2015-01-24,23.6.2016,2016-06-23,Gold,Gold,0.0809,0.0809,"Taninthayi, Botepyin, Yaengangyi",Tanintharyi, Botepyin, Yaengangyi,,"86 I / 14 ( 860812, 854517, 851515, 851516, 853518)",
0218/2015,"Shwe Young Alan Co.,Ltd",Small,25.11.2015,2015-01-25,24.11.2020,2020-11-24,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Dawei, Wakone",Tanintharyi, Dawei, Wakone,,"95 J / 8 ( 369640, 369644, 375644, 375640)",
0237/2015,"Shwe Phu Co.,Ltd",Small,17.12.2015,2015-01-17,16.12.2020,2020-12-16,Tin & Tungsten,Tin and Tungsten,0.2003,0.2003,"Taninthayi, Palouk, Htamin masar",Tanintharyi, Palouk, Htamin masar,,"95 K/12 ( 756398, 768398, 768396, 756396)",
0251/2015,"Dawei Myay Mining Production Co.,Ltd",Small,23.12.2015,2015-01-23,22.12.2020,2020-12-22,Tin & Tungsten,Tin and Tungsten,0.1983,0.1983,"Taninthayi, Dawei, Wakone",Tanintharyi, Dawei, Wakone,,"95 J / 8 ( 393678, 399678, 399676, 396676, 396672, 393672, 394675, 393675)",
0395/2010 ,"Shwe Phyit Mat Co.,Ltd",Small,7.12.2015,2015-01-07,6.12.2016,2016-12-06,Gold,Gold,0.0809,0.0809,"Bago, Kyaukgyi, Winkanate",Bago, Kyaukgyi, Winkanate,,"94C/13(491678,495677,
494675,490676)",
 0011/2016,"Ka Nyaw Htoo Doe Soe Co.,Ltd",Small,27.1.2016,2016-01-27,26.1.2017,2017-01-26,Gold,Gold,0.0809,0.0809,"Bago, Shwekyint,Ankani",Bago, Shwekyint,Ankani,,"93 B/16 ( 440888, 441889, 443883, 442882)",
0023/2012,"Sein Chiy Linn Mining Co.,Ltd",Small,27.4.2016,2016-01-27,26.4.2017,2017-04-26,Coal,Coal,0.2003,0.2003,"Magwe, Minbuu, Pa Daung",Magway, Minbuu, Pa Daung,,"84L/12T(803334,807337,810327,807327)",
0024/2012,"Sein Chiy Linn Mining Co.,Ltd",Small,27.4.2016,2016-01-27,26.4.2017,2017-04-26,Coal,Coal,0.2003,0.2003,"Magwe, Minbuu, Pa Daung",Magway, Minbuu, Pa Daung,,"84L/12T(799344,802344,806337,802337)",
0026/2012,"Luu Paung Sat Su Way Co.,Ltd",Small,27.4.2016,2016-01-27,26.4.2017,2017-04-26,Coal,Coal,0.2822,0.2822,"Magwe, Minbuu, Kyatsukone",Magway, Minbuu, Kyatsukone,,"85I/9(948760,949760,951757,952757,950755, 951755)",
0034/2012,"Young Ni Mining Co.,Ltd",Small,20.8.2015,2015-01-20,19.8.2016,2016-08-19,Coal,Coal,0.1659,0.1659,"Magwe, Minhla, Sat Pyar(1)",Magway, Minhla, Sat Pyar(1),,"85I/9T(918065,922065,922060,918060)",
0035/2012,"Young Ni Mining Co.,Ltd",Small,20.8.2015,2015-01-20,19.8.2016,2016-08-19,Coal,Coal,0.0161,0.0161,"Magwe, Minhla, Sat Pyar(2)",Magway, Minhla, Sat Pyar(2),,"95 I/9 T(928060, 929056, 928055, 930055)",
0036/2012,"Young Ni Mining Co.,Ltd",Small,20.8.2015,2015-01-20,19.8.2016,2016-08-19,Coal,Coal,0.0323,0.0323,"Magwe, Minhla, Kying Ngal",Magway, Minhla, Kying Ngal,,"85I/10 Y(943864,943857,943854,944864)",
0037/2012,"Young Ni Mining Co.,Ltd",Small,20.8.2015,2015-01-20,19.8.2016,2016-08-19,Coal,Coal,0.2023,0.2023,"Magwe, Minhla, Kying Ngal",Magway, Minhla, Kying Ngal,,"85I/10Y(973827,968824,970823,974826)",
 0008/2013,Myanmar Ah Htut Ah Htike Mining,Small,22.4.2013,2013-01-22,21.4.2016,2016-04-21,Coal,Coal,0.1942,0.1942,"Magwe, Minbuu, Suepa Daung",Magway, Minbuu, Suepa Daung,,"85/9 792146,797141,798141,793147)  ",
 0009/2013,Myanmar Ah Htut Ah Htike Mining,Small,22.4.2013,2013-01-22,21.4.2016,2016-04-21,Coal,Coal,0.1821,0.1821,"Magwe, Minbuu, Suepa Daung",Magway, Minbuu, Suepa Daung,,"84L/12T(717418,717423,725417,723415)",
 0010/2013,"Ingyin Taung Co.,Ltd",Small,10.4.2013,2013-01-10,9.4.2016,2016-04-09,Coal,Coal,0.1701,0.1701,"Magwe, Minbuu, Kan Tote",Magway, Minbuu, Kan Tote,,"85I/9( 882131,888131,888126,882126) ",
 0011/2013,"Zabuu Thit Mining Co.,Ltd",Small,11.6.2013,2013-01-11,10.6.2016,2016-06-10,Coal,Coal,0.2741,0.2741,"Magwe, Ngaphal, Aoemyaykwin",Magway, Ngaphal, Aoemyaykwin,,"84J/8( 700425,705430, 710426, 704420) ",
 0012/2013,"Pan Laung Co.,Ltd",Small,11.6.2013,2013-01-11,10.6.2016,2016-06-10,Coal,Coal,0.2003,0.2003,"Magwe, Minn Hla, Kan Tote",Magway, Minn Hla, Kan Tote,,"38 I /( 881148,882148, 884146,883146) ",
