Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
 0004/2009,"Htoo International Industrial Gorup Co.,Ltd",Large,,2009-11-12T00:00:00Z,2009-11-12,2019-11-11T00:00:00Z,2019-11-11,Limestone,Limestone,950,950,"Mandalay,Thar, NyungpinHtauk/Thatyatchaung",Mandalay,Thar, NyungpinHtauk/Thatyatchaung,,"93D/5LL(926230,942230,942212,926212) (926212,926198,916198, 916212)",
 0008/2010,"Myanmar Naing Group Co.,Ltd",Large,,2010-04-05T00:00:00Z,2010-04-05,2035-04-04T00:00:00Z,2035-04-04,Limestone,Limestone,2769.28,2769.28,"Mandalay,Thar Si ,PyinNaung",Mandalay,Thar Si ,PyinNaung,,"93 D/5(A - 886 367,B - 918 378,C - 932 345,     D - 897 333)",
 0018/2010,"ShweTaung Mining Co.,Ltd",Large,,2010-12-22T00:00:00Z,2010-12-22,2035-12-21T00:00:00Z,2035-12-21,Limestone,Limestone,600,600,"Mandalay,Thar Si ,ThabyeTaung",Mandalay,Thar Si ,ThabyeTaung,,"93 D/5(A - LL 912 316,B - LL 927 316,C - LL 927 296,D - LL 912 296)",
0019/2010,"Myanmar Naing Group Co.,Ltd",Large,,2013-03-07T00:00:00Z,2013-03-07,2035-12-28T00:00:00Z,2035-12-28,Limestone,Limestone,400.477,400.477,"Mandalay,Kyautse' ,TaungNiMa Taung",Mandalay,Kyautse' ,TaungNiMa Taung,,"93 C/2+6(F(763122,774122, 774108,756108)",
 0003/2011,Green Aisa LTD,Large,,2011-01-13T00:00:00Z,2011-01-13,2021-01-12T00:00:00Z,2021-01-12,Limestone,Limestone,680,680,"Mandalay,Thar Si ,Sai Taung",Mandalay,Thar Si ,Sai Taung,,"93 D/5 LL( 912280, 925280, 925255,912255)",
 0012/2011,Young Investment Group CoLtd,Large,,2011-02-04T00:00:00Z,2011-02-04,2021-02-03T00:00:00Z,2021-02-03,Limestone,Limestone,875,875,"Mandalay,SinKine ,MyaLeikTaung",Mandalay,SinKine ,MyaLeikTaung,,"93 C/5(765405, 782405, 782380,765380)",
 0013/2011,Young Investment Group CoLtd,Large,,2011-02-04T00:00:00Z,2011-02-04,2021-02-03T00:00:00Z,2021-02-03,Limestone,Limestone,638,638,"MandalaymThar Si ,Thabye Taung",Mandalay,Thabye Taung,,,"93 D/(912335,927336, 927317,912317",
0014/2011,Young Investment Group CoLtd,Large,,2011-02-04T00:00:00Z,2011-02-04,2021-02-03T00:00:00Z,2021-02-03,Limestone,Limestone,500,500,"MandalaymThar Si ,Nwalabo Taung",Mandalay,Nwalabo Taung,,,"93D/5(912335,927336,927317, 912317)",
 0015/2011,Young Investment Group CoLtd,Large,,2011-02-04T00:00:00Z,2011-02-04,2021-02-03T00:00:00Z,2021-02-03,Limestone,Limestone,610.046,610.046,"MandalaymThar Si ,Nyoungbin Taung",Mandalay,Nyoungbin Taung,,,"93D/5(916240,920243,933243, 940240,940241,946231)",
 0016/2011,Young Investment Group CoLtd,Large,,2011-02-04T00:00:00Z,2011-02-04,2021-02-03T00:00:00Z,2021-02-03,Limestone,Limestone,134.4,134.4,"Mandalay, Thar Si ,Kyatsakhan(1)",Mandalay, Thar Si ,Kyatsakhan(1),,93 D,
