Code/Ref,Company_Name_cl,License_type_cl,Date of application,Date of award,Award_date_cl,Expiry date,Expiry_date_cl,Commodity,Commodity_cl,Area (Km2),Area_acre_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,location_working 4,Coordinates of the license area,Column 11
0023/2014,"WaiYan Lwin Co.,Ltd",Small,,2014-02-19T00:00:00Z,2014-02-19,2017-02-18T00:00:00Z,2017-02-18,Clay,Clay,0.0681,0.0681,"Mandalay,TattarOo,Pyawbawe",Mandalay,TattarOo,Pyawbawe,,"84O/14(330154,331152,332152,332153, 334153,334151, 330151)",
0024/2014,"WaiYan Lwin Co.,Ltd",Small,,2014-02-19T00:00:00Z,2014-02-19,2017-02-18T00:00:00Z,2017-02-18,Clay,Clay,0.0681,0.0681,"Mandalay,TattarOo,Pyawbawe",Mandalay,TattarOo,Pyawbawe,,"84 P/14(366027,367027,367026, 367025, 365025, 365026,366026)",
0025/2014,"WaiYan Lwin Co.,Ltd",Small,,2014-02-19T00:00:00Z,2014-02-19,2017-02-18T00:00:00Z,2017-02-18,Clay,Clay,0.0681,0.0681,"Mandalay,TattarOo,Pyawbawe",Mandalay,TattarOo,Pyawbawe,,"84O/19(072453,073453,072451,071451, 072452)",
0083/2014,"Ngwe Moe Hein Co.,Ltd",Small,,2014-03-12T00:00:00Z,2014-03-12,2017-03-11T00:00:00Z,2017-03-11,Copper,Copper,0.2003,0.2003,"Mandalay,Kyoukse,Baw Taung",Mandalay,Kyoukse,Baw Taung,,"93C/6(833290,833298,836298,836290)",
0084/2014,"Ngwe Moe Hein Co.,Ltd",Small,,2014-03-12T00:00:00Z,2014-03-12,2017-03-11T00:00:00Z,2017-03-11,Copper,Copper,0.2003,0.2003,"Mandalay,Kyoukse,Baw Taung",Mandalay,Kyoukse,Baw Taung,,"93 C/6(815311,815319,818319,818311)",
0276/2014,"Dana AungLanMin Co.,Ltd",Small,,2014-11-21T00:00:00Z,2014-11-21,2017-11-20T00:00:00Z,2017-11-20,TinTungsten,Tin and Tungsten,0.2003,0.2003,"Mandalay,Pyawbawe,PhaungTaw,ShweNaungFu",Mandalay,Pyawbawe,PhaungTaw,ShweNaungFu,93,
0277/2014,"Dana AungLanMin Co.,Ltd",Small,,2014-11-21T00:00:00Z,2014-11-21,2017-11-20T00:00:00Z,2017-11-20,TinTungsten,Tin and Tungsten,0.2003,0.2003,"Mandalay,Pyawbawe,PhaungTaw,ShweNaungFu",Mandalay,Pyawbawe,PhaungTaw,ShweNaungFu,93,
0054/2014,Myanma Economic Holding Corporation,Small,,2014-12-03T00:00:00Z,2014-12-03,2019-12-02T00:00:00Z,2019-12-02,Bauxite,Bauxite,0.7285,0.7285,"Mandalay,Pyin Oo Lwin ,Inn yar",Mandalay,Pyin Oo Lwin ,Inn yar,,"93 C/9+B/12(083669,086669,088661, 078652,076656)",
0302/2014,"January KoKo Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2019-12-23T00:00:00Z,2019-12-23,Copper,Copper,0.2007,0.2007,"Mandalay,Kyoukse,MayeNiKyin",Mandalay,Kyoukse,MayeNiKyin,,"93C/6(819309,824309,820304,816303)",
0303/2014,"January KoKo Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2019-12-23T00:00:00Z,2019-12-23,Copper,Copper,0.2007,0.2007,"Mandalay,Kyoukse,NgueTwin",Mandalay,Kyoukse,NgueTwin,,"93C/6(818302,824302,824298,818298)",
0304/2014,"January KoKo Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2019-12-23T00:00:00Z,2019-12-23,Copper,Copper,0.2007,0.2007,"Mandalay,Kyoukse,KyoukTittar",Mandalay,Kyoukse,KyoukTittar,,"93C/6(815297,823297,822294,818294)",
0305/2014,"January KoKo Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2019-12-23T00:00:00Z,2019-12-23,Copper,Copper,0.2007,0.2007,"Mandalay,Kyoukse,KyoukTittar",Mandalay,Kyoukse,KyoukTittar,,"93C/6(812293,820293,811290,819290)",
0001/2015,"Zabutalu Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2020-01-06T00:00:00Z,2020-01-06,Copper,Copper,0.2007,0.2007,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun,,"93B/4B/8F(762781,765781,765776,762773)",
0002/2015,"Zabutalu Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2020-01-06T00:00:00Z,2020-01-06,Copper,Copper,0.2007,0.2007,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun,,"93B/4B/8F(780809,785809,785805,780805)",
0003/2015,"Zabutalu Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2020-01-06T00:00:00Z,2020-01-06,Copper,Copper,0.2007,0.2007,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun,,"93B/4B/4F(785809,791809,791805,785805)",
0004/2015,"Zabutalu Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2020-01-06T00:00:00Z,2020-01-06,Copper,Copper,0.2007,0.2007,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun,,"93B/4B/4F(785805,791805,791800,785800)",
0005/2015,"Zabutalu Co.,Ltd",Small,,2015-01-07T00:00:00Z,2015-01-07,2020-01-06T00:00:00Z,2020-01-06,Copper,Copper,0.2007,0.2007,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun,,"93B/4B/4F(780805,785805,785800,780800)",
0008/2015,Yarzar MinMin ,Small,,2015-02-04T00:00:00Z,2015-02-04,2020-02-03T00:00:00Z,2020-02-03,Marble,Marble,0.0673,0.0673,"Mandalay,Mattaya,YatKanSin Taung",Mandalay,Mattaya,YatKanSin Taung,,"93B/3LA(579155,581153,581150,579150)",
0009/2015,New Era Gold,Small,,2015-02-04T00:00:00Z,2015-02-04,2020-02-03T00:00:00Z,2020-02-03,Marble,Marble,0.0673,0.0673,"Mandalay,Mattaya,YatKanSin Taung",Mandalay,Mattaya,YatKanSin Taung,,"93B/3(580120,583124,585117,590118,590114,585112)",
0013/2015,"Shwe A Lin Kar Co.,Ltd",Small,,2015-02-19T00:00:00Z,2015-02-19,2020-02-18T00:00:00Z,2020-02-18,Coal,Coal,0.1881,0.1881,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan,,"93D/9(041330,045335,047330,04325)",
0014/2015,"Shwe A Lin Kar Co.,Ltd",Small,,2015-02-19T00:00:00Z,2015-02-19,2020-02-18T00:00:00Z,2020-02-18,Coal,Coal,0.2006,0.2006,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan,,"93D/9(040320,043322,047314,044312)",
0063/2014,"Moe Myint TaKhun Co.,Ltd",Small,,2015-02-19T00:00:00Z,2015-02-19,2020-02-18T00:00:00Z,2020-02-18,Coal,Coal,0.2006,0.2006,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan,,"93C/6(817180,821180,822174,818174)",
0015/2015,"Shwe A Lin Kar Co.,Ltd",Small,,2015-02-19T00:00:00Z,2015-02-19,2020-02-18T00:00:00Z,2020-02-18,Coal,Coal,0.2006,0.2006,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan,,"93D/9(044323,047325,051317,048315)",
0072/2002,Future Engineeing,Small,,2012-09-01T00:00:00Z,2012-09-01,2013-08-31T00:00:00Z,2013-08-31,Gold,Gold,0.1619,0.1619,"Mandalay,Thabeakkyin,OhhZone",Mandalay,Thabeakkyin,OhhZone,,93B/1,
0031/2014,"YandarShweYeWin Co.,Ltd",Small,,2012-08-23T00:00:00Z,2012-08-23,2013-08-22T00:00:00Z,2013-08-22,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ZikeChaung",Mandalay,Singu,ZikeChaung,,93B/2( 787176) ,
0032/2014,"YandarShweYeWin Co.,Ltd",Small,,2012-08-23T00:00:00Z,2012-08-23,2013-08-22T00:00:00Z,2013-08-22,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ZikeChaung",Mandalay,Singu,ZikeChaung,,93B/2(790170) ,
0033/2014,"YandarShweYeWin Co.,Ltd",Small,,2012-08-23T00:00:00Z,2012-08-23,2013-08-22T00:00:00Z,2013-08-22,Gold,Gold,0.0809,0.0809,"Mandalay,Singu ,Nat Taung",Mandalay,Singu ,Nat Taung,,93B/2(786163)  ,
0094/2006,"Myanmar Golden Point Family Co.,Ltd",Small,,2012-08-01T00:00:00Z,2012-08-01,2013-07-31T00:00:00Z,2013-07-31,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay,,93B/1,
0094/2007,"Myanmar Golden Point Family Co.,Ltd",Small,,2013-08-01T00:00:00Z,2013-08-01,2014-07-31T00:00:00Z,2014-07-31,Gold,Gold,0.0810,0.081,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay,,93B/1,
0096/2006,"Myanmar Golden Point Family Co.,Ltd",Small,,2012-08-01T00:00:00Z,2012-08-01,2013-07-31T00:00:00Z,2013-07-31,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay,,93B/1,
0097/2006,"Myanmar Golden Point Family Co.,Ltd",Small,,2012-08-01T00:00:00Z,2012-08-01,2013-07-31T00:00:00Z,2013-07-31,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay,,93B/1,
0098/2006,"Myanmar Golden Point Family Co.,Ltd",Small,,2012-08-01T00:00:00Z,2012-08-01,2013-07-31T00:00:00Z,2013-07-31,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay,,93B/1+2,
0150/2007,YadarMoeMyay Co Ltd,Small,,2013-12-02T00:00:00Z,2013-12-02,2014-12-01T00:00:00Z,2014-12-01,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe,,93B/2(795160)  ,
0151/2007,YadarMoeMyay Co Ltd,Small,,2013-12-02T00:00:00Z,2013-12-02,2014-12-01T00:00:00Z,2014-12-01,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe,,93B/2( 795163) ,
0152/2007,YadarMoeMyay Co Ltd,Small,,2013-12-02T00:00:00Z,2013-12-02,2014-12-01T00:00:00Z,2014-12-01,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe,,93B/2( 796148) ,
0153/2007,YadarMoeMyay Co Ltd,Small,,2013-12-02T00:00:00Z,2013-12-02,2014-12-01T00:00:00Z,2014-12-01,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe,,93B/2( 796145) ,
0029/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0030/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0031/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0032/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0033/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0034/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0035/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung,,92B/2,
0036/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2013-01-24T00:00:00Z,2013-01-24,2014-01-23T00:00:00Z,2014-01-23,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,Nat Taung",Mandalay,Thabeakkyin,Nat Taung,,92B/2,
0059/2008,"Tun Shwe Sin Co.,Ltd",Small,,2014-02-11T00:00:00Z,2014-02-11,2015-02-10T00:00:00Z,2015-02-10,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,92B/2(792165),
0060/2008,"Tun Shwe Sin Co.,Ltd",Small,,2014-02-11T00:00:00Z,2014-02-11,2015-02-10T00:00:00Z,2015-02-10,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,ZikeChaung",Mandalay,Thabeakkyin,ZikeChaung,,93B/2(792165),
0084/2008,"Htet Yee Lin Co.,Ltd",Small,,2014-02-21T00:00:00Z,2014-02-21,2015-02-20T00:00:00Z,2015-02-20,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,92B/2,
0086/2008,"Htet Yee Lin Co.,Ltd",Small,,2014-02-21T00:00:00Z,2014-02-21,2015-02-20T00:00:00Z,2015-02-20,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,92B/2,
0087/2008,"Aung Htun Lin Shein Win Co.,Ltd",Small,,2013-02-21T00:00:00Z,2013-02-21,2014-02-20T00:00:00Z,2014-02-20,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,92B/2,
0088/2008,"Aung Htun Lin Shein Win Co.,Ltd",Small,,2013-02-21T00:00:00Z,2013-02-21,2014-02-20T00:00:00Z,2014-02-20,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,93B/2( 778151)  ,
0089/2008,"Htet Yee Lin Co.,Ltd",Small,,2014-02-21T00:00:00Z,2014-02-21,2015-02-20T00:00:00Z,2015-02-20,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,93B/2( 773150),
0090/2008,"Htet Yee Lin Co.,Ltd",Small,,2014-02-21T00:00:00Z,2014-02-21,2015-02-20T00:00:00Z,2015-02-20,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung,,93B/2( 7717150),
048/2009,"Pyae Son Aung Co.,Ltd",Small,,2015-03-13T00:00:00Z,2015-03-13,2016-03-12T00:00:00Z,2016-03-12,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,Nat Taung",Mandalay,Singu,Nat Taung,,93B/2( 941058) ,
0073/2009,"San Shwe Pyi Co.,Ltd",Small,,2014-05-27T00:00:00Z,2014-05-27,2015-05-26T00:00:00Z,2015-05-26,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,SinTwin",Mandalay,Thabeakkyin,SinTwin,,93D/7( 858831) ,
0074/2009,"San Shwe Pyi Co.,Ltd",Small,,2014-05-27T00:00:00Z,2014-05-27,2015-05-26T00:00:00Z,2015-05-26,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,SinTwin",Mandalay,Thabeakkyin,SinTwin,,93D/7( 855830) ,
007/2009,"Htet Yee Lin Co.,Ltd",Small,,2015-01-18T00:00:00Z,2015-01-18,2016-01-17T00:00:00Z,2016-01-17,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,ShoukPinYoe",Mandalay,Thabeakkyin,ShoukPinYoe,,92B/2,
0087/2009,"San Shwe Pyi Co.,Ltd",Small,,2014-06-15T00:00:00Z,2014-06-15,2015-06-14T00:00:00Z,2015-06-14,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,WarPhyuTaung",Mandalay,Thabeakkyin,WarPhyuTaung,,93D/7( 816791) ,
0097/2009,"Good Luck International Co.,Ltd",Small,,2014-07-14T00:00:00Z,2014-07-14,2015-07-13T00:00:00Z,2015-07-13,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,ShoukPinYoe",Mandalay,Thabeakkyin,ShoukPinYoe,,93B/2(766174) ,
0098/2009,"YandarnarShweYeWin Co.,Ltd",Small,,2014-07-14T00:00:00Z,2014-07-14,2015-07-13T00:00:00Z,2015-07-13,Gold,Gold,0.0809,0.0809,"Mandalay,Thabeakkyin,ShoukPinYoe",Mandalay,Thabeakkyin,ShoukPinYoe,,93B/2( 780166),
0099/2009,"YandarnarShweYeWin Co.,Ltd",Small,,2014-07-14T00:00:00Z,2014-07-14,2015-07-13T00:00:00Z,2015-07-13,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe,,93B/2(786166),
0156/2009,"Shwe Nan Soe Co.,Ltd",Small,,2014-09-04T00:00:00Z,2014-09-04,2015-09-03T00:00:00Z,2015-09-03,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe,,93B/2( 955062),
0295/2009,"Htet Yee Lin Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,, 93B/2 SR( 771162),
0296/2009,"Htet Yee Lin Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,,93B/2( 776162),
0297/2009,"Htet Yee Lin Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,,93B/2( 775158),
0298/2009,"Htet Yee Lin Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,,93 B/2( 769152),
0299/2009,"Htet Yee Lin Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,Nat Taung",Mandalay,Singu,Nat Taung,,93B/2( 903170) ,
0300/2009,"Htet Yee Lin Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,Nat Taung",Mandalay,Singu,Nat Taung,, 93B/2( 903070),
0301/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KanTaung",Mandalay,Singu,KanTaung,,92B/8(794165) ,
0302/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,, 93B/2( 794195) ,
0303/2009,"Aung Htun Lin Shein Win Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KanTaung",Mandalay,Singu,KanTaung,,93B/2( 786134) ,
0304/2009,"Aung Htun Lin Shein Win Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KanTaung",Mandalay,Singu,KanTaung,,93 B/2( 792135) ,
0305/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,,93B/2( 770148) ,
0306/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,,2014-12-01T00:00:00Z,2014-12-01,2015-11-30T00:00:00Z,2015-11-30,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk,,93B/2 (775154),
0196/2010,"Pyi Thar Naing Co.,Ltd",Small,,2011-02-25T00:00:00Z,2011-02-25,2014-02-24T00:00:00Z,2014-02-24,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe,,"92B/2(772159,884158,884158,771152,772151, 771151)",
0197/2010,"Pyi Thar Naing Co.,Ltd",Small,,2011-02-25T00:00:00Z,2011-02-25,2014-02-24T00:00:00Z,2014-02-24,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe,,"92B/2(769160,771160,772159,772157,568156)",
0198/2010,"ThakedeeAung Shwe Moe Co.,Ltd",Small,,2010-03-12T00:00:00Z,2010-03-12,2013-03-11T00:00:00Z,2013-03-11,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe,,"93B/2( 791134,791125,788131,788134)",
0503/2010,"Future Engineeing Co.,Ltd",Small,,2013-08-10T00:00:00Z,2013-08-10,2014-08-09T00:00:00Z,2014-08-09,Gold,Gold,0.0809,0.0809,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe,,93B/2,
0504/2010,"A Tu La Co.,Ltd",Small,,2010-08-10T00:00:00Z,2010-08-10,2013-08-09T00:00:00Z,2013-08-09,Gold,Gold,0.0809,0.0809,"Mandalay,TharZi,PyinNaung",Mandalay,TharZi,PyinNaung,,93B/3,
0571/2010,"Shwe Mahar Mining Co.,Ltd",Small,,2010-07-06T00:00:00Z,2010-07-06,2013-07-05T00:00:00Z,2013-07-05,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,Inntime",Mandalay,Tharzi,Inntime,,93B/4,
0603/2010,"Linn Thant Co.,Ltd",Small,,2010-08-27T00:00:00Z,2010-08-27,2013-08-26T00:00:00Z,2013-08-26,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,Shwekyin",Mandalay,Tharzi,Shwekyin,," 84N/14( 675195,675194,668190,667191) ",
0616/2010,"Shwe Taung Nyunt Co.,Ltd",Small,,2013-09-29T00:00:00Z,2013-09-29,2014-09-28T00:00:00Z,2014-09-28,Gold,Gold,0.0809,0.0809,"Mandalay,TharZi,Nat Taung",Mandalay,TharZi,Nat Taung,,"92B/2( 941058,943057,940053,938054) ",
0617/2010,"Shwe Nan Soe Co.,Ltd",Small,,2014-09-29T00:00:00Z,2014-09-29,2015-09-28T00:00:00Z,2015-09-28,Gold,Gold,0.0809,0.0809,"Mandalay,TharZi,Nat Taung",Mandalay,TharZi,Nat Taung,,"93B/2(961055,958051,955049,957053) ",
0618/2010,"Shwe Nan Soe Co.,Ltd",Small,,2014-09-29T00:00:00Z,2014-09-29,2015-09-28T00:00:00Z,2015-09-28,Gold,Gold,0.0809,0.0809,"Mandalay,TharZi,Nat Taung",Mandalay,TharZi,Nat Taung,,"93B/3( 961064,964064,963060,962060) ",
0619/2010,"Aung La Pyae Co.,Ltd",Small,,2014-09-29T00:00:00Z,2014-09-29,2015-09-28T00:00:00Z,2015-09-28,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,WarPoeChat",Mandalay,Tharzi,WarPoeChat,,"93B/2(961064,964064,963060,962060)",
0621/2010,"Aung La Pyae Co.,Ltd",Small,,2014-09-29T00:00:00Z,2014-09-29,2015-09-28T00:00:00Z,2015-09-28,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,WarPoeChat",Mandalay,Tharzi,WarPoeChat,,"93B/2(962060,965060,966057,963057)",
0634/2010,"Aung Ko Thu Co.,Ltd",Small,,2014-09-29T00:00:00Z,2014-09-29,2015-09-28T00:00:00Z,2015-09-28,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,"92B/2(765165,768165,768162,765162)",
0635/2010,"Shwe Pouk Pouk Co.,Ltd",Small,,2014-09-29T00:00:00Z,2014-09-29,2015-09-28T00:00:00Z,2015-09-28,,,0.0546,0.0546,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,93B/4,
0840/2010,"Htun Thiri Yadanar Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,"93B/2(791170,792164,790162,789168)",
0841/2010,"Htun Thiri Yadanar Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,"93B/2(792177,792176,791170,790169,790176)",
0842/2010,"Yadarnar PyaePhyoAung Co.,Ltd",Small,,2014-12-24T00:00:00Z,2014-12-24,2015-12-23T00:00:00Z,2015-12-23,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,"93B/2(796166,798168,799168,798163,797162)",
0845/2010,"Yae Taw Thar Co.,Ltd",Small,,2010-12-24T00:00:00Z,2010-12-24,2013-12-23T00:00:00Z,2013-12-23,Gold,Gold,0.0809,0.0809,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,93B/4,
0846/2010,"Shwe Win Naing Co.,Ltd",Small,,2013-12-24T00:00:00Z,2013-12-24,2014-12-23T00:00:00Z,2014-12-23,,,0.0809,0.0809,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe,,93B/4,
