Application_date_cl,Area_acre_cl,Area_km2_cl,Award_date_cl,Code/Ref,Commodity_cl,Company_Name_cl,Department,Expiry_date_cl,License_type_cl,Year,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl,License_location_code_2_cl
,, 0.08 ,2015-10-20,0675/2010,Gold,Ruby Dragon,,2016-10-19,First-come-first-serve,2016-17,,Sagaing,Banmauk,Taung kone,
,, 0.08 ,2016-03-24,0293/2010,Gold,"Aung Taing San Mining Co.,Ltd",,2017-03-23,First-come-first-serve,2016-17,,Sagaing,Banmauk,Shwetwin,
,, 0.08 ,2016-06-21,0118/2012,Gold,Sein Mya Lwin,,2017-06-20,First-come-first-serve,2016-17,,Sagaing,Htee Kaing,Maing Kaing,
,, 0.08 ,2015-08-20,0132/2012,Gold,MCS,,2016-08-19,First-come-first-serve,2016-17,,Sagaing,Wintho,Mangyipin,
,, 0.08 ,2015-08-30,0172/2012,Gold,Khaing Ngu War Shwe,,2016-08-29,First-come-first-serve,2016-17,,Sagaing,Htee Kaing,Maw khar,
,, 0.08 ,2015-08-30,0023/2012,Gold,Ngwe Yaung Linn,,2016-08-29,First-come-first-serve,2016-17,,Sagaing,Khandee,Manlaungpapin,
,, 0.08 ,2015-03-13,0058/2012,Gold,Shin Thant Aung Myin,,2016-03-12,First-come-first-serve,2016-17,,Sagaing,Homaline,Htatekone,
,, 0.08 ,2015-07-12,0136/2013,Gold,"Aye Nyein Dana Co.,Ltd",,2016-07-11,First-come-first-serve,2016-17,,Sagaing,Banmauk,Mankap,
,, 0.08 ,2015-07-12,0137/2013,Gold,"Aye Nyein Dana Co.,Ltd",,2016-07-11,First-come-first-serve,2016-17,,Sagaing,Banmauk,Mankap,
,, 0.08 ,2015-07-30,0144/2013,Gold,"Dekkhila Tagon Co.,Ltd",,2016-07-29,First-come-first-serve,2016-17,,Sagaing,Homaline,Maing Kaing,
,, 0.08 ,2015-07-30,0145/2013,Gold,"Dekkhila Tagon Co.,Ltd",,2016-07-29,First-come-first-serve,2016-17,,Sagaing,Homaline,Maing Kaing,
,, 0.08 ,2015-07-12,0148/2013,Gold,"Shwe Mahaw Mining Co.,Ltd",,2016-07-11,First-come-first-serve,2016-17,,Sagaing,Homaline,Haephak,
,, 0.08 ,2015-09-11,0156/2013,Gold,"Shwe Sin Moe  Co.,Ltd",,2016-09-11,First-come-first-serve,2016-17,,Sagaing,Homaline,Maing Kaing,
,, 0.08 ,2015-08-29,0162/2013,Gold,"Kaung kin Kyal Sin Mining Co.,Ltd",,2016-08-28,First-come-first-serve,2016-17,,Sagaing,Homaline,Laungfaung,
,, 0.08 ,2015-12-30,0022/2013,Gold,"Kaung kin Kyal Sin Mining Co.,Ltd",,2016-12-29,First-come-first-serve,2016-17,,Sagaing,Homaline,Haephak,
,, 0.08 ,2016-01-15,0027/2014,Gold,"Than Hteik Shwe Sin Mining Co.,Ltd",,2017-01-14,First-come-first-serve,2016-17,,Sagaing,Banmauk,Narnanton,
,, 0.08 ,2015-01-15,0029/2014,Gold,"Chindwin Gold Group Co.,Ltd",,2016-01-14,First-come-first-serve,2016-17,,Sagaing,Homaline,orebokataught,
,, 0.08 ,2015-12-30,0051/2014,Gold,"Shwe La Wine Co.,Ltd",,2016-12-29,First-come-first-serve,2016-17,,Sagaing,Kawlin,Igyi,
,, 0.08 ,2016-01-22,0053/2014,Gold,"Mya Thein Gi Co.,Ltd",,2016-01-21,First-come-first-serve,2016-17,,Sagaing,Homaline,Maing Kaing,
,, 0.08 ,2016-01-22,0052/2014,Gold,"Mya Thein Gi Co.,Ltd",,2016-01-21,First-come-first-serve,2016-17,,Sagaing,Homaline,Haephak,
,, 0.08 ,2016-02-13,0060/2014,Gold,Shwe Uru Aung,,2017-02-12,First-come-first-serve,2016-17,,Sagaing,Homaline,HteinKone,
,, 0.08 ,2015-02-13,0066/2014,Gold,"Win Thiri Kyaw Co.,Ltd",,2016-02-12,First-come-first-serve,2016-17,,Sagaing,Homaline,SML-567,
,, 0.08 ,2015-02-13,0067/2014,Gold,Shin Thant Aung Myin,,2016-02-12,First-come-first-serve,2016-17,,Sagaing,Homaline,HteinKone,
,, 0.08 ,2016-01-08,0068/2014,Gold,"Arkar Myint Co.,Ltd",,2017-01-07,First-come-first-serve,2016-17,,Sagaing,Wintho Magyipin,,
,, 0.08 ,2015-03-04,0078/2014,Gold,"Su Se Nyi Nyut Thaw Shwe Nyi Ako Myar Co.,Ltd",,2016-03-03,First-come-first-serve,2016-17,,Sagaing,Homaline,HteinKone,
,, 0.08 ,2015-03-04,0085/2014,Gold,"Htet Yadanar Htun Co.,Ltd",,2016-03-03,First-come-first-serve,2016-17,,Sagaing,Homaline,HteinKone,
,, 0.08 ,2015-03-04,0102/2014,Gold,"Affection Alliance Co.,Ltd",,2016-03-03,First-come-first-serve,2016-17,,Sagaing,Wintho,Mawkhar,
,, 0.08 ,2016-03-26,0113/2014,Gold,"Natural Ability Co.,Ltd",,2017-03-25,First-come-first-serve,2016-17,,Sagaing,Homaline,orebokataught,
,, 0.08 ,2015-03-04,0104/2014,Gold,Shwe Sin Naung Aung,,2016-03-03,First-come-first-serve,2016-17,,Sagaing,Khandee,yapnar,
,, 0.08 ,2016-04-09,0124/2014,Gold,"Shwe Pyi Thein Co.,Ltd",,2017-04-08,First-come-first-serve,2016-17,,Sagaing,Kantbalu,zine,
,, 0.08 ,2015-03-04,0118/2014,Gold,"River Edge Tharlar Wati Co.,Ltd",,2016-03-03,First-come-first-serve,2016-17,,Sagaing,Homaline,orebokataught,
,, 0.08 ,2016-03-04,0131/2014,Gold,"Phyo than Co.,Ltd",,2017-03-03,First-come-first-serve,2016-17,,Sagaing,Kawlin,Moenant,
,, 0.08 ,2015-05-28,0161/2014,Gold,"Gold Mata Co.,ltd",,2016-05-27,First-come-first-serve,2016-17,,Sagaing,Kantbalu,zine,
,, 0.08 ,2015-06-11,0189/2014,Gold,"727 Co.,Ltd",,2016-06-10,First-come-first-serve,2016-17,,Sagaing,Banmauk,Narnanton,
,, 0.08 ,2014-05-27,0186/2014,Gold,Bo Myint Min Zaw,,2016-05-27,First-come-first-serve,2016-17,,Sagaing,Homaline,laungfaung,
,, 0.08 ,2016-03-26,0217/2014,Gold,"Gold Moonlight Co.,Ltd",,2017-03-25,First-come-first-serve,2016-17,,Sagaing,Homaline,laungfaung,
,, 0.08 ,2016-03-26,0218/2014,Gold,"Shwe La Yaung Co.,Ltd",,2017-03-25,First-come-first-serve,2016-17,,Sagaing,Homaline,laungfaung,
,, 0.08 ,2015-07-02,0207/2014,Gold,Pyay Chit thar Mining ,,2016-07-01,First-come-first-serve,2016-17,,Sagaing,Homaline,Haephak,
,, 0.08 ,2015-11-12,0273/2014,Gold,"Aung pyi Thar Mining Co.,Ltd",,2016-11-11,First-come-first-serve,2016-17,,Sagaing,Banmauk,Sonetaw,
,, 0.08 ,2015-09-03,0238/2014,Gold,"Shwe Lin Aung Co.,Ltd",,2016-09-02,First-come-first-serve,2016-17,,Sagaing,Banmauk,Kywekawgyi,
,, 0.08 ,2015-08-27,0235/2014,Gold,"Cho Group Production 
Co.,Ltd",,2016-08-26,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,Magyipin,
,, 0.08 ,2015-09-17,0246/2014,Gold,"Shwe Ni Hla Co.,Ltd",,2016-09-16,First-come-first-serve,2016-17,,Sagaing,Banmauk,Maninminkone,
,, 0.08 ,2015-09-17,0250/2014,Gold,"Lin Khant kyaw Co.,Ltd",,2016-09-16,First-come-first-serve,2016-17,,Sagaing,Homalin,Naungmoe,
,, 0.08 ,2015-09-17,0244/2014,Gold,"Hein Hein Than Co.,Ltd",,2016-09-16,First-come-first-serve,2016-17,,Sagaing,Banmauk,Maninminkone,
,, 0.08 ,2015-08-27,0236/2014,Gold,Shwe Min Gyi,,2016-08-26,First-come-first-serve,2016-17,,Sagaing,Homalin,Manhone,
,, 0.08 ,2015-09-17,0243/2014,Gold,Shwe Pyai Kyaw,,2016-09-16,First-come-first-serve,2016-17,,Sagaing,Phaungpyin,Maught palin,
,, 0.08 ,2015-09-17,0248/2014,Gold,Myanmar Shwe Kone Myint,,2016-09-16,First-come-first-serve,2016-17,,Sagaing,Wintho,Taungnema,
,, 0.08 ,2015-09-17,0249/2014,Gold,Myanmar Shwe Kone Myint,,2016-09-16,First-come-first-serve,2016-17,,Sagaing,Wintho,Taungnema,
,, 0.08 ,2015-10-15,0264/2014,Gold,"727 Co.,Ltd",,2016-10-14,First-come-first-serve,2016-17,,Sagaing,Banmauk,Khonan,
,, 0.08 ,2015-10-15,0263/2014,Gold,"727 Co.,Ltd",,2016-10-14,First-come-first-serve,2016-17,,Sagaing,Banmauk,Khonan,
,, 0.08 ,2015-10-15,0268/2014,Gold,Shwe Win Aung Aung,,2016-10-14,First-come-first-serve,2016-17,,Sagaing,Banmauk,Narnanton,
,, 0.08 ,2015-10-09,0260/2014,Gold,Thein Lyan Shwe Sin,,2016-10-08,First-come-first-serve,2016-17,,Sagaing,Homalin,Htamanthi,
,, 0.08 ,2015-10-01,0254/2014,Gold,"7 Gold Star  Co.,Ltd",,2016-09-30,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.08 ,2015-11-26,0278/2014,Gold,"Haw Nan Hteik Co.,Ltd",,2016-11-25,First-come-first-serve,2016-17,,Sagaing,Homalin,Naung taw,
,, 0.08 ,2015-11-26,0279/2014,Gold,"Ugga Yadanar Co.,Ltd",,2016-11-25,First-come-first-serve,2016-17,,Sagaing,Bamaw,Lalnetgyi,
,, 0.08 ,2015-11-26,0280/2014,Gold,"Ugga Yadanar Co.,Ltd",,2016-11-25,First-come-first-serve,2016-17,,Sagaing,Bamaw,Lalnetgyi,
,, 0.08 ,2015-11-26,0281/2014,Gold,"Ugga Yadanar Co.,Ltd",,2016-11-25,First-come-first-serve,2016-17,,Sagaing,Bamaw,Lalnetgyi,
,, 0.08 ,2015-12-10,0278/2014,Gold,Aung Shwe Sin Myat,,2016-12-09,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2015-11-21,0275/2014,Gold,"pyai Phyo San Mining Co.,Ltd",,2016-11-20,First-come-first-serve,2016-17,,Sagaing,Homalin,Htamanthi,
,, 0.08 ,2015-12-24,0298/2014,Gold,"Shwe Toe Hlyan Co.,Ltd",,2016-12-23,First-come-first-serve,2016-17,,Sagaing,Homalin,DHML-618,
,, 0.08 ,2015-12-24,0300/2014,Gold,"Khandaya Green Co.,Ltd",,2016-12-23,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,SPBL-57,
,, 0.08 ,2015-12-24,0299/2014,Gold,"Shwe Oe Se Mining Co.,Ltd",,2016-12-23,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-328,
,, 0.08 ,2015-12-17,0294/2014,Gold,"Shwe Se Toe  Co.,Ltd",,2016-12-16,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-322,
,, 0.08 ,2015-01-07,0012/2014,Gold,"Zike Shein  Co.,Ltd",,2016-01-06,First-come-first-serve,2016-17,,Sagaing,Kawlin,SKL-62,
,, 0.08 ,2015-01-07,0006/2015,Gold,"Aw Zar Shwe Pyi  Co.,Ltd",,2016-01-06,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,SPLB-59,
,, 0.08 ,2015-01-07,0007/2015,Gold,"Aw Zar Shwe Pyi  Co.,Ltd",,2016-01-06,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,SPLB-60,
,, 0.08 ,2015-01-07,0008/2015,Gold,"Aw Zar Shwe Pyi  Co.,Ltd",,2016-01-06,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,SPLB-61,
,, 0.08 ,2015-01-15,0015/2015,Gold,"Shwe Zayar PLC Co.,Ltd",,2016-01-14,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-565,
,, 0.08 ,2015-01-15,0016/2015,Gold,"Shwe Zayar PLC Co.,Ltd",,2016-01-14,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-566,
,, 0.08 ,2015-12-17,0291/2014,Gold,"Shwe Left hand Thonenada Mining Co.,Ltd",,2016-12-16,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-319,
,, 0.08 ,2015-12-17,0292/2014,Gold,"Shwe Left hand Thonenada Mining Co.,Ltd",,2016-12-16,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-320,
,, 0.08 ,2016-01-07,0013/2015,Gold,"Chit Khin Pu Paung Co.,Ltd",,2017-01-06,First-come-first-serve,2016-17,,Sagaing,Wintho,SWTO-85,
,, 0.08 ,2015-12-17,0013/2014,Gold,"Shwe Left hand Thonenada Mining Co.,Ltd",,2016-12-16,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-320,
,, 0.08 ,2015-01-07,0011/2015,Gold,"Tan Chu chin Co.,Ltd",,2016-01-06,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-316,
,, 0.08 ,2015-01-28,0025/2015,Gold,"Shwe Min Thargyi Co.,Ltd",,2016-01-27,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-517,
,, 0.08 ,2015-01-28,0026/2015,Gold,"Shwe Min Thargyi Co.,Ltd",,2016-01-27,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-518,
,, 0.08 ,2015-02-04,0052/2015,Gold,"Shwe Htay Bamar Co.,Ltd",,2016-02-03,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-631,
,, 0.08 ,2016-01-21,0024/2015,Gold,"Mya Thein Gi Co.,Ltd",,2017-01-20,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.08 ,2016-02-04,0046/2015,Gold,"Shwe Taung Gyar Co.,Ltd",,2017-02-03,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2016-02-04,0047/2015,Gold,"Shwe Taung Gyar Co.,Ltd",,2017-02-03,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2016-02-04,0048/2015,Gold,"Shwe Taung Gyar Co.,Ltd",,2017-02-03,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2016-02-04,0049/2015,Gold,"Shwe Taung Gyar Co.,Ltd",,2017-02-03,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2016-02-11,0055/2015,Gold,"Shwe Twin Gyi Co.,Ltd",,2017-02-10,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-339,
,, 0.08 ,2015-01-07,0009/2015,Gold,"Oattara Shwe Sin Co.,Ltd",,2016-08-06,First-come-first-serve,2016-17,,Sagaing,Homalin,gold mine,
,, 0.08 ,2015-01-07,0010/2015,Gold,"Oaktara Shwe Sin Co.,Ltd",,2016-08-06,First-come-first-serve,2016-17,,Sagaing,Homalin,gold mine,
,, 0.08 ,2015-02-11,0054/2015,Gold,"MIG Co.,Ltd",,2016-02-10,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-592,
,, 0.08 ,2015-02-11,0057/2015,Gold,"MIG Co.,Ltd",,2016-02-10,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-592,
,, 0.08 ,2015-03-05,0061/2015,Gold,"Kandaya green Co.,Ltd",,2016-03-04,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,Mawkhwin,
,, 0.08 ,2015-01-21,0019/2015,Gold,"Ngwe Hla win Thar Co.,Ltd",,2016-01-20,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-593,
,, 0.08 ,2015-02-26,0059/2015,Gold,"Oru Thalar Co.,Ltd",,2016-02-25,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-625,
,, 0.08 ,2016-02-26,0060/2015,Gold,"San Pyai Thein Co.,Ltd",,2017-02-25,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-627,
,, 0.08 ,2015-03-12,0066/2015,Gold,"Savvy Co.,Ltd",,2016-03-11,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-634,
,, 0.08 ,2016-03-12,0064/2015,Gold,"Than Shwe Yi Aung Co.,Ltd",,2017-03-11,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-632,
,, 0.08 ,2016-03-12,0068/2015,Gold,"Shwe Hein San Co.,Ltd",,2017-03-11,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-338,
,, 0.08 ,2015-03-18,0078/2015,Gold,"Zaw Hein Thant Co.,Ltd",,2016-03-17,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-635,
,, 0.08 ,2015-03-12,0065/2015,Gold,Nyunt and San,,2016-03-11,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-633,
,, 0.08 ,2015-03-12,0067/2015,Gold,Min Win Soe,,2016-03-11,First-come-first-serve,2016-17,,Sagaing,Banmauk,Maninminkone,
,, 0.08 ,2015-03-12,0069/2015,Gold,Aung Htoo Zaw,,2016-03-11,First-come-first-serve,2016-17,,Sagaing,Pinlebuu,Oomyaykone,
,, 0.08 ,2016-03-18,0077/2015,Gold,"Pan Myat Sakyar Chin co.,Ltd",,2017-03-17,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-624,
,, 0.08 ,2016-03-25,0084/2015,Gold,"727 co.,Ltd",,2017-03-24,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-337,
,, 0.08 ,2016-04-22,0094/2015,Gold,"Shwe Tadar Oo co.,Ltd",,2017-04-21,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-647,
,, 0.08 ,2016-04-08,0092/2015,Gold,"Zalat Pwint phu co.,Ltd",,2017-04-07,First-come-first-serve,2016-17,,Sagaing,Banmauk,SBM-340,
,, 0.08 ,2016-04-29,0099/2015,Gold,"Aung Pyai Pyai Phyo C0.,Ltd",,2017-04-28,First-come-first-serve,2016-17,,Sagaing,Homalin,SHML-646,
,, 0.08 ,2015-04-22,0093/2015,Gold,"Chindwin Star Co.,Ltd",,2016-04-21,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2016-04-22,0095/2015,Gold,"Lwin and Naing Co.,Ltd",,2017-04-21,First-come-first-serve,2016-17,,Sagaing,Indaw,Kyaungkone,
,, 0.08 ,2016-05-13,0107/2015,Gold,"Shwe Pwint Phyu  Aung san Co.,Ltd",,2017-05-12,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.08 ,2015-04-29,0098/2015,Gold,"Yar Pyai Oo Co.,Ltd",,2016-04-28,First-come-first-serve,2016-17,,Sagaing,Homalin,khotaune,
,, 0.08 ,2015-05-13,0105/2015,Gold,"Global Metal Lon Co.,Ltd",,2016-05-12,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.08 ,2016-05-13,0108/2015,Gold,Myanmar Shwe Yazar,,2017-05-12,First-come-first-serve,2016-17,,Sagaing,Homalin,Htamanthi,
,, 0.08 ,2015-06-17,0129/2015,Gold,"Win Thiri Kyaw Co.,Ltd",,2016-06-16,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.08 ,2015-05-27,0115/2015,Gold,Kyi Lin Thant,,2016-05-26,First-come-first-serve,2016-17,,Sagaing,Homalin,Htamanthi,
,, 0.08 ,2015-06-17,130/2015,Gold,Khant Soe Kyaw,,2016-06-16,First-come-first-serve,2016-17,,Sagaing,Homalin,Naungtaw,
,, 0.08 ,2015-07-01,0138/2015,Gold,Htut Khaung Kyaw,,2016-06-30,First-come-first-serve,2016-17,,Sagaing,Homalin,Khotaung,
,, 0.08 ,2015-07-01,0139/2015,Gold,Htut Khaung Kyaw,,2016-06-30,First-come-first-serve,2016-17,,Sagaing,Homalin,Khotaung,
,, 0.08 ,2016-05-27,0116/2015,Gold,Shwe Yazar Min group,,2017-05-26,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2015-07-15,0149/2015,Gold,Shwe Set Paing,,2016-07-14,First-come-first-serve,2016-17,,Sagaing,Homalin,Nant Chaw,
,, 0.08 ,2015-07-01,0140/2015,Gold,"Kyaw Htet Aung co.,Ltd",,2016-06-30,First-come-first-serve,2016-17,,Sagaing,Wintho,Won Gyi,
,, 0.08 ,2015-07-22,0153/2015,Gold,"Ruby Dragon Co.,Ltd",,2016-07-21,First-come-first-serve,2016-17,,Sagaing,Wintho,kyaugphtpazak,
,, 0.08 ,2015-07-22,0154/2015,Gold,"Ruby Dragon Co.,Ltd",,2016-07-21,First-come-first-serve,2016-17,,Sagaing,Wintho,kyaugphtpazak,
,, 0.08 ,2015-07-15,0147/2015,Gold,Shwe Myint Mo Taung,,2016-07-14,First-come-first-serve,2016-17,,Sagaing,Homalin,Kyunkone,
,, 0.08 ,2015-07-22,0150/2015,Gold,"Golden Zaw Mining Co.,Ltd",,2016-07-21,First-come-first-serve,2016-17,,Sagaing,Bamauk,Mainmintone,
,, 0.08 ,2015-07-15,0148/2015,Gold,"Zaw Toe Tat Aung Co.,Ltd",,2016-07-21,First-come-first-serve,2016-17,,Sagaing,Khandee,Kaung Hein,
,, 0.08 ,2015-06-17,0127/2015,Gold,"Shwe Aye Yape Co.,Ltd",,2016-06-16,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2015-06-17,0128/2015,Gold,"Su Se Nyi Nyut Thaw Shwe Nyi Ako Myar Co.,Ltd",,2016-06-16,First-come-first-serve,2016-17,,Sagaing,Homalin,Naung Kham,
,, 0.08 ,2015-06-10,0121/2015,Gold,Asia Shwe Alin Yaung,,2016-06-19,First-come-first-serve,2016-17,,Sagaing,Wintho,Chaung Phyar,
,, 0.08 ,2015-06-10,0122/2015,Gold,Asia Shwe Alin Yaung,,2016-06-19,First-come-first-serve,2016-17,,Sagaing,Wintho,Chaung Phyar,
,, 0.08 ,2015-07-29,0159/2015,Gold,"Hlwan Phne Aung Co.,Ltd",,2016-07-28,First-come-first-serve,2016-17,,Sagaing,Wintho,Htapekone,
,, 0.08 ,2015-07-29,0163/2015,Gold,"Thet Khaing Oo Co.,Ltd",,2016-08-04,First-come-first-serve,2016-17,,Sagaing,Banmauk,Pinpone,
,, 0.08 ,2015-08-05,0164/2015,Gold,"Thet Khaing Oo Co.,Ltd",,2016-08-04,First-come-first-serve,2016-17,,Sagaing,Banmauk,Pinpone,
,, 0.08 ,2015-08-19,0174/2015,Gold,"Aung Pyai Pyai Phyo C0.,Ltd",,2016-08-18,First-come-first-serve,2016-17,,Sagaing,Homalin,Hteinkone,
,, 0.08 ,2015-07-08,0144/2015,Gold,Shwe San Aung,,2016-07-07,First-come-first-serve,2016-17,,Sagaing,Homalin,Tinkyat,
,, 0.08 ,2015-08-12,0170/2015,Gold,Tin Myint Aung,,2016-08-11,First-come-first-serve,2016-17,,Sagaing,Banmauk,Narnant,
,, 0.08 ,2015-08-12,0169/2015,Gold,"Shwe Htay Bamar Co.,Ltd",,2016-08-11,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2015-09-09,0175/2015,Gold,"San shwe Pyai Gold and Mining  Co.,Ltd",,2016-09-08,First-come-first-serve,2016-17,,Sagaing,Shwebo,Makhaught,
,, 0.08 ,2015-09-09,0178/2015,Gold,Shwe Pyai Thar Gold Production and,,2016-09-08,First-come-first-serve,2016-17,,Sagaing,Shwebo,Makhaught,
,, 0.08 ,2015-09-09,0176/2015,Gold,Shwe Thein Than Kabar,,2016-09-08,First-come-first-serve,2016-17,,Sagaing,Shwebo,Makhaught,
,, 0.08 ,2015-09-09,0177/2015,Gold,Shwe Thein Than Kabar,,2016-09-08,First-come-first-serve,2016-17,,Sagaing,Shwebo,Makhaught,
,, 0.08 ,2015-09-09,0179/2015,Gold,Shwe Linn Kyaw,,2016-09-08,First-come-first-serve,2016-17,,Sagaing,Homalin,maikaing kyot pin,
,, 0.08 ,2015-09-23,0188/2015,Gold,"Shwe Hla Yaung Co.,Ltd",,2016-09-22,First-come-first-serve,2016-17,,Sagaing,Homalin,maikaing kyot pin,
,, 0.08 ,2015-09-16,0184/2015,Gold,"Soe Phyo Kyaw Mining Co.,Ltd",,2016-09-15,First-come-first-serve,2016-17,,Sagaing,Homalin,Naung Taw,
,, 0.08 ,2015-10-14,0196/2015, ,Pyai Lin Aung,,2016-10-13,First-come-first-serve,2016-17,,Sagaing,Homalin,Yappha,
,, 0.08 ,2015-09-30,0190/2015,Gold,Shwe Myaing Yadanar,,2016-09-29,First-come-first-serve,2016-17,,Sagaing,Homalin,Sagaing,
,, 0.08 ,2015-10-29,0207/2015,Gold,"Shwe Sin Moe Mtint Co.,Ltd",,2016-10-28,First-come-first-serve,2016-17,,Sagaing,Homalin,Meikhaing,
,, 0.06 ,2015-10-29,0206/2015,Gold,"Mandalar Green Co.,Ltd",,2016-10-28,First-come-first-serve,2016-17,,Sagaing,Homalin,Naung Taw,
,, 0.08 ,2015-10-29,0208/2015,Gold,"Khaing Soe Linn Co.,Ltd",,2016-10-28,First-come-first-serve,2016-17,,Sagaing,Homalin,Kyinkone,
,, 0.08 ,2015-12-30,0051/2015,Gold,Shwe Hla Wine Production ,,2016-12-19,First-come-first-serve,2016-17,,Sagaing,Kawlin,Aing Gyi,
,, 0.08 ,2015-12-02,0224/2015,Gold,"Kyaw Htet Naing Co.,Ltd",,2016-12-01,First-come-first-serve,2016-17,,Sagaing,Homalin,NaungKhan,
,, 0.08 ,2015-12-10,0235/2015,Gold,Shwe Pwint Phu Aung,,2016-12-09,First-come-first-serve,2016-17,,Sagaing,Katha,Inngyi,
,, 0.08 ,2015-12-10,0236/2015,Gold,Kaung Myat Yadanar Linn,,2016-12-09,First-come-first-serve,2016-17,,Sagaing,Katha,Inngyi,
,, 0.08 ,2015-11-11,0214/2015,Gold,Aung Sit Thein Shwe,,2016-11-10,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.06 ,2015-10-29,0209/2015,Gold,"Ngwe Hla win Thar Co.,Ltd",,2016-10-28,First-come-first-serve,2016-17,,Sagaing,Homalin,Haephak,
,, 0.08 ,2015-10-20,0198/2015,Gold,Shwe Sin Thant,,2016-10-19,First-come-first-serve,2016-17,,Sagaing,Homalin,Marlone,
,, 0.08 ,2015-12-02,0225/2015,Gold,"Shwe Htay Bamar Co.,Ltd",,2016-12-01,First-come-first-serve,2016-17,,Sagaing,Homalin,Laungfaung,
,, 0.08 ,2015-11-04,0210/2015,Gold,Aung Chan Pyai(SDW),,2016-11-03,First-come-first-serve,2016-17,,Sagaing,Homalin,Yappha Naung Yin,
,, 0.08 ,2015-11-04,0211/2015,Gold,Aung Chan Pyai(SDW),,2016-11-03,First-come-first-serve,2016-17,,Sagaing,Homalin,Yappha Naung Yin,
,, 0.08 ,2015-12-02,0223/2015,Gold,"Chit Khin Pu Paung Co.,Ltd",,2016-12-01,First-come-first-serve,2016-17,,Sagaing,Wintho,Mawthar,
,, 0.06 ,2015-11-04,0213/2015,Gold,"Man Shwe Thitsar Co.,Ltd",,2016-11-03,First-come-first-serve,2016-17,,Sagaing,Kawlin,Taungkyar,
,, 0.06 ,2015-12-17,0243/2015,Gold,"Shwe Sat Paing Co.,Ltd",,2016-12-16,First-come-first-serve,2016-17,,Sagaing,Homalin,Hteinkone,
,, 0.08 ,2015-12-23,0245/2015,Gold,"Shwe Pyai Kyal Tagon Co.,Ltd",,2016-12-22,First-come-first-serve,2016-17,,Sagaing,Homalin,Bokone,
,, 0.07 ,2015-12-23,0244/2015,Gold,"Zalat Pwint Phu Co.,Ltd",,2016-12-22,First-come-first-serve,2016-17,,Sagaing,Banmaw,Narnanttont,
