Code/Ref,Company_Name_cl,License_type_cl,Commodity_cl,Area_acre_cl,Coordinates of the license area,Award_date,Expiry_date,Award_date_cl,Expiry_date_cl,Location (Region),Location_state_cl,License_location_cl,License_location_code_1_cl
0220/2012,"No(1)Heavy Industry, Ministry of Industry",Small,Quartz,0.7406,93D/5( 880227),12/1/12,30/11/15,2012-01-12,2015-11-30,"Mandalay,Tharsi,PyinNaung",Mandalay,Tharsi,PyinNaung
0097/2013,"Yello Star Mining Co.,Ltd",Small,Lead,0.2003,"93D/6(769060,774060,774055,769055)",6/11/13,6/10/16,2013-11-06,2016-10-06,"Mandalay,Pyawbawe,PhaungTaw",Mandalay,Pyawbawe,PhaungTaw
0020/2013,"SanPya Industries Co.,Ltd",Small,Barite,0.2003,"93C/6(849292,852290,852282,849282)",22/10/13,21/10/16,2013-10-22,2016-10-21,"Mandalay,Kyoukse,PhyoukSitePin",Mandalay,Kyoukse,PhyoukSitePin
0001/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(700960,700965,705965,705960)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0002/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(700965,700970,705970,705965)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0003/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(705970,710970,710965,705965)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0004/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(710970,715970,715965,710965)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0005/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(710975,715975,715970,710970)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0006/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(710980,715980,715975,710975)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0007/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(715975,720975,720970,715970)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0008/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(715980,720980,720975,915975)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0009/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(720980,925980,725975,720975)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0010/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(725980,730980,730975,725975)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0011/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(720970,720975,725975,725970)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0012/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(720965,720970,715970,715965)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0013/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(720960,720965,715965,715960)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0014/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(730975,730970,725970,725972)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0015/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(710960,710965,715965,715960)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0016/2014,"ShwePyi Nagar Co.,Ltd",Small,Quartz,0.2003,"93 D/2(705960,705965,710965,710960)",1/8/14,1/7/17,2014-08-01,2017-07-01,"Mandalay,Yamathin,Pyawbawe",Mandalay,Yamathin,Pyawbawe
0022/2014,"Sein Lin Young Co.,Ltd",Small,Marble,0.0202,93B/3,27/2/14,26/2/17,2014-02-27,2017-02-26,"Mandalay,Mattaya,Sakyin",Mandalay,Mattaya,Sakyin
0018/2014,"Mya Thaya Wone Co.,Ltd",Small,Marble,0.0202,"93B/3(573074,575074,575073,573072,573071,572071)",2/5/14,2/4/17,2014-05-02,2017-04-02,"Mandalay,Mattaya,Sakyin",Mandalay,Mattaya,Sakyin
0019/2014,"Mya Thaya Wone Co.,Ltd",Small,Marble,0.0121,"93B/3(584105,587106,587104,584103)",2/5/14,2/4/17,2014-05-02,2017-04-02,"Mandalay,Mattaya,Sakyin",Mandalay,Mattaya,Sakyin
0023/2014,"WaiYan Lwin Co.,Ltd",Small,Clay,0.0681,"84O/14(330154,331152,332152,332153, 334153,334151, 330151)",19/2/14,18/2/17,2014-02-19,2017-02-18,"Mandalay,TattarOo,Pyawbawe",Mandalay,TattarOo,Pyawbawe
0024/2014,"WaiYan Lwin Co.,Ltd",Small,Clay,0.0681,"84 P/14(366027,367027,367026, 367025, 365025, 365026,366026)",19/2/14,18/2/17,2014-02-19,2017-02-18,"Mandalay,TattarOo,Pyawbawe",Mandalay,TattarOo,Pyawbawe
0025/2014,"WaiYan Lwin Co.,Ltd",Small,Clay,0.0681,"84O/19(072453,073453,072451,071451, 072452)",19/2/14,18/2/17,2014-02-19,2017-02-18,"Mandalay,TattarOo,Pyawbawe",Mandalay,TattarOo,Pyawbawe
0083/2014,"Ngwe Moe Hein Co.,Ltd",Small,Copper,0.2003,"93C/6(833290,833298,836298,836290)",3/12/14,3/11/17,2014-12-03,2017-11-03,"Mandalay,Kyoukse,Baw Taung",Mandalay,Kyoukse,Baw Taung
0084/2014,"Ngwe Moe Hein Co.,Ltd",Small,Copper,0.2003,"93 C/6(815311,815319,818319,818311)",3/12/14,3/11/17,2014-12-03,2017-11-03,"Mandalay,Kyoukse,Baw Taung",Mandalay,Kyoukse,Baw Taung
0276/2014,"Dana AungLanMin Co.,Ltd",Small,TinTungsten,0.2003,93,21/11/14,20/11/17,2014-11-21,2017-11-20,"Mandalay,Pyawbawe,PhaungTaw,ShweNaungFu",Mandalay,Pyawbawe,PhaungTaw
0277/2014,"Dana AungLanMin Co.,Ltd",Small,TinTungsten,0.2003,93,21/11/14,20/11/17,2014-11-21,2017-11-20,"Mandalay,Pyawbawe,PhaungTaw,ShweNaungFu",Mandalay,Pyawbawe,PhaungTaw
0054/2014,Myanma Economic Holding Corporation,Small,Bauxite,0.7285,"93 C/9+B/12(083669,086669,088661, 078652,076656)",12/3/14,12/2/19,2014-03-12,2019-02-12,"Mandalay,Pyin Oo Lwin ,Inn yar",Mandalay,Pyin Oo Lwin ,Inn yar
0302/2014,"January KoKo Co.,Ltd",Small,Copper,0.2007,"93C/6(819309,824309,820304,816303)",24/12/14,23/12/19,2014-12-24,2019-12-23,"Mandalay,Kyoukse,MayeNiKyin",Mandalay,Kyoukse,MayeNiKyin
0303/2014,"January KoKo Co.,Ltd",Small,Copper,0.2007,"93C/6(818302,824302,824298,818298)",24/12/14,23/12/19,2014-12-24,2019-12-23,"Mandalay,Kyoukse,NgueTwin",Mandalay,Kyoukse,NgueTwin
0304/2014,"January KoKo Co.,Ltd",Small,Copper,0.2007,"93C/6(815297,823297,822294,818294)",24/12/14,23/12/19,2014-12-24,2019-12-23,"Mandalay,Kyoukse,KyoukTittar",Mandalay,Kyoukse,KyoukTittar
0305/2014,"January KoKo Co.,Ltd",Small,Copper,0.2007,"93C/6(812293,820293,811290,819290)",24/12/14,23/12/19,2014-12-24,2019-12-23,"Mandalay,Kyoukse,KyoukTittar",Mandalay,Kyoukse,KyoukTittar
0001/2015,"Zabutalu Co.,Ltd",Small,Copper,0.2007,"93B/4B/8F(762781,765781,765776,762773)",1/7/15,1/6/20,2015-07-01,2020-06-01,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun
0002/2015,"Zabutalu Co.,Ltd",Small,Copper,0.2007,"93B/4B/8F(780809,785809,785805,780805)",1/7/15,1/6/20,2015-07-01,2020-06-01,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun
0003/2015,"Zabutalu Co.,Ltd",Small,Copper,0.2007,"93B/4B/4F(785809,791809,791805,785805)",1/7/15,1/6/20,2015-07-01,2020-06-01,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun
0004/2015,"Zabutalu Co.,Ltd",Small,Copper,0.2007,"93B/4B/4F(785805,791805,791800,785800)",1/7/15,1/6/20,2015-07-01,2020-06-01,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun
0005/2015,"Zabutalu Co.,Ltd",Small,Copper,0.2007,"93B/4B/4F(780805,785805,785800,780800)",1/7/15,1/6/20,2015-07-01,2020-06-01,"Mandalay,Patheingyi,MinGun",Mandalay,Patheingyi,MinGun
0008/2015,Yarzar MinMin,Small,Marble,0.0673,"93B/3LA(579155,581153,581150,579150)",2/4/15,2/3/20,2015-04-02,2020-03-02,"Mandalay,Mattaya,YatKanSin Taung",Mandalay,Mattaya,YatKanSin Taung
0009/2015,New Era Gold,Small,Marble,0.0673,"93B/3(580120,583124,585117,590118,590114,585112)",2/4/15,2/3/20,2015-04-02,2020-03-02,"Mandalay,Mattaya,YatKanSin Taung",Mandalay,Mattaya,YatKanSin Taung
0013/2015,"Shwe A Lin Kar Co.,Ltd",Small,Coal,0.1881,"93D/9(041330,045335,047330,04325)",19/2/15,18/2/20,2015-02-19,2020-02-18,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan
0014/2015,"Shwe A Lin Kar Co.,Ltd",Small,Coal,0.2006,"93D/9(040320,043322,047314,044312)",19/2/15,18/2/20,2015-02-19,2020-02-18,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan
0063/2014,"Moe Myint TaKhun Co.,Ltd",Small,Coal,0.2006,"93C/6(817180,821180,822174,818174)",19/2/15,18/2/20,2015-02-19,2020-02-18,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan
0015/2015,"Shwe A Lin Kar Co.,Ltd",Small,Coal,0.2006,"93D/9(044323,047325,051317,048315)",19/2/15,18/2/20,2015-02-19,2020-02-18,"Mandalay,TharZi,KyatSakhan",Mandalay,TharZi,KyatSakhan
0072/2002,Future Engineeing,Small,Gold,0.1619,93B/1,9/1/12,31/8/13,2012-01-09,2013-08-31,"Mandalay,Thabeakkyin,OhhZone",Mandalay,Thabeakkyin,OhhZone
0031/2014,"YandarShweYeWin Co.,Ltd",Small,Gold,0.0809,93B/2( 787176),23/8/12,22/8/13,2012-08-23,2013-08-22,"Mandalay,Singu,ZikeChaung",Mandalay,Singu,ZikeChaung
0032/2014,"YandarShweYeWin Co.,Ltd",Small,Gold,0.0809,93B/2(790170),23/8/12,22/8/13,2012-08-23,2013-08-22,"Mandalay,Singu,ZikeChaung",Mandalay,Singu,ZikeChaung
0033/2014,"YandarShweYeWin Co.,Ltd",Small,Gold,0.0809,93B/2(786163),23/8/12,22/8/13,2012-08-23,2013-08-22,"Mandalay,Singu ,Nat Taung",Mandalay,Singu ,Nat Taung
0094/2006,"Myanmar Golden Point Family Co.,Ltd",Small,Gold,0.0809,93B/1,8/1/12,31/7/13,2012-01-08,2013-07-31,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay
0094/2007,"Myanmar Golden Point Family Co.,Ltd",Small,Gold,0.081,93B/1,8/1/13,31/7/14,2013-01-08,2014-07-31,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay
0096/2006,"Myanmar Golden Point Family Co.,Ltd",Small,Gold,0.0809,93B/1,8/1/12,31/7/13,2012-01-08,2013-07-31,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay
0097/2006,"Myanmar Golden Point Family Co.,Ltd",Small,Gold,0.0809,93B/1,8/1/12,31/7/13,2012-01-08,2013-07-31,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay
0098/2006,"Myanmar Golden Point Family Co.,Ltd",Small,Gold,0.0809,93B/1+2,8/1/12,31/7/13,2012-01-08,2013-07-31,"Mandalay,Thabeakkyin,Watthay",Mandalay,Thabeakkyin,Watthay
0150/2007,YadarMoeMyay Co Ltd,Small,Gold,0.0809,93B/2(795160),12/2/13,12/1/14,2013-02-12,2014-01-12,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe
0151/2007,YadarMoeMyay Co Ltd,Small,Gold,0.0809,93B/2( 795163),12/2/13,12/1/14,2013-02-12,2014-01-12,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe
0152/2007,YadarMoeMyay Co Ltd,Small,Gold,0.0809,93B/2( 796148),12/2/13,12/1/14,2013-02-12,2014-01-12,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe
0153/2007,YadarMoeMyay Co Ltd,Small,Gold,0.0809,93B/2( 796145),12/2/13,12/1/14,2013-02-12,2014-01-12,"Mandalay,Thabeakkyin, ShoukPinYoe",Mandalay,Thabeakkyin, ShoukPinYoe
0029/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0030/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0031/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0032/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0033/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0034/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0035/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin, KanTaung",Mandalay,Thabeakkyin, KanTaung
0036/2008,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/2,24/1/13,23/1/14,2013-01-24,2014-01-23,"Mandalay,Thabeakkyin,Nat Taung",Mandalay,Thabeakkyin,Nat Taung
0059/2008,"Tun Shwe Sin Co.,Ltd",Small,Gold,0.0809,92B/2(792165),2/11/14,2/10/15,2014-11-02,2015-10-02,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
0060/2008,"Tun Shwe Sin Co.,Ltd",Small,Gold,0.0809,93B/2(792165),2/11/14,2/10/15,2014-11-02,2015-10-02,"Mandalay,Thabeakkyin,ZikeChaung",Mandalay,Thabeakkyin,ZikeChaung
0084/2008,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,92B/2,21/2/14,20/2/15,2014-02-21,2015-02-20,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
0086/2008,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,92B/2,21/2/14,20/2/15,2014-02-21,2015-02-20,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
0087/2008,"Aung Htun Lin Shein Win Co.,Ltd",Small,Gold,0.0809,92B/2,21/2/13,20/2/14,2013-02-21,2014-02-20,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
0088/2008,"Aung Htun Lin Shein Win Co.,Ltd",Small,Gold,0.0809,93B/2( 778151),21/2/13,20/2/14,2013-02-21,2014-02-20,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
0089/2008,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2( 773150),21/2/14,20/2/15,2014-02-21,2015-02-20,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
0090/2008,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2( 7717150),21/2/14,20/2/15,2014-02-21,2015-02-20,"Mandalay,Thabeakkyin,KanTaung",Mandalay,Thabeakkyin,KanTaung
048/2009,"Pyae Son Aung Co.,Ltd",Small,Gold,0.0809,93B/2( 941058),13/3/15,3/12/16,2015-03-13,2016-12-03,"Mandalay,Singu,Nat Taung",Mandalay,Singu,Nat Taung
0073/2009,"San Shwe Pyi Co.,Ltd",Small,Gold,0.0809,93D/7( 858831),27/5/14,26/5/15,2014-05-27,2015-05-26,"Mandalay,Thabeakkyin,SinTwin",Mandalay,Thabeakkyin,SinTwin
0074/2009,"San Shwe Pyi Co.,Ltd",Small,Gold,0.0809,93D/7( 855830),27/5/14,26/5/15,2014-05-27,2015-05-26,"Mandalay,Thabeakkyin,SinTwin",Mandalay,Thabeakkyin,SinTwin
007/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,92B/2,18/1/15,17/1/16,2015-01-18,2016-01-17,"Mandalay,Thabeakkyin,ShoukPinYoe",Mandalay,Thabeakkyin,ShoukPinYoe
0087/2009,"San Shwe Pyi Co.,Ltd",Small,Gold,0.0809,93D/7( 816791),15/6/14,14/6/15,2014-06-15,2015-06-14,"Mandalay,Thabeakkyin,WarPhyuTaung",Mandalay,Thabeakkyin,WarPhyuTaung
0097/2009,"Good Luck International Co.,Ltd",Small,Gold,0.0809,93B/2(766174),14/7/14,13/7/15,2014-07-14,2015-07-13,"Mandalay,Thabeakkyin,ShoukPinYoe",Mandalay,Thabeakkyin,ShoukPinYoe
0098/2009,"YandarnarShweYeWin Co.,Ltd",Small,Gold,0.0809,93B/2( 780166),14/7/14,13/7/15,2014-07-14,2015-07-13,"Mandalay,Thabeakkyin,ShoukPinYoe",Mandalay,Thabeakkyin,ShoukPinYoe
0099/2009,"YandarnarShweYeWin Co.,Ltd",Small,Gold,0.0809,93B/2(786166),14/7/14,13/7/15,2014-07-14,2015-07-13,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe
0156/2009,"Shwe Nan Soe Co.,Ltd",Small,Gold,0.0809,93B/2( 955062),9/4/14,9/3/15,2014-04-09,2015-03-09,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe
0295/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2 SR( 771162),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0296/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2( 776162),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0297/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2( 775158),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0298/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93 B/2( 769152),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0299/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2( 903170),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,Nat Taung",Mandalay,Singu,Nat Taung
0300/2009,"Htet Yee Lin Co.,Ltd",Small,Gold,0.0809,93B/2( 903070),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,Nat Taung",Mandalay,Singu,Nat Taung
0301/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,92B/8(794165),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KanTaung",Mandalay,Singu,KanTaung
0302/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,93B/2( 794195),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0303/2009,"Aung Htun Lin Shein Win Co.,Ltd",Small,Gold,0.0809,93B/2( 786134),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KanTaung",Mandalay,Singu,KanTaung
0304/2009,"Aung Htun Lin Shein Win Co.,Ltd",Small,Gold,0.0809,93 B/2( 792135),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KanTaung",Mandalay,Singu,KanTaung
0305/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,93B/2( 770148),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0306/2009,"Myouk Kyun Thu MaMa Co.,Ltd",Small,Gold,0.0809,93B/2 (775154),12/1/14,30/11/15,2014-01-12,2015-11-30,"Mandalay,Singu,KyeTaukPouk",Mandalay,Singu,KyeTaukPouk
0196/2010,"Pyi Thar Naing Co.,Ltd",Small,Gold,0.0809,"92B/2(772159,884158,884158,771152,772151, 771151)",25/2/11,24/2/14,2011-02-25,2014-02-24,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe
0197/2010,"Pyi Thar Naing Co.,Ltd",Small,Gold,0.0809,"92B/2(769160,771160,772159,772157,568156)",25/2/11,24/2/14,2011-02-25,2014-02-24,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe
0198/2010,"ThakedeeAung Shwe Moe Co.,Ltd",Small,Gold,0.0809,"93B/2( 791134,791125,788131,788134)",3/12/10,3/11/13,2010-12-03,2013-11-03,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe
0503/2010,"Future Engineeing Co.,Ltd",Small,Gold,0.0809,93B/2,8/10/13,8/9/14,2013-10-08,2014-09-08,"Mandalay,Singu,ShoukPinYoe",Mandalay,Singu,ShoukPinYoe
0504/2010,"A Tu La Co.,Ltd",Small,Gold,0.0809,93B/3,8/10/10,8/9/13,2010-10-08,2013-09-08,"Mandalay,TharZi,PyinNaung",Mandalay,TharZi,PyinNaung
0571/2010,"Shwe Mahar Mining Co.,Ltd",Small,Gold,0.0809,93B/4,7/6/10,7/5/13,2010-06-07,2013-05-07,"Mandalay,Tharzi,Inntime",Mandalay,Tharzi,Inntime
0603/2010,"Linn Thant Co.,Ltd",Small,Gold,0.0809,"84N/14( 675195,675194,668190,667191)",27/8/10,26/8/13,2010-08-27,2013-08-26,"Mandalay,Tharzi,Shwekyin",Mandalay,Tharzi,Shwekyin
0616/2010,"Shwe Taung Nyunt Co.,Ltd",Small,Gold,0.0809,"92B/2( 941058,943057,940053,938054)",29/9/13,28/9/14,2013-09-29,2014-09-28,"Mandalay,TharZi,Nat Taung",Mandalay,TharZi,Nat Taung
0617/2010,"Shwe Nan Soe Co.,Ltd",Small,Gold,0.0809,"93B/2(961055,958051,955049,957053)",29/9/14,28/9/15,2014-09-29,2015-09-28,"Mandalay,TharZi,Nat Taung",Mandalay,TharZi,Nat Taung
0618/2010,"Shwe Nan Soe Co.,Ltd",Small,Gold,0.0809,"93B/3( 961064,964064,963060,962060)",29/9/14,28/9/15,2014-09-29,2015-09-28,"Mandalay,TharZi,Nat Taung",Mandalay,TharZi,Nat Taung
0619/2010,"Aung La Pyae Co.,Ltd",Small,Gold,0.0809,"93B/2(961064,964064,963060,962060)",29/9/14,28/9/15,2014-09-29,2015-09-28,"Mandalay,Tharzi,WarPoeChat",Mandalay,Tharzi,WarPoeChat
0621/2010,"Aung La Pyae Co.,Ltd",Small,Gold,0.0809,"93B/2(962060,965060,966057,963057)",29/9/14,28/9/15,2014-09-29,2015-09-28,"Mandalay,Tharzi,WarPoeChat",Mandalay,Tharzi,WarPoeChat
0634/2010,"Aung Ko Thu Co.,Ltd",Small,Gold,0.0809,"92B/2(765165,768165,768162,765162)",29/9/14,28/9/15,2014-09-29,2015-09-28,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0635/2010,"Shwe Pouk Pouk Co.,Ltd",Small,,0.0546,93B/4,29/9/14,28/9/15,2014-09-29,2015-09-28,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0840/2010,"Htun Thiri Yadanar Co.,Ltd",Small,Gold,0.0809,"93B/2(791170,792164,790162,789168)",24/12/14,23/12/15,2014-12-24,2015-12-23,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0841/2010,"Htun Thiri Yadanar Co.,Ltd",Small,Gold,0.0809,"93B/2(792177,792176,791170,790169,790176)",24/12/14,23/12/15,2014-12-24,2015-12-23,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0842/2010,"Yadarnar PyaePhyoAung Co.,Ltd",Small,Gold,0.0809,"93B/2(796166,798168,799168,798163,797162)",24/12/14,23/12/15,2014-12-24,2015-12-23,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0845/2010,"Yae Taw Thar Co.,Ltd",Small,Gold,0.0809,93B/4,24/12/10,23/12/13,2010-12-24,2013-12-23,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0846/2010,"Shwe Win Naing Co.,Ltd",Small,,0.0809,93B/4,24/12/13,23/12/14,2013-12-24,2014-12-23,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0879/2010,"Yadanar Zayar Co.,Ltd",Small,Gold,0.0809,"93B/2(791140,791138,789138,789140)",24/12/14,23/12/15,2014-12-24,2015-12-23,"Mandalay,Tharzi,ShoukPinYoe",Mandalay,Tharzi,ShoukPinYoe
0035/2011,"Shwe Pyi Thar Co.,Ltd",Small,Gold,0.0809,"93B/1(855226,856226,856222,851222)",18/1/15,17/1/16,2015-01-18,2016-01-17,"Mandalay,Singu,WarPhyuTaung",Mandalay,Singu,WarPhyuTaung
