,company_name,name_of_revenue_stream,paid_to,payment_category,units,per_company_original,per_company_adjust,per_company_final,per_government_original,per_government_adjust,per_government_final,final_difference,comment
21,Sein Lom Taung Tan Gems Ltd. (*),Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,Sein Lom Taung Tan Gems Ltd. (*),Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,351881160.0,82381950.0,434263110.0,0.0,434263110.0,434263110.0,0.0,
23,Sein Lom Taung Tan Gems Ltd. (*),Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,434263110.0,-434263110.0,0.0,0.0,
24,Sein Lom Taung Tan Gems Ltd. (*),Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,5873442387.440001,45652425.0,5919094812.440001,5919094812.440001,0.0,5919094812.440001,0.0,
25,Sein Lom Taung Tan Gems Ltd. (*),Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,1771354936.7700002,0.0,1771354936.7700002,1771354936.7700002,0.0,1771354936.7700002,0.0,
26,Sein Lom Taung Tan Gems Ltd. (*),"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,765260726.1400001,-6108707.0,759152019.1400001,759152019.1400001,0.0,759152019.1400001,0.0,
27,Sein Lom Taung Tan Gems Ltd. (*),Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,876060000.0,876060000.0,876060000.0,0.0,876060000.0,0.0,
28,Sein Lom Taung Tan Gems Ltd. (*),"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,227746011.54000002,0.0,227746011.54000002,227746011.54000002,0.0,227746011.54000002,0.0,
29,Sein Lom Taung Tan Gems Ltd. (*),"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,3934677093.5600004,27390300.0,3962067393.5600004,3962067393.5600004,0.0,3962067393.5600004,0.0,
30,Sein Lom Taung Tan Gems Ltd. (*),Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
31,Sein Lom Taung Tan Gems Ltd. (*),Environmental / Plantation fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,Sein Lom Taung Tan Gems Ltd. (*),"Other significant payments (> 50,000 USD)","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,MMK,0.0,181687207.12,181687207.12,181687207.12,0.0,181687207.12,0.0,
33,Sein Lom Taung Tan Gems Ltd. (*),Corporate Income Tax (CIT),"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,6329607.0,6329607.0,6329607.0,0.0,6329607.0,0.0,
34,Sein Lom Taung Tan Gems Ltd. (*),Commercial Tax,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,5947344826.0,-5947344826.0,0.0,0.0,
35,Sein Lom Taung Tan Gems Ltd. (*),Custom Duties,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
36,Sein Lom Taung Tan Gems Ltd. (*),Royalties on Sales,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
37,Sein Lom Taung Tan Gems Ltd. (*),"Other significant payments (> 50,000 USD) IRD","Ministry of Planing and Finance
IRD
Customs department",payments in cash,MMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
38,Sein Lom Taung Tan Gems Ltd. (*),Emporium Fees / Sale Fees,Central Committee (MONREC),payments in cash,MMK,237017340.26000002,6108707.0,243126047.26000002,248169097.10000002,0.0,248169097.10000002,-5043049.840000004,Tax not reported by the extractive company
