,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
2961,,Moattama Gas Transportation Company (MGTC),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
2962,,Moattama Gas Transportation Company (MGTC),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
2963,,Moattama Gas Transportation Company (MGTC),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
2964,,Moattama Gas Transportation Company (MGTC),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
2965,Tax not reported by the extractive company,Moattama Gas Transportation Company (MGTC),-4487675805,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,1.70E+11,1.70E+11,0,1.74E+11,1.74E+11,MMK
2966,,Moattama Gas Transportation Company (MGTC),0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2967,,Moattama Gas Transportation Company (MGTC),0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2968,,Moattama Gas Transportation Company (MGTC),0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2969,Tax not reported by the Govt Body,Moattama Gas Transportation Company (MGTC),96131247.72,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,96131247.72,96131247.72,0,0,0,MMK
2970,,Moattama Gas Transportation Company (MGTC),0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2971,,Moattama Gas Transportation Company (MGTC),0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2972,,Moattama Gas Transportation Company (MGTC),0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
2973,,Moattama Gas Transportation Company (MGTC),0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
2974,,Moattama Gas Transportation Company (MGTC),0,Royalties,MOGE,payments in cash,0,0,0,0,0,0,MMK
2975,,Moattama Gas Transportation Company (MGTC),0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
2976,,Moattama Gas Transportation Company (MGTC),0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
2977,,Moattama Gas Transportation Company (MGTC),0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
2978,,Moattama Gas Transportation Company (MGTC),0,Dividend,MOGE,payments in cash,0,0,0,-79750196829,0,79750196829,MMK
2979,,Moattama Gas Transportation Company (MGTC),0,Training Fund,MOGE,payments in cash,-99526016.26,0,99526016.26,0,0,0,MMK
2980,,Moattama Gas Transportation Company (MGTC),0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
2981,,Moattama Gas Transportation Company (MGTC),0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
2982,,Moattama Gas Transportation Company (MGTC),0,Data fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
2983,,Moattama Gas Transportation Company (MGTC),0,Land fees/Dead rent fee,MOGE,payments in cash,995260162.6,995260162.6,0,0,995260162.6,995260162.6,MMK
2984,,Moattama Gas Transportation Company (MGTC),0,Dividend/Profit Sharing  on Oil & Gas transportation,MOGE,payments in cash,0,79750196829,79750196829,79750196829,79750196829,0,MMK
2985,,Moattama Gas Transportation Company (MGTC),0,Transit fees on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
2986,,Moattama Gas Transportation Company (MGTC),0,Road right fee Oil & Gas transportation (Right of way),MOGE,payments in cash,0,0,0,0,0,0,MMK
2987,,Moattama Gas Transportation Company (MGTC),0,"Other material payments (> 50,000 USD)",MOGE,payments in cash,-995260162.6,0,995260162.6,0,0,0,MMK
2988,,Moattama Gas Transportation Company (MGTC),0,Contribution to the State/region social development fund,States/regions,payments in cash,0,0,0,0,0,0,MMK
2989,,Moattama Gas Transportation Company (MGTC),0,Mandatory Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
2990,,Moattama Gas Transportation Company (MGTC),0,Voluntary Corporate Social Responsibility,Social payments,payments in cash,0,3897313991,3897313991,0,0,0,MMK
2991,,Taninthayi Pipeline Company (TPC),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
2992,,Taninthayi Pipeline Company (TPC),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
2993,,Taninthayi Pipeline Company (TPC),0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
2994,,Taninthayi Pipeline Company (TPC),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
2995,,Taninthayi Pipeline Company (TPC),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
2996,,Taninthayi Pipeline Company (TPC),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
2997,,Taninthayi Pipeline Company (TPC),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
2998,,Taninthayi Pipeline Company (TPC),0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
2999,,Taninthayi Pipeline Company (TPC),0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
3000,,Taninthayi Pipeline Company (TPC),0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
3001,,Taninthayi Pipeline Company (TPC),0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
3002,,Taninthayi Pipeline Company (TPC),0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
3003,,Taninthayi Pipeline Company (TPC),0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
3004,,Taninthayi Pipeline Company (TPC),0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
3005,Tax not reported by the extractive company,Taninthayi Pipeline Company (TPC),-188319422.7,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,1.21E+11,1.21E+11,0,1.21E+11,1.21E+11,MMK
3006,,Taninthayi Pipeline Company (TPC),0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3007,,Taninthayi Pipeline Company (TPC),0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3008,,Taninthayi Pipeline Company (TPC),0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3009,,Taninthayi Pipeline Company (TPC),0,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3010,,Taninthayi Pipeline Company (TPC),0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3011,,Taninthayi Pipeline Company (TPC),0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3012,,Taninthayi Pipeline Company (TPC),0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
3013,,Taninthayi Pipeline Company (TPC),0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
3014,,Taninthayi Pipeline Company (TPC),0,Royalties,MOGE,payments in cash,0,0,0,0,0,0,MMK
3015,,Taninthayi Pipeline Company (TPC),0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
3016,,Taninthayi Pipeline Company (TPC),0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
3017,,Taninthayi Pipeline Company (TPC),0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
3018,,Taninthayi Pipeline Company (TPC),0,Dividend,MOGE,payments in cash,0,0,0,-1.07E+11,0,1.07E+11,MMK
