,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
21,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,0.0,0.0,0.0,0.0,0.0,0.0,MMK
22,Tax not reported by the extractive company,Sein Lom Taung Tan Gems Ltd. (*),-12491400.0,Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,98564770.0,98564770.0,0.0,111056170.0,111056170.0,MMK
23,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Royalties on production- 20% collected by/paid to  DOM,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
24,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Sale Split - 40%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,11730129994.9,11730129994.9,0.0,11730129994.9,11730129994.9,MMK
25,Tax not reported by the extractive company,Sein Lom Taung Tan Gems Ltd. (*),-17684233.71,Royalties on Sales- 7%,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,2050970484.42,2050970484.42,0.0,2068654718.13,2068654718.13,MMK
26,Tax not reported by the extractive company,Sein Lom Taung Tan Gems Ltd. (*),-7579137.28,"Service  Fees - 3%, 1%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,-107724642.0,878987170.49,986711812.49,0.0,886566307.77,886566307.77,MMK
27,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Permit fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
28,,Sein Lom Taung Tan Gems Ltd. (*),0.0,"Incentive fees 1%, 2%","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,263696277.13,263696277.13,0.0,263696277.13,263696277.13,MMK
29,,Sein Lom Taung Tan Gems Ltd. (*),0.0,"Commercial Tax - 15%, 5% collected by (paid to) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
30,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Land rental fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
31,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Environmental / Plantation fees,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
32,,Sein Lom Taung Tan Gems Ltd. (*),0.0,"Other significant payments (> 50,000 USD) MGE","Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
33,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Corporate Income Tax (CIT),"Ministry of Planing and Finance
IRD
Customs department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
34,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Commercial Tax,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,0.0,0.0,0.0,-2141419769.0,0.0,2141419769.0,MMK
35,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Custom Duties,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
36,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Royalties on Sales,"Ministry of Planing and Finance
IRD
Customs department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
37,,Sein Lom Taung Tan Gems Ltd. (*),0.0,"Other significant payments (> 50,000 USD) IRD","Ministry of Planing and Finance
IRD
Customs department",payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
38,Not material difference < 5 Million Kyats,Sein Lom Taung Tan Gems Ltd. (*),-2273993.15,Emporium Fees / Sale Fees,Central Committee (MONREC),payments in cash,107724642.0,371420919.13,263696277.13,0.0,373694912.28,373694912.28,MMK
39,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Contribution to the State/region social development fund,States/Regions,payments in cash,0.0,0.0,0.0,0.0,0.0,0.0,MMK
40,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Mandatory Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,0.0,0.0,0.0,0.0,0.0,0.0,MMK
41,,Sein Lom Taung Tan Gems Ltd. (*),0.0,Voluntary Corporate Social Responsibility,Social  Payments ,b- unilateral company disclosures,0.0,0.0,0.0,0.0,0.0,0.0,MMK
42,,Yar Za Htar Ne Gems Co;Ltd. (*),0.0,Production Split (Government and SOEs share),"Ministry of Natural Resources and Environmental Conservation (MONREC)
Department of Mines
MGE",payments in kind,0.0,0.0,0.0,0.0,0.0,0.0,MMK
43,,Yar Za Htar Ne Gems Co;Ltd. (*),0.0,Royalties on production - 20% collected by/paid to  MGE,"Ministry of Natural Resources and Environmental Conservation (MONREC)
Myanmar Gems Enterprise (MGE)
Dept of Mines (DOM)
Forest Department",payments in cash,0.0,133278840.0,133278840.0,0.0,133278840.0,133278840.0,MMK
