,comment,company_name,final_difference,name_of_revenue_stream,paid_to,payment_category,per_company_adjust,per_company_final,per_company_original,per_government_adjust,per_government_final,per_government_original,units
1555,,TOTAL,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1556,,TOTAL,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
1557,,TOTAL,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
1558,Tax not reported by the Govt Body,TOTAL,119377.6626,State production entitelment,,payments in kind,0,119377.6626,119377.6626,0,0,0,in mscf
1559,Tax not reported by the Govt Body,TOTAL,20256.85802,MOGE production entitelment,,payments in kind,0,20256.85802,20256.85802,0,0,0,in mscf
1560,Tax not reported by the Govt Body,TOTAL,28269.26474,Royalties,,payments in kind,0,28269.26474,28269.26474,0,0,0,in mscf
1561,,TOTAL,0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1562,,TOTAL,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1563,,TOTAL,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
1564,Tax not reported by the Govt Body,TOTAL,-65813.93813,Domestic Market Obligation (DMO) (-),,payments in kind,0,-65813.93813,-65813.93813,0,0,0,in mscf
1565,Tax not reported by the extractive company,TOTAL,0,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,24098942753,24098942753,-848095922,24098942753,24947038675,MMK
1566,,TOTAL,0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1567,,TOTAL,0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1568,,TOTAL,0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1569,Tax not reported by the Govt Body,TOTAL,4546021485,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,4546021485,4546021485,0,0,0,MMK
1570,Tax not reported by the Govt Body,TOTAL,68955175.52,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,124227170.2,124227170.2,55271994.66,55271994.66,0,MMK
1571,Tax not reported by the Govt Body,TOTAL,13640777.32,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,15563089,15563089,1922311.68,1922311.68,0,MMK
1572,,TOTAL,0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1573,,TOTAL,0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1574,Cut-off error,TOTAL,-7711818535,Royalties,MOGE,payments in cash,0,1.44E+11,1.44E+11,0,1.52E+11,1.52E+11,MMK
1575,Cut-off error,TOTAL,-47944454280,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,6.11E+11,6.11E+11,3.97E+11,6.59E+11,2.62E+11,MMK
1576,,TOTAL,0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1577,Cut-off error,TOTAL,-3219286894,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,1.03E+11,1.03E+11,0,1.06E+11,1.06E+11,MMK
1578,,TOTAL,0,Dividend,MOGE,payments in cash,0,0,0,0,0,0,MMK
1579,,TOTAL,0,Training Fund,MOGE,payments in cash,-99526016.26,0,99526016.26,0,0,0,MMK
1580,,TOTAL,0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
1581,,TOTAL,0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
1582,,TOTAL,0,Data fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1583,,TOTAL,0,Land fees/Dead rent fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1584,,TOTAL,0,Dividend/Profit Sharing  on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1585,,TOTAL,0,Transit fees on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1586,,TOTAL,0,Road right fee Oil & Gas transportation (Right of way),MOGE,payments in cash,0,0,0,0,0,0,MMK
1587,,TOTAL,0,"Other material payments (> 50,000 USD)",MOGE,payments in cash,-919730871.1,0,919730871.1,0,0,0,MMK
1588,,TOTAL,0,Contribution to the State/region social development fund,States/regions,payments in cash,0,0,0,0,0,0,MMK
1589,,TOTAL,0,Mandatory Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
1590,,TOTAL,0,Voluntary Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
1591,,Daewoo International Corporation,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1592,,Daewoo International Corporation,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1593,,Daewoo International Corporation,0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
1594,,Daewoo International Corporation,0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1595,,Daewoo International Corporation,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1596,,Daewoo International Corporation,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
1597,,Daewoo International Corporation,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
1598,,Daewoo International Corporation,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1599,,Daewoo International Corporation,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1600,,Daewoo International Corporation,0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
1601,,Daewoo International Corporation,0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1602,,Daewoo International Corporation,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1603,,Daewoo International Corporation,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
1604,,Daewoo International Corporation,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
1605,,Daewoo International Corporation,0,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1606,,Daewoo International Corporation,0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1607,,Daewoo International Corporation,0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1608,,Daewoo International Corporation,0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1609,,Daewoo International Corporation,0,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,7584994186,7584994186,0,7584994186,7584994186,MMK
1610,,Daewoo International Corporation,0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1611,,Daewoo International Corporation,0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1612,,Daewoo International Corporation,0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1613,,Daewoo International Corporation,0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1614,,Daewoo International Corporation,0,Royalties,MOGE,payments in cash,14549129991,88951248883,74402118892,14470598112,88951248883,74480650771,MMK
1615,,Daewoo International Corporation,0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,-92551488245,1.71E+11,2.63E+11,58779636256,1.71E+11,1.12E+11,MMK
1616,,Daewoo International Corporation,0,Production Bonus,MOGE,payments in cash,0,3483410569,3483410569,0,3483410569,3483410569,MMK
1617,,Daewoo International Corporation,0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,1.27E+11,1.27E+11,0,7715543356,1.27E+11,1.20E+11,MMK
1618,,Daewoo International Corporation,0,Dividend,MOGE,payments in cash,0,0,0,0,0,0,MMK
1619,,Daewoo International Corporation,0,Training Fund,MOGE,payments in cash,-149289024.4,0,149289024.4,0,0,0,MMK
1620,,Daewoo International Corporation,0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
1621,,Daewoo International Corporation,0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
1622,,Daewoo International Corporation,0,Data fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1623,,Daewoo International Corporation,0,Land fees/Dead rent fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1624,,Daewoo International Corporation,0,Dividend/Profit Sharing  on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1625,,Daewoo International Corporation,0,Transit fees on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1626,,Daewoo International Corporation,0,Road right fee Oil & Gas transportation (Right of way),MOGE,payments in cash,0,0,0,0,0,0,MMK
1627,,Daewoo International Corporation,0,"Other material payments (> 50,000 USD)",MOGE,payments in cash,0,0,0,0,0,0,MMK
1628,,Daewoo International Corporation,0,Contribution to the State/region social development fund,States/regions,payments in cash,0,0,0,0,0,0,MMK
1629,,Daewoo International Corporation,0,Mandatory Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
1630,,Daewoo International Corporation,0,Voluntary Corporate Social Responsibility,Social payments,payments in cash,0,1171259302,1171259302,0,0,0,MMK
1631,,Goldpetrol Co Ltd,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1632,,Goldpetrol Co Ltd,0,MOGE production entitelment,,payments in kind,0,215255.9148,215255.9148,0,215255.9148,215255.9148,in barils
1633,,Goldpetrol Co Ltd,0,Royalties,,payments in kind,0,78274.8781,78274.8781,0,78274.8781,78274.8781,in barils
1634,,Goldpetrol Co Ltd,0,Baseline payment (IPR/PCC),,payments in kind,0,417691,417691,0,417691,417691,in barils
1635,,Goldpetrol Co Ltd,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1636,,Goldpetrol Co Ltd,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
1637,,Goldpetrol Co Ltd,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,4403,4403,0,4403,4403,in barils
1638,,Goldpetrol Co Ltd,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1639,,Goldpetrol Co Ltd,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1640,,Goldpetrol Co Ltd,0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
1641,,Goldpetrol Co Ltd,0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1642,,Goldpetrol Co Ltd,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1643,,Goldpetrol Co Ltd,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
1644,,Goldpetrol Co Ltd,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
1645,,Goldpetrol Co Ltd,0,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,6495471170,6495471170,0,6495471170,6495471170,MMK
1646,,Goldpetrol Co Ltd,0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1647,,Goldpetrol Co Ltd,0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1648,,Goldpetrol Co Ltd,0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1649,Not material difference,Goldpetrol Co Ltd,-10.29424846,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,863193945.8,863193945.8,0,863193956.1,863193956.1,MMK
1650,,Goldpetrol Co Ltd,0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1651,,Goldpetrol Co Ltd,0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1652,,Goldpetrol Co Ltd,0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1653,,Goldpetrol Co Ltd,0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1654,,Goldpetrol Co Ltd,0,Royalties,MOGE,payments in cash,0,0,0,0,0,0,MMK
1655,,Goldpetrol Co Ltd,0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
1656,,Goldpetrol Co Ltd,0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1657,,Goldpetrol Co Ltd,0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
1658,,Goldpetrol Co Ltd,0,Dividend,MOGE,payments in cash,0,0,0,0,0,0,MMK
1659,Tax not reported by the Govt Body,Goldpetrol Co Ltd,99111988.03,Training Fund,MOGE,payments in cash,0,99111988.03,99111988.03,0,0,0,MMK
1660,,Goldpetrol Co Ltd,0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
1661,,Goldpetrol Co Ltd,0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
1662,,Goldpetrol Co Ltd,0,Data fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1663,,Goldpetrol Co Ltd,0,Land fees/Dead rent fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1664,,Goldpetrol Co Ltd,0,Dividend/Profit Sharing  on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1665,,Goldpetrol Co Ltd,0,Transit fees on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1666,,Goldpetrol Co Ltd,0,Road right fee Oil & Gas transportation (Right of way),MOGE,payments in cash,0,0,0,0,0,0,MMK
1667,,Goldpetrol Co Ltd,0,"Other material payments (> 50,000 USD)",MOGE,payments in cash,0,0,0,0,0,0,MMK
1668,,Goldpetrol Co Ltd,0,Contribution to the State/region social development fund,States/regions,payments in cash,0,0,0,0,0,0,MMK
1669,,Goldpetrol Co Ltd,0,Mandatory Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
1670,,Goldpetrol Co Ltd,0,Voluntary Corporate Social Responsibility,Social payments,payments in cash,0,158798400,158798400,0,0,0,MMK
1671,,MPRL E&P Pte Ltd,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1672,,MPRL E&P Pte Ltd,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1673,,MPRL E&P Pte Ltd,0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
1674,,MPRL E&P Pte Ltd,0,Baseline payment (IPR/PCC),,payments in kind,0,183511.6478,183511.6478,0,183511.6478,183511.6478,in barils
1675,,MPRL E&P Pte Ltd,0,Risk compensation (IPR/PCC),,payments in kind,0,360364.9901,360364.9901,0,360364.9901,360364.9901,in barils
1676,,MPRL E&P Pte Ltd,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
1677,,MPRL E&P Pte Ltd,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
1678,,MPRL E&P Pte Ltd,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1679,,MPRL E&P Pte Ltd,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1680,,MPRL E&P Pte Ltd,0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
1681,,MPRL E&P Pte Ltd,0,Baseline payment (IPR/PCC),,payments in kind,0,616850,616850,0,616850,616850,in mscf
1682,,MPRL E&P Pte Ltd,0,Risk compensation (IPR/PCC),,payments in kind,0,28148.6,28148.6,0,28148.6,28148.6,in mscf
1683,,MPRL E&P Pte Ltd,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
1684,,MPRL E&P Pte Ltd,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
1685,,MPRL E&P Pte Ltd,0,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1686,,MPRL E&P Pte Ltd,0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1687,,MPRL E&P Pte Ltd,0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1688,,MPRL E&P Pte Ltd,0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1689,,MPRL E&P Pte Ltd,0,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,160580012.1,160580012.1,0,160580012.1,160580012.1,MMK
1690,,MPRL E&P Pte Ltd,0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1691,,MPRL E&P Pte Ltd,0,Customs Duties on imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1692,,MPRL E&P Pte Ltd,0,"Other significant payments (> 50,000 USD)",MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1693,,MPRL E&P Pte Ltd,0,Signature Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1694,,MPRL E&P Pte Ltd,0,Royalties,MOGE,payments in cash,0,0,0,0,0,0,MMK
1695,,MPRL E&P Pte Ltd,0,Production Split (State share- Gas&Oil sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
1696,,MPRL E&P Pte Ltd,0,Production Bonus,MOGE,payments in cash,0,0,0,0,0,0,MMK
1697,,MPRL E&P Pte Ltd,0,MOGE share (Profit and Cost- G&O sales),MOGE,payments in cash,0,0,0,0,0,0,MMK
1698,,MPRL E&P Pte Ltd,0,Dividend,MOGE,payments in cash,0,0,0,0,0,0,MMK
1699,,MPRL E&P Pte Ltd,0,Training Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
1700,,MPRL E&P Pte Ltd,0,Research and Development Fund,MOGE,payments in cash,0,0,0,0,0,0,MMK
1701,,MPRL E&P Pte Ltd,0,Domestic Market Obligation (DMO) (-),MOGE,payments in cash,0,0,0,0,0,0,MMK
1702,,MPRL E&P Pte Ltd,0,Data fee,MOGE,payments in cash,0,839812951.2,839812951.2,0,839812951.2,839812951.2,MMK
1703,,MPRL E&P Pte Ltd,0,Land fees/Dead rent fee,MOGE,payments in cash,0,0,0,0,0,0,MMK
1704,,MPRL E&P Pte Ltd,0,Dividend/Profit Sharing  on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1705,,MPRL E&P Pte Ltd,0,Transit fees on Oil & Gas transportation,MOGE,payments in cash,0,0,0,0,0,0,MMK
1706,,MPRL E&P Pte Ltd,0,Road right fee Oil & Gas transportation (Right of way),MOGE,payments in cash,0,0,0,0,0,0,MMK
1707,,MPRL E&P Pte Ltd,0,"Other material payments (> 50,000 USD)",MOGE,payments in cash,0,0,0,0,0,0,MMK
1708,,MPRL E&P Pte Ltd,0,Contribution to the State/region social development fund,States/regions,payments in cash,0,0,0,0,0,0,MMK
1709,,MPRL E&P Pte Ltd,0,Mandatory Corporate Social Responsibility,Social payments,payments in cash,0,0,0,0,0,0,MMK
1710,,MPRL E&P Pte Ltd,0,Voluntary Corporate Social Responsibility,Social payments,payments in cash,0,313450320.9,313450320.9,0,0,0,MMK
1711,,Nippon Oil,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1712,,Nippon Oil,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in barils
1713,,Nippon Oil,0,Royalties,,payments in kind,0,0,0,0,0,0,in barils
1714,,Nippon Oil,0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1715,,Nippon Oil,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in barils
1716,,Nippon Oil,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in barils
1717,,Nippon Oil,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in barils
1718,,Nippon Oil,0,State production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1719,,Nippon Oil,0,MOGE production entitelment,,payments in kind,0,0,0,0,0,0,in mscf
1720,,Nippon Oil,0,Royalties,,payments in kind,0,0,0,0,0,0,in mscf
1721,,Nippon Oil,0,Baseline payment (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1722,,Nippon Oil,0,Risk compensation (IPR/PCC),,payments in kind,0,0,0,0,0,0,in mscf
1723,,Nippon Oil,0,Payment out of production (-),,payments in kind,0,0,0,0,0,0,in mscf
1724,,Nippon Oil,0,Domestic Market Obligation (DMO) (-),,payments in kind,0,0,0,0,0,0,in mscf
1725,Reporting template not submitted by the extractive company,Nippon Oil,-11938845668,Corporate Income Tax (CIT),MoPF-IRD-Customs Department,payments in cash,0,0,0,0,11938845668,11938845668,MMK
1726,,Nippon Oil,0,Commercial Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1727,,Nippon Oil,0,Stamp Duties,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1728,,Nippon Oil,0,Capital Gains Tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1729,,Nippon Oil,0,Withholding tax,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
1730,,Nippon Oil,0,Commercial Tax on Imports ,MoPF-IRD-Customs Department,payments in cash,0,0,0,0,0,0,MMK
